run_id,task_id,graph_id,base_instance_id,size_stratum,tightness_level,seed,algorithm,depth,n_nodes,n_edges,n_qubits,resource_count,budget,n_candidate_routes,n_feasible_routes,route_feasible_fraction,state_space_size,n_feasible_states,feasible_state_fraction,n_optimal_states,optimal_cost,flow_penalty_strength,resource_penalty_strength,optimizer,eval_budget,initial_parameters,optimized_parameters,nfev,status,optimizer_message,objective_initial,objective_final,expected_energy,p_feas,p_opt,p_opt_given_feasible,feasibility_amplification,uniform_p_feas,uniform_p_opt,uniform_feasibility_amplification,task_build_time_s,exact_reference_time_s,energy_build_time_s,optimization_time_s,optimizer_runtime_s,total_time_s,peak_memory_mb,execution_status,failure_reason,zero_feasible,zero_optimal_probability,resource_censored
run-99a6719e6f5ebaa2,task-ee5e2ea8e960,g-c0608305feeffbb0,S2-b000-g-c0608305feeffbb0,S2,T1,2207,Penalty-X,1,8,10,10,1,27.0,4,4,1.0,1024,4,0.00390625,1,9.0,50.0,20.0,COBYLA,48,"[4.119365739193051, 2.0232897611184613]","[4.712642281794903, 2.595216842984805]",27,0,Return from COBYLA because the trust region radius reaches its lower bound.,1383.3262461257082,380.4610476876218,380.4610476876218,0.0098657672899888,0.0085225092213906,0.8638465687345711,2.5256364262371425,0.00390625,0.0009765625,1.0,0.0002865931019186,0.0043213004246354,0.0002284599468111,0.0258519770577549,0.0258519770577549,0.0263845436275005,198.4765625,SUCCESS,,False,False,False
run-07e2c7987d39096b,task-3055188b40aa,g-c0608305feeffbb0,S2-b000-g-c0608305feeffbb0,S2,T4,0,Uniform,0,8,10,10,1,18.0,4,3,0.75,1024,3,0.0029296875,1,9.0,,,analytic,0,,,0,0,analytic uniform baseline,,,,0.0029296875,0.0009765625,0.3333333333333333,1.0,0.0029296875,0.0009765625,1.0,0.0002865931019186,0.004290398210287,0.0,0.0,0.0,0.0,198.4765625,SUCCESS,,False,False,False
run-9d81093d4843392c,task-3055188b40aa,g-c0608305feeffbb0,S2-b000-g-c0608305feeffbb0,S2,T4,1103,Penalty-X,1,8,10,10,1,18.0,4,3,0.75,1024,3,0.0029296875,1,9.0,50.0,20.0,COBYLA,48,"[1.4361119332668082, 2.3383068291715148]","[1.9370511483385506, 2.339015192510568]",30,0,Return from COBYLA because the trust region radius reaches its lower bound.,4204.11454379006,2670.850236859987,2670.850236859987,0.0036806045625665,0.0030078749288255,0.817223061509248,1.2563130240227298,0.0029296875,0.0009765625,1.0,0.0002865931019186,0.004290398210287,0.0002344334498047,0.0297163650393486,0.0297163650393486,0.0303049851208925,198.4765625,SUCCESS,,False,False,False
run-232141d8710722a4,task-3055188b40aa,g-c0608305feeffbb0,S2-b000-g-c0608305feeffbb0,S2,T4,2207,Penalty-X,1,8,10,10,1,18.0,4,3,0.75,1024,3,0.0029296875,1,9.0,50.0,20.0,COBYLA,48,"[4.119365739193051, 2.0232897611184613]","[4.715172700647582, 2.395863700862629]",26,0,Return from COBYLA because the trust region radius reaches its lower bound.,4112.526810667004,3509.7988941451003,3509.7988941451003,0.0032106196278271,0.00316758050752,0.9865947619786388,1.095891499631671,0.0029296875,0.0009765625,1.0,0.0002865931019186,0.004290398210287,0.0002344334498047,0.0239829057827591,0.0239829057827591,0.0245149722322821,198.4765625,SUCCESS,,False,False,False
run-293b8c12f6b184f1,task-f81feb5c73a8,g-c0608305feeffbb0,S2-b000-g-c0608305feeffbb0,S2,T7,0,Uniform,0,8,10,10,1,17.0,4,1,0.25,1024,1,0.0009765625,1,23.0,,,analytic,0,,,0,0,analytic uniform baseline,,,,0.0009765625,0.0009765625,1.0,1.0,0.0009765625,0.0009765625,1.0,0.0002865931019186,0.0042561152949929,0.0,0.0,0.0,0.0,198.4765625,SUCCESS,,False,False,False
run-5f4cef500715e8e9,task-f81feb5c73a8,g-c0608305feeffbb0,S2-b000-g-c0608305feeffbb0,S2,T7,1103,Penalty-X,1,8,10,10,1,17.0,4,1,0.25,1024,1,0.0009765625,1,23.0,50.0,20.0,COBYLA,48,"[1.4361119332668082, 2.3383068291715148]","[1.996315448122789, 2.3346986001972407]",24,0,Return from COBYLA because the trust region radius reaches its lower bound.,4570.253067526744,4226.085432314206,4226.085432314206,0.0005714935514269,0.0005714935514269,1.0,0.5852093966611962,0.0009765625,0.0009765625,1.0,0.0002865931019186,0.0042561152949929,0.0002209860831499,0.0230610743165016,0.0230610743165016,0.0236408868804574,198.4765625,SUCCESS,,False,False,False
run-00bf6d2802f9ccfb,task-f81feb5c73a8,g-c0608305feeffbb0,S2-b000-g-c0608305feeffbb0,S2,T7,2207,Penalty-X,1,8,10,10,1,17.0,4,1,0.25,1024,1,0.0009765625,1,23.0,50.0,20.0,COBYLA,48,"[4.119365739193051, 2.0232897611184613]","[4.214726083311171, 2.7516344496653606]",29,0,Return from COBYLA because the trust region radius reaches its lower bound.,4470.344699718224,3033.678438619921,3033.678438619921,0.0021377588320379,0.0021377588320379,1.0,2.189065044006912,0.0009765625,0.0009765625,1.0,0.0002865931019186,0.0042561152949929,0.0002209860831499,0.0289700347930192,0.0289700347930192,0.0295178843662142,198.4765625,SUCCESS,,False,False,False
run-e03cd481b2a41434,task-da525fcc95dc,g-43af4a2bb7f827f7,S2-b001-g-43af4a2bb7f827f7,S2,T1,0,Uniform,0,8,10,10,1,26.0,4,4,1.0,1024,4,0.00390625,2,13.0,,,analytic,0,,,0,0,analytic uniform baseline,,,,0.00390625,0.001953125,0.5,1.0,0.00390625,0.001953125,1.0,0.0002991817891597,0.0043056113645434,0.0,0.0,0.0,0.0,198.4765625,SUCCESS,,False,False,False
run-f02e15ee3153a490,task-da525fcc95dc,g-43af4a2bb7f827f7,S2-b001-g-43af4a2bb7f827f7,S2,T1,1103,Penalty-X,1,8,10,10,1,26.0,4,4,1.0,1024,4,0.00390625,2,13.0,50.0,20.0,COBYLA,48,"[1.4361119332668082, 2.3383068291715148]","[1.4448104891912383, 2.349676251954762]",31,0,Return from COBYLA because the trust region radius reaches its lower bound.,724.0479734575479,460.2925225229051,460.2925225229051,0.0007980081929681,0.0006275713184587,0.7864221495327611,0.2042900973998486,0.00390625,0.001953125,1.0,0.0002991817891597,0.0043056113645434,0.0002127224579453,0.0308872126042842,0.0308872126042842,0.031470151618123,198.4765625,SUCCESS,,False,False,False
run-9a20184fbf69ec26,task-da525fcc95dc,g-43af4a2bb7f827f7,S2-b001-g-43af4a2bb7f827f7,S2,T1,2207,Penalty-X,1,8,10,10,1,26.0,4,4,1.0,1024,4,0.00390625,2,13.0,50.0,20.0,COBYLA,48,"[4.119365739193051, 2.0232897611184613]","[3.275414488790835, 0.9777422157717651]",30,0,Return from COBYLA because the trust region radius reaches its lower bound.,852.5691342668224,561.9624419568976,561.9624419568976,0.0013314241226801,0.0002716525989919,0.2040316037274937,0.3408445754061238,0.00390625,0.001953125,1.0,0.0002991817891597,0.0043056113645434,0.0002127224579453,0.0300634214654564,0.0300634214654564,0.0306065026670694,198.4765625,SUCCESS,,False,False,False
run-6b81ebf89353de3e,task-8c3c093f9a2e,g-43af4a2bb7f827f7,S2-b001-g-43af4a2bb7f827f7,S2,T4,0,Uniform,0,8,10,10,1,15.0,4,2,0.5,1024,2,0.001953125,1,13.0,,,analytic,0,,,0,0,analytic uniform baseline,,,,0.001953125,0.0009765625,0.5,1.0,0.001953125,0.0009765625,1.0,0.0002991817891597,0.0042481925338506,0.0,0.0,0.0,0.0,198.4765625,SUCCESS,,False,False,False
run-6d6987e8862bb13e,task-8c3c093f9a2e,g-43af4a2bb7f827f7,S2-b001-g-43af4a2bb7f827f7,S2,T4,1103,Penalty-X,1,8,10,10,1,15.0,4,2,0.5,1024,2,0.001953125,1,13.0,50.0,20.0,COBYLA,48,"[1.4361119332668082, 2.3383068291715148]","[1.936288705077114, 2.8383055149868888]",25,0,Return from COBYLA because the trust region radius reaches its lower bound.,3483.219300276336,3181.560120910646,3181.560120910646,0.0034510961934714,0.0017356911917704,0.5029390936867757,1.7669612510573725,0.001953125,0.0009765625,1.0,0.0002991817891597,0.0042481925338506,0.0002075312659144,0.0231775296851992,0.0231775296851992,0.0237482516095042,198.4765625,SUCCESS,,False,False,False
run-6cc8e3d2b8e9efab,task-8c3c093f9a2e,g-43af4a2bb7f827f7,S2-b001-g-43af4a2bb7f827f7,S2,T4,2207,Penalty-X,1,8,10,10,1,15.0,4,2,0.5,1024,2,0.001953125,1,13.0,50.0,20.0,COBYLA,48,"[4.119365739193051, 2.0232897611184613]","[4.594048647676543, 2.033712467398083]",25,0,Return from COBYLA because the trust region radius reaches its lower bound.,3438.695624921655,2714.8527373739043,2714.8527373739043,0.0008049265393233,0.0002165523838035,0.2690337232334141,0.4121223881335745,0.001953125,0.0009765625,1.0,0.0002991817891597,0.0042481925338506,0.0002075312659144,0.0235536508262157,0.0235536508262157,0.0240899072960019,198.4765625,SUCCESS,,False,False,False
run-f260dce591b61514,task-52c1f8aedc9f,g-43af4a2bb7f827f7,S2-b001-g-43af4a2bb7f827f7,S2,T7,0,Uniform,0,8,10,10,1,13.0,4,1,0.25,1024,1,0.0009765625,1,13.0,,,analytic,0,,,0,0,analytic uniform baseline,,,,0.0009765625,0.0009765625,1.0,1.0,0.0009765625,0.0009765625,1.0,0.0002991817891597,0.0042441934347152,0.0,0.0,0.0,0.0,198.4765625,SUCCESS,,False,False,False
run-1590ae17764979ff,task-52c1f8aedc9f,g-43af4a2bb7f827f7,S2-b001-g-43af4a2bb7f827f7,S2,T7,1103,Penalty-X,1,8,10,10,1,13.0,4,1,0.25,1024,1,0.0009765625,1,13.0,50.0,20.0,COBYLA,48,"[1.4361119332668082, 2.3383068291715148]","[1.6964181085692198, 2.916152328307995]",24,0,Return from COBYLA because the trust region radius reaches its lower bound.,4409.983347224649,3623.5137994392344,3623.5137994392344,0.0005482250764582857,0.0005482250764582857,1.0,0.5613824782932846,0.0009765625,0.0009765625,1.0,0.0002991817891597,0.0042441934347152,0.00021700561046600342,0.022632437758147717,0.022632437758147717,0.023273142985999584,198.4765625,SUCCESS,,False,False,False
run-dab0914667150505,task-52c1f8aedc9f,g-43af4a2bb7f827f7,S2-b001-g-43af4a2bb7f827f7,S2,T7,2207,Penalty-X,1,8,10,10,1,13.0,4,1,0.25,1024,1,0.0009765625,1,13.0,50.0,20.0,COBYLA,48,"[4.119365739193051, 2.0232897611184613]","[4.711137510217695, 2.4397146241586727]",25,0,Return from COBYLA because the trust region radius reaches its lower bound.,4218.038869221241,2850.0768554160613,2850.0768554160613,9.34454930907384e-05,9.34454930907384e-05,1.0,0.09568818492491613,0.0009765625,0.0009765625,1.0,0.0002991817891597,0.0042441934347152,0.00021700561046600342,0.023067450150847435,0.023067450150847435,0.023679657839238644,198.4765625,SUCCESS,,False,False,False
