run_id,training_regime,task_id,graph_id,size_stratum,m,dilution_score,objective,alpha,shots_per_evaluation,seed,nfev_budget,actual_nfev,scipy_reported_nfev,nit,termination_reason,optimizer_status,optimizer_success,wall_time_s,total_sampled_bitstrings,sampled_objective_terminal,mean_energy,P_feas,P_opt,P_opt_given_feas,G_feas,terminal_parameters
a3train-960bc167f0cfba46bbf8,SHOT_10000,task-v2-0880cdc8b47d,g-b9a8415aa1799cc5,S5,19,5.719569917615643,O3,0.1,10000,7304,240,51,51,25,EARLY_CONVERGENCE,0,True,76.79282903391868,510000,1.036056589147287,1.6543586196808846,0.0004350013371248021,0.0004350013371248021,1.0,2.3580605095243734,"[4.205277299553629, 6.194376707880534, 0.0, 0.5974769423783285, -1.0609096427095384, 0.0]"
a3train-96fb1cf4360a5f8d1d2e,SHOT_1000,task-v2-0880cdc8b47d,g-b9a8415aa1799cc5,S5,19,5.719569917615643,O3,0.1,1000,7304,240,52,52,25,EARLY_CONVERGENCE,0,True,67.62294639088213,52000,0.9978285569811017,1.6818300267278892,0.0004398479451361669,0.0004398479451361669,1.0,2.3628724850077947,"[3.703581457633947, 6.189206611129206, 0.5253582136291958, 0.5984968233435324, -1.060295371207265, 0.0014891895988605667]"
a3train-99c2166d8eb06af49495,SHOT_10000,task-v2-30409dd5a775,g-686fdbb6f8f550f1,S2,10,3.010299956639812,O0,0.1,10000,7302,240,52,52,26,EARLY_CONVERGENCE,0,True,0.1725339386612177,520000,1.7229856061168587,1.7363262506341721,0.00012978076688989048,0.00012978076688989048,1.0,-0.8764897072324473,"[2.3888156627226134, 4.614034119910873, 0.02229146971280893, 3.828345353741141, -1.0686870991603612, -0.04975945566652379]"
a3train-9cb239e0e3fbd69ee2ea,SHOT_10000,task-v2-30409dd5a775,g-686fdbb6f8f550f1,S2,10,3.010299956639812,O0,0.1,10000,7305,240,52,52,25,EARLY_CONVERGENCE,0,True,0.16522442270070314,520000,1.7603083068520184,1.7682181889382538,0.00040395274268999426,0.00040395274268999426,1.0,-0.38336948218378386,"[1.8882159015902389, 4.644418931901514, 7.326997199000345e-05, 3.7650218658015424, -1.036873176610842, -0.003392576778174676]"
a3train-9dd5c53581aacc373d1e,SHOT_1000,task-v2-8ea177161d6a,g-4a80ed839b63ddd7,S5,19,4.640388671568018,O3,0.1,1000,7301,240,53,53,26,EARLY_CONVERGENCE,0,True,66.37266815453768,53000,0.9629756871035942,1.6069983461562547,0.004532313194225732,0.0010684107774493615,0.2357318948766693,2.2967085846358737,"[3.5086282937030004, 3.558143652230841, -0.02566592563764681, 3.414170933210515, -0.8912776983510964, -0.0004542763126799115]"
a3train-a016222ce4935ec41c05,SHOT_10000,task-v2-8b88de51ba21,g-f0c91af33253395a,S3,13,3.9133899436317554,O3,0.1,10000,7302,240,50,50,26,EARLY_CONVERGENCE,0,True,0.3499486902728677,500000,0.5426337209302325,1.8756587001131275,0.04717524547325688,0.04717524547325688,1.0,2.587104112297099,"[5.327292883726735, 4.625004987127848, -0.029188205948703624, 2.410003131978754, 0.2443048767554792, 0.04193570065130031]"
a3train-a36fdf3f1a70c5c9d8af,SHOT_1000,task-v2-0880cdc8b47d,g-b9a8415aa1799cc5,S5,19,5.719569917615643,O3,0.1,1000,7305,240,52,52,26,EARLY_CONVERGENCE,0,True,63.31888972502202,52000,1.0248759689922478,1.653717219720383,0.0004354695416189158,0.0004354695416189158,1.0,2.358527701828609,"[4.230061463222614, 6.190691596305018, -0.00314863153873573, 0.5975792914692757, -1.0618168696690098, 0.0007678453628253708]"
a3train-a49a0547a0a5950aaf88,SHOT_1000,task-v2-693f08fcb4be,g-8c950d2bd101a5de,S2,10,2.4082399653118496,O3,0.1,1000,7301,240,48,48,23,EARLY_CONVERGENCE,0,True,0.13179978728294373,48000,0.09837209302325578,1.44239160966533,0.15075283757456925,0.036652368734683034,0.24312888118310275,1.5865054607932214,"[6.042905981218279, 4.872320964844082, 0.002345999191477829, 2.6152236823306922, 0.13156237080427657, -0.0041617912853919685]"
a3train-a58c4df2e53c080a5866,SHOT_10000,task-v2-cb6317a18cf3,g-f6afb3a3727100d3,S4,16,3.816479930623699,O3,0.1,10000,7301,240,53,53,28,EARLY_CONVERGENCE,0,True,2.4850189266726375,530000,0.4337939276485788,1.3160645107189075,0.05917053593883118,0.010818529009030771,0.1828364208195555,2.588585433553287,"[6.478200045226741, 7.5576714315802755, 0.4900260611407082, 2.7265330580977394, -0.24859093846006117, -0.0766292818561115]"
a3train-a5ca9fd99ff33a129bf7,SHOT_10000,task-v2-0880cdc8b47d,g-b9a8415aa1799cc5,S5,19,5.719569917615643,O0,0.1,10000,7303,240,66,66,34,EARLY_CONVERGENCE,0,True,90.97787844575942,660000,1.5268476312692356,1.5373073774386108,0.0009134268438490881,0.0009134268438490881,1.0,2.6802436881494067,"[4.2852088637739545, 6.678954379114844, 0.5306483876609503, 0.729810843284323, -1.029284696480127, -0.12669592171932267]"
