run_id,task_id,graph_id,size_stratum,m,dilution_score,endpoint_objective,shots,replicate,sampling_seed,alpha,cvar_estimate,cvar_exact,cvar_error,relative_error,p_feas_estimate,p_feas_exact,p_opt_estimate,p_opt_exact
a3est-743661a86d6032bd9684,task-v2-8ea177161d6a,g-4a80ed839b63ddd7,S5,19,4.640388671568018,O0,10000,1,711787218333644308,0.1,0.9303694503171246,0.9135239021862804,0.016845548130844157,0.018440183218554812,0.014,0.015705497434730625,0.0033,0.00372542788827734
a3est-743661a86d6032bd9684,task-v2-8ea177161d6a,g-4a80ed839b63ddd7,S5,19,4.640388671568018,O0,10000,1,711787218333644308,0.25,1.0419710359408034,1.0352467928324023,0.00672424310840114,0.0064953044577938995,0.014,0.015705497434730625,0.0033,0.00372542788827734
a3est-743661a86d6032bd9684,task-v2-8ea177161d6a,g-4a80ed839b63ddd7,S5,19,4.640388671568018,O0,10000,1,711787218333644308,0.5,1.100926849894292,1.0974559159741324,0.0034709339201595135,0.003162709198281205,0.014,0.015705497434730625,0.0033,0.00372542788827734
a3est-745235953a8d43389b1b,task-v2-00b7b12999ba,g-28cd30a80498cca2,S4,16,4.816479930623699,O0,10000,10,8302691807593010791,0.02,0.9607405140758872,0.9500083555048182,0.010732158571069017,0.011296909662827261,0.002,0.0022335843770246674,0.002,0.0022335843770246674
a3est-745235953a8d43389b1b,task-v2-00b7b12999ba,g-28cd30a80498cca2,S4,16,4.816479930623699,O0,10000,10,8302691807593010791,0.05,1.015875152998776,1.0115822895703483,0.004292863428427607,0.004243711532603961,0.002,0.0022335843770246674,0.002,0.0022335843770246674
a3est-745235953a8d43389b1b,task-v2-00b7b12999ba,g-28cd30a80498cca2,S4,16,4.816479930623699,O0,10000,10,8302691807593010791,0.1,1.0370556915544675,1.0344666793298911,0.0025890122245764147,0.0025027507181319074,0.002,0.0022335843770246674,0.002,0.0022335843770246674
a3est-745235953a8d43389b1b,task-v2-00b7b12999ba,g-28cd30a80498cca2,S4,16,4.816479930623699,O0,10000,10,8302691807593010791,0.25,1.063928631532668,1.0629022190880606,0.0010264124446073275,0.0009656696788985535,0.002,0.0022335843770246674,0.002,0.0022335843770246674
a3est-745235953a8d43389b1b,task-v2-00b7b12999ba,g-28cd30a80498cca2,S4,16,4.816479930623699,O0,10000,10,8302691807593010791,0.5,1.0963905906951676,1.0956651869172007,0.0007254037779669265,0.000662067013380197,0.002,0.0022335843770246674,0.002,0.0022335843770246674
a3est-745cf35d6fd0f442632d,task-v2-30409dd5a775,g-686fdbb6f8f550f1,S2,10,3.010299956639812,O0,10000,27,4364614960339883422,0.02,0.8160261927458546,0.841392290411614,-0.02536609766575937,-0.03014776573879721,0.0063,0.005779624753250466,0.0063,0.005779624753250466
a3est-745cf35d6fd0f442632d,task-v2-30409dd5a775,g-686fdbb6f8f550f1,S2,10,3.010299956639812,O0,10000,27,4364614960339883422,0.05,1.0014104770983419,1.0115569161646456,-0.010146439066303747,-0.010030517219707553,0.0063,0.005779624753250466,0.0063,0.005779624753250466
