training_regime,shots_per_evaluation,graph_id,objective,n_tasks,mean_energy,P_feas,P_opt,P_opt_given_feas,G_feas
SHOT_1000,1000,g-a529fbde22ed09f4,O3,1,1.3058388982297555,0.2114569356215104,0.09534385991433174,0.4411858074770487,0.9553106491628524
SHOT_1000,1000,g-b9a8415aa1799cc5,O0,1,1.6391480359256998,0.0003719015017707435,0.0003719015017707435,1.0,2.2899978496972024
SHOT_1000,1000,g-b9a8415aa1799cc5,O3,1,1.6592028684256483,0.00045384988695370654,0.00045384988695370654,1.0,2.376482149221705
SHOT_1000,1000,g-c45ecbe0242c6377,O0,1,1.6989575122454519,0.0769634160505123,0.0769634160505123,1.0,0.993494305431295
SHOT_1000,1000,g-c45ecbe0242c6377,O3,1,1.7159739218941683,0.07700528461464667,0.07700528461464667,1.0,0.9937305000180963
SHOT_1000,1000,g-f0c91af33253395a,O0,1,1.609417469861903,0.02367210087806427,0.02367210087806427,1.0,2.2876267465233195
SHOT_1000,1000,g-f0c91af33253395a,O3,1,1.6850876803425596,0.0355160348486041,0.0355160348486041,1.0,2.4638144170813523
SHOT_1000,1000,g-f6afb3a3727100d3,O0,1,1.2088699629067121,0.04645287416718864,0.008105703386987382,0.17449304337583346,2.4834925207796985
SHOT_1000,1000,g-f6afb3a3727100d3,O3,1,1.2351757483988488,0.05142159765107841,0.008969601207840253,0.17443256564495604,2.5276254965180245
SHOT_10000,10000,g-28cd30a80498cca2,O0,1,1.514785294649803,0.001870475254947767,0.001870475254947767,1.0,2.088431897789987
SHOT_10000,10000,g-28cd30a80498cca2,O3,1,1.5194265999004344,0.0019523321192965789,0.0019523321192965789,1.0,2.1070336298707226
SHOT_10000,10000,g-4a80ed839b63ddd7,O0,1,1.5745568742215132,0.006332310538717812,0.0019613379594536407,0.32429460179082814,2.4419508762334767
SHOT_10000,10000,g-4a80ed839b63ddd7,O3,1,1.602296213963724,0.012975677703870325,0.0029315641569847774,0.2453808631817516,2.753518721353642
SHOT_10000,10000,g-64377640089a831f,O0,1,1.3367367198641098,0.07769643965801512,0.012137466887908187,0.15591421208471387,1.9586930218739553
SHOT_10000,10000,g-64377640089a831f,O3,1,1.4071723787359867,0.08717907503480854,0.01335629175092838,0.15476557335834767,2.0087041604830405
SHOT_10000,10000,g-686fdbb6f8f550f1,O0,1,1.7322847675922963,0.00046918417337644757,0.00046918417337644757,1.0,-0.31835668938643735
SHOT_10000,10000,g-686fdbb6f8f550f1,O3,1,1.9290407550284552,0.004169919743870015,0.004169919743870015,1.0,0.6304276530692519
SHOT_10000,10000,g-8c950d2bd101a5de,O0,1,1.4225578672580936,0.15334360941562486,0.045073701710699646,0.2963122274581855,1.593905646814823
SHOT_10000,10000,g-8c950d2bd101a5de,O3,1,1.415827719635602,0.15409083127317968,0.04541224060427313,0.2947108548188965,1.5960167633688263
SHOT_10000,10000,g-a529fbde22ed09f4,O0,1,1.23790450414047,0.25453909273879904,0.10238782940456953,0.39876084033252085,1.0358432067362804
SHOT_10000,10000,g-a529fbde22ed09f4,O3,1,1.2373877527038526,0.2530761538121439,0.10240873013093126,0.4046557867595393,1.033339940466956
SHOT_10000,10000,g-b9a8415aa1799cc5,O0,1,1.5373073774386108,0.0009134268438490881,0.0009134268438490881,1.0,2.6802436881494067
SHOT_10000,10000,g-b9a8415aa1799cc5,O3,1,1.683144769290524,0.0004408843354408341,0.0004408843354408341,1.0,2.3638945862934935
SHOT_10000,10000,g-c45ecbe0242c6377,O0,1,1.69883845019437,0.07619822083423354,0.07619822083423354,1.0,0.9891548006870038
SHOT_10000,10000,g-c45ecbe0242c6377,O3,1,1.765096204556842,0.10287282285087393,0.10287282285087393,1.0,1.1195106267735948
SHOT_10000,10000,g-f0c91af33253395a,O0,1,1.6067454642114378,0.019059070263657527,0.019059070263657527,1.0,2.193491654770813
SHOT_10000,10000,g-f0c91af33253395a,O3,1,1.8055162734591719,0.05197541560710305,0.05197541560710305,1.0,2.629187914365418
SHOT_10000,10000,g-f6afb3a3727100d3,O0,1,1.206251904432179,0.04405141842628606,0.007730348235990809,0.17548466115629116,2.4604398275895023
SHOT_10000,10000,g-f6afb3a3727100d3,O3,1,1.2652775260085023,0.05913675052454735,0.010675988161750484,0.181118121878896,2.5883373876411584
