task_id,base_graph_id,base_instance_id,size_stratum,stress_level,dilution_score,Delta_G_2_1,Delta_G_3_2,Delta_G_3_1,Delta_log10_P_feas_2_1,Delta_log10_P_feas_3_2,Delta_log10_P_feas_3_1,Delta_P_opt_2_1,Delta_P_opt_3_2,Delta_P_opt_3_1
task-v2-07b8f456a957,g-3ff7063ef9ea5cfb,v2-S4-b000-g-3ff7063ef9ea5cfb,S4,D6,3.9133899436317554,0.5568715679876283,-0.239268744666012,0.31760282332161627,0.5568715679876419,-0.23926874466601467,0.31760282332162726,0.0010627367699218,-0.0001482543263256,0.0009144824435962
task-v2-b5e00db3fe1a,g-3ff7063ef9ea5cfb,v2-S4-b000-g-3ff7063ef9ea5cfb,S4,D7,3.8622374211843744,0.5141519636252191,-0.09727663339230741,0.4168753302329117,0.514151963625221,-0.09727663339231629,0.4168753302329047,0.0011333672435855,-3.185133136399858e-06,0.0011301821104491
task-v2-59a464f36e13,g-bd62d2d752385cc7,v2-S4-b001-g-bd62d2d752385cc7,S4,D1,4.816479930623699,-0.11022284834225604,0.013391684710806206,-0.09683116363144983,-0.11022284834227358,0.013391684710827523,-0.09683116363144606,-0.00041700367445709997,4.5200175572700056e-05,-0.0003718034988843999
task-v2-a2561503b5d0,g-bd62d2d752385cc7,v2-S4-b001-g-bd62d2d752385cc7,S4,D2,4.515449934959718,-0.016204010086453557,-0.351954962003165,-0.36815897208961856,-0.016204010086454,-0.35195496200318654,-0.36815897208964055,-0.0008955594030232998,0.00018948321821650005,-0.0007060761848067998
task-v2-f6d986d24578,g-bd62d2d752385cc7,v2-S4-b001-g-bd62d2d752385cc7,S4,D3,4.339358675904037,0.03091113244910071,-0.4300821043164753,-0.3991709718673746,0.030911132449103373,-0.43008210431647953,-0.39917097186737616,-0.0007642969750860998,9.724721266470004e-05,-0.0006670497624213997
task-v2-5d31ef4af595,g-bd62d2d752385cc7,v2-S4-b001-g-bd62d2d752385cc7,S4,D4,4.214419939295737,-0.06069294524143043,-0.1895189710172358,-0.25021191625866623,-0.06069294524142954,-0.18951897101723292,-0.25021191625866246,-0.0007609432111482998,0.0010692655394711,0.00030832232832280013
task-v2-5b5a3995de2b,g-bd62d2d752385cc7,v2-S4-b001-g-bd62d2d752385cc7,S4,D5,4.11750992628768,-0.31768342053422893,0.08031658584947965,-0.23736683468474928,-0.3176834205342387,0.08031658584948076,-0.23736683468475794,-0.0015754858434838001,0.0022252917138554,0.0006498058703715997
task-v2-cf1a83d8dbf9,g-bd62d2d752385cc7,v2-S4-b001-g-bd62d2d752385cc7,S4,D6,4.038328680240055,-0.3834278123245851,0.033664609879960006,-0.3497632024446251,-0.3834278123245851,0.03366460987995756,-0.34976320244462755,-0.0016502336444129,0.001551195385466,-9.903825894690002e-05
task-v2-e243a3cd3e64,g-bd62d2d752385cc7,v2-S4-b001-g-bd62d2d752385cc7,S4,D7,3.9133899436317554,0.8379688285875087,-0.21463548874154914,0.6233333398459595,0.8379688285875107,-0.21463548874155336,0.6233333398459573,0.0022576293608802,0.0004288716621317001,0.0026865010230119
task-v2-4746dcc3bd93,g-a87f1b9ac089cc45,v2-S5-b000-g-a87f1b9ac089cc45,S5,D1,5.719569917615643,0.06884702890376992,-0.5666724710689275,-0.49782544216515756,0.0688470289037797,-0.5666724710690092,-0.4978254421652295,0.0002466586331736,-0.0012261922504475,-0.0009795336172738998
task-v2-7d4ec5aed494,g-a87f1b9ac089cc45,v2-S5-b000-g-a87f1b9ac089cc45,S5,D2,5.418539921951662,-0.2151038156022662,-0.4318889051546999,-0.6469927207569661,-0.21510381560226044,-0.43188890515471323,-0.6469927207569737,-0.0010167905004250999,-0.001028692237603,-0.0020454827380281
task-v2-7133b996bac7,g-a87f1b9ac089cc45,v2-S5-b000-g-a87f1b9ac089cc45,S5,D3,5.24244866289598,-0.24405828320580847,0.018556048039154227,-0.22550223516665424,-0.24405828320581424,0.01855604803915467,-0.22550223516665957,-0.0010966411906721,6.913945772420008e-05,-0.0010275017329479
task-v2-b9b3757d64c0,g-a87f1b9ac089cc45,v2-S5-b000-g-a87f1b9ac089cc45,S5,D4,5.11750992628768,0.025813886138361664,-0.06546900797743316,-0.039655121839071494,0.02581388613835367,-0.0654690079774305,-0.03965512183907682,0.00012754026700020015,-0.0002338995362032002,-0.00010635926920300005
task-v2-11173062a501,g-a87f1b9ac089cc45,v2-S5-b000-g-a87f1b9ac089cc45,S5,D5,4.941418667231999,-0.06996864021372806,0.21388611722622075,0.1439174770124927,-0.06996864021373606,0.21388611722622386,0.1439174770124878,-0.00025957857225670003,0.0009372523363298001,0.0006776737640731001
task-v2-c95d7e1ff6e7,g-a87f1b9ac089cc45,v2-S5-b000-g-a87f1b9ac089cc45,S5,D6,4.816479930623699,0.50019541628799,0.5224808437078321,1.0226762599958221,0.50019541628807,0.5224808437078385,1.0226762599959085,0.00013646757355220002,0.0012030528757094,0.0013395204492616
task-v2-f5c9b9bdeb27,g-a87f1b9ac089cc45,v2-S5-b000-g-a87f1b9ac089cc45,S5,D7,4.719569917615643,0.31305865273518996,0.5876719369393346,0.9007305896745246,0.3130586527351711,0.587671936939365,0.9007305896745361,0.00011734732279755328,0.0010991742372276,0.0012165215600251533
task-v2-420d9636beee,g-e0c69f84d376b633,v2-S5-b001-g-e0c69f84d376b633,S5,D1,5.719569917615643,-0.03652090517394946,-0.37261888863057635,-0.4091397938045258,-0.03652090517393658,-0.372618888630603,-0.4091397938045396,-9.24628285923e-05,-0.0006070616504175,-0.0006995244790098
task-v2-e449b07a1126,g-e0c69f84d376b633,v2-S5-b001-g-e0c69f84d376b633,S5,D2,5.418539921951662,0.039208746487632506,-0.4426524511738963,-0.4034437046862638,0.03920874648763162,-0.4426524511738803,-0.4034437046862487,0.00010712951343880002,-0.0007004630888101,-0.0005933335753713
task-v2-6e79cb6720c5,g-e0c69f84d376b633,v2-S5-b001-g-e0c69f84d376b633,S5,D3,5.24244866289598,-0.14159453303903202,-0.40423880211023366,-0.5458333351492657,-0.1415945330390378,-0.4042388021102359,-0.5458333351492737,-0.0002762081945252,-0.0005305559908251001,-0.0008067641853503001
task-v2-526a936f38d9,g-e0c69f84d376b633,v2-S5-b001-g-e0c69f84d376b633,S5,D4,5.11750992628768,-0.17030024892573747,-0.24399533851157607,-0.41429558743731354,-0.17030024892574414,-0.24399533851157562,-0.41429558743731976,-0.000405683190658,-0.0003555905460982,-0.0007612737367562
task-v2-89b7591232ff,g-e0c69f84d376b633,v2-S5-b001-g-e0c69f84d376b633,S5,D5,4.941418667231999,-0.2844414761836185,-0.39286626064028773,-0.6773077368239062,-0.2844414761836225,-0.3928662606402793,-0.6773077368239018,-0.0009755318682364,-0.00043079843361969997,-0.0014063303018561
task-v2-5f165c277bb9,g-e0c69f84d376b633,v2-S5-b001-g-e0c69f84d376b633,S5,D6,4.816479930623699,0.10298179463184898,-0.9939483168179255,-0.8909665221860765,0.10298179463185053,-0.9939483168179619,-0.8909665221861114,-0.0001537648126463001,-0.0015667671162791,-0.0017205319289254001
