task_id,base_instance_id,size_stratum,dilution_score,p3_view,p2_reference,Delta_G_3_2,Delta_log10_P_feas_3_2,Delta_P_opt_3_2
task-v2-6e79cb6720c5,v2-S5-b001-g-e0c69f84d376b633,S5,5.24244866289598,P3_RANDOM_ORIGINAL,P2_METRICWISE_MEDIAN,-0.40423880211023366,-0.4042388021102359,-0.0005305559908251001
task-v2-526a936f38d9,v2-S5-b001-g-e0c69f84d376b633,S5,5.11750992628768,P3_RANDOM_ORIGINAL,P2_METRICWISE_MEDIAN,-0.24399533851157607,-0.24399533851157562,-0.0003555905460982
task-v2-89b7591232ff,v2-S5-b001-g-e0c69f84d376b633,S5,4.941418667231999,P3_RANDOM_ORIGINAL,P2_METRICWISE_MEDIAN,-0.39286626064028773,-0.3928662606402793,-0.00043079843361969997
task-v2-5f165c277bb9,v2-S5-b001-g-e0c69f84d376b633,S5,4.816479930623699,P3_RANDOM_ORIGINAL,P2_METRICWISE_MEDIAN,-0.9939483168179255,-0.9939483168179619,-0.0015667671162791
task-v2-780e1209d403,v2-S5-b001-g-e0c69f84d376b633,S5,4.640388671568018,P3_RANDOM_ORIGINAL,P2_METRICWISE_MEDIAN,-0.673082616764106,-0.6730826167641131,-0.0008893299807499
task-v2-4e78b3f98433,v2-S1-b001-g-553bb3c5ba0f2136,S1,2.1072099696478683,P3_CONTINUATION_B1,P2_METRICWISE_MEDIAN,-0.0002518282232336633,-0.00025182822323444043,-3.1565134550999574e-05
task-v2-f83834022ee2,v2-S1-b001-g-553bb3c5ba0f2136,S1,1.806179973983887,P3_CONTINUATION_B1,P2_METRICWISE_MEDIAN,0.43125658742243544,0.43125658742243533,0.058846242521093696
task-v2-d7382a83ef13,v2-S1-b000-g-548c8c6335dd2a2e,S1,1.806179973983887,P3_CONTINUATION_B1,P2_METRICWISE_MEDIAN,0.037360864563846796,0.037360864563846796,0.006643657629824509
task-v2-73f419868dc6,v2-S1-b001-g-553bb3c5ba0f2136,S1,1.630088714928206,P3_CONTINUATION_B1,P2_METRICWISE_MEDIAN,0.049381787465109905,0.04938178746510946,0.0019575097135212
task-v2-e442db508705,v2-S1-b000-g-548c8c6335dd2a2e,S1,2.1072099696478683,P3_CONTINUATION_B1,P2_METRICWISE_MEDIAN,0.09717145914004532,0.09717145914004544,0.0184505152419097
task-v2-ce7fc44fc7b5,v2-S1-b000-g-548c8c6335dd2a2e,S1,1.630088714928206,P3_CONTINUATION_B1,P2_METRICWISE_MEDIAN,0.21146038491174135,0.21146038491174135,0.037359082967118
task-v2-3f363bac5736,v2-S2-b000-g-60667963f6db3f1b,S2,3.010299956639812,P3_CONTINUATION_B1,P2_METRICWISE_MEDIAN,-0.0014715475407763856,-0.0014715475407700573,-2.16671657171999e-05
task-v2-f1a738d52e35,v2-S2-b000-g-60667963f6db3f1b,S2,2.709269960975831,P3_CONTINUATION_B1,P2_METRICWISE_MEDIAN,-0.08688399820034975,-0.08688399820034975,-0.0036251893525062005
task-v2-4d2b9f5eb099,v2-S2-b001-g-6aa6775bed3bc2cc,S2,3.010299956639812,P3_CONTINUATION_B1,P2_METRICWISE_MEDIAN,0.03676705809670744,0.03676705809671521,0.00048387582846080076
task-v2-a0f813383468,v2-S2-b000-g-60667963f6db3f1b,S2,2.533178701920149,P3_CONTINUATION_B1,P2_METRICWISE_MEDIAN,0.17413093312453976,0.17413093312453953,0.0087845809678573
task-v2-6996479d6302,v2-S2-b000-g-60667963f6db3f1b,S2,2.4082399653118496,P3_CONTINUATION_B1,P2_METRICWISE_MEDIAN,0.008933939543189773,0.008933939543190217,0.0003508751655572004
task-v2-3cd2eda112d3,v2-S2-b001-g-6aa6775bed3bc2cc,S2,2.533178701920149,P3_CONTINUATION_B1,P2_METRICWISE_MEDIAN,0.13700402283732305,0.13700402283732283,0.006351492638320702
task-v2-2d64318cb7be,v2-S2-b001-g-6aa6775bed3bc2cc,S2,2.709269960975831,P3_CONTINUATION_B1,P2_METRICWISE_MEDIAN,0.24828938910884935,0.24828938910885,0.0059409577796
task-v2-f4789f22d2c1,v2-S2-b001-g-6aa6775bed3bc2cc,S2,2.4082399653118496,P3_CONTINUATION_B1,P2_METRICWISE_MEDIAN,-0.038977189941247006,-0.03897718994124588,-0.0002926338032292002
task-v2-8f4071cbe937,v2-S3-b000-g-8a16a856f5377a40,S3,3.612359947967774,P3_CONTINUATION_B1,P2_METRICWISE_MEDIAN,0.35429249002583507,0.3542924900258402,0.0033178010957945997
task-v2-4968f3a685c2,v2-S3-b000-g-8a16a856f5377a40,S3,3.9133899436317554,P3_CONTINUATION_B1,P2_METRICWISE_MEDIAN,0.19842751895392197,0.19842751895392174,0.0021149261550616003
task-v2-5de325b6f026,v2-S3-b000-g-8a16a856f5377a40,S3,3.436268688912093,P3_CONTINUATION_B1,P2_METRICWISE_MEDIAN,0.3052016510225528,0.3052016510225559,0.005119592164562601
task-v2-0c6c4504c3d3,v2-S3-b000-g-8a16a856f5377a40,S3,3.2144199392957367,P3_CONTINUATION_B1,P2_METRICWISE_MEDIAN,0.49939172400242193,0.4993917240024235,0.0092454718556835
task-v2-f0ef0f25a74e,v2-S3-b000-g-8a16a856f5377a40,S3,3.135238693248112,P3_CONTINUATION_B1,P2_METRICWISE_MEDIAN,0.04231983982320231,0.04231983982320253,0.0005685313255143001
task-v2-69173fedcdae,v2-S3-b000-g-8a16a856f5377a40,S3,3.0682919036174985,P3_CONTINUATION_B1,P2_METRICWISE_MEDIAN,0.001141381526594154,0.0011413815265932659,3.722081587109998e-05
task-v2-eb1005d46905,v2-S3-b000-g-8a16a856f5377a40,S3,3.311329952303793,P3_CONTINUATION_B1,P2_METRICWISE_MEDIAN,0.4965990643637772,0.4965990643637779,0.006820018925560999
task-v2-8792ce3c54d5,v2-S3-b001-g-a712031e7959d564,S3,3.9133899436317554,P3_CONTINUATION_B1,P2_METRICWISE_MEDIAN,0.15698042756628072,0.1569804275662845,0.0027717929963856002
task-v2-ef23e17da545,v2-S3-b001-g-a712031e7959d564,S3,3.436268688912093,P3_CONTINUATION_B1,P2_METRICWISE_MEDIAN,0.3016194348748502,0.3016194348748522,0.006891312355585799
task-v2-5acbf653f95a,v2-S3-b001-g-a712031e7959d564,S3,3.612359947967774,P3_CONTINUATION_B1,P2_METRICWISE_MEDIAN,0.13618081086515832,0.13618081086515677,0.0019487954336204994
task-v2-5b0627539151,v2-S3-b001-g-a712031e7959d564,S3,3.2144199392957367,P3_CONTINUATION_B1,P2_METRICWISE_MEDIAN,0.17292605485899726,0.17292605485899704,0.0043612759656212995
task-v2-8c0a098a6f8b,v2-S3-b001-g-a712031e7959d564,S3,3.0682919036174985,P3_CONTINUATION_B1,P2_METRICWISE_MEDIAN,0.027749116555276565,0.027749116555276343,-9.992756134800072e-06
task-v2-ac528a9510be,v2-S3-b001-g-a712031e7959d564,S3,3.311329952303793,P3_CONTINUATION_B1,P2_METRICWISE_MEDIAN,0.1761153092380856,0.17611530923808583,0.0050459616085919
task-v2-c5ed7c8b71f4,v2-S3-b001-g-a712031e7959d564,S3,3.135238693248112,P3_CONTINUATION_B1,P2_METRICWISE_MEDIAN,0.10116757424454481,0.10116757424454415,-0.0005142100663047
task-v2-3f11ce371857,v2-S4-b000-g-3ff7063ef9ea5cfb,S4,4.816479930623699,P3_CONTINUATION_B1,P2_METRICWISE_MEDIAN,0.36485515894282505,0.36485515894282283,0.0023160473773966997
task-v2-095187356858,v2-S4-b000-g-3ff7063ef9ea5cfb,S4,4.515449934959718,P3_CONTINUATION_B1,P2_METRICWISE_MEDIAN,0.19688141610689236,0.19688141610689236,0.0011025153909413003
task-v2-606c43f06406,v2-S4-b000-g-3ff7063ef9ea5cfb,S4,4.214419939295737,P3_CONTINUATION_B1,P2_METRICWISE_MEDIAN,0.36074253778213583,0.3607425377821345,0.0015325234267201003
task-v2-0b71cbcaebc2,v2-S4-b000-g-3ff7063ef9ea5cfb,S4,4.339358675904037,P3_CONTINUATION_B1,P2_METRICWISE_MEDIAN,0.4103519125626791,0.41035191256269643,0.0012770552674458
task-v2-9f1427c2fbd8,v2-S4-b000-g-3ff7063ef9ea5cfb,S4,4.038328680240055,P3_CONTINUATION_B1,P2_METRICWISE_MEDIAN,0.5167699765812583,0.5167699765812561,0.0033274571433413004
task-v2-07b8f456a957,v2-S4-b000-g-3ff7063ef9ea5cfb,S4,3.9133899436317554,P3_CONTINUATION_B1,P2_METRICWISE_MEDIAN,0.005445514857744804,0.005445514857747469,1.535767116370005e-05
task-v2-59a464f36e13,v2-S4-b001-g-bd62d2d752385cc7,S4,4.816479930623699,P3_CONTINUATION_B1,P2_METRICWISE_MEDIAN,0.29413986256617286,0.29413986256618774,0.0013979280702442998
task-v2-b5e00db3fe1a,v2-S4-b000-g-3ff7063ef9ea5cfb,S4,3.8622374211843744,P3_CONTINUATION_B1,P2_METRICWISE_MEDIAN,0.013418430890112187,0.013418430890106858,-6.0654483558999096e-06
task-v2-a2561503b5d0,v2-S4-b001-g-bd62d2d752385cc7,S4,4.515449934959718,P3_CONTINUATION_B1,P2_METRICWISE_MEDIAN,0.15991487104425817,0.15991487104425595,0.0010467647375129
task-v2-f6d986d24578,v2-S4-b001-g-bd62d2d752385cc7,S4,4.339358675904037,P3_CONTINUATION_B1,P2_METRICWISE_MEDIAN,0.36102173054995257,0.36102173054995057,0.0018937048028814002
task-v2-5d31ef4af595,v2-S4-b001-g-bd62d2d752385cc7,S4,4.214419939295737,P3_CONTINUATION_B1,P2_METRICWISE_MEDIAN,0.35182743977063846,0.3518274397706391,0.0028319132027362997
task-v2-e243a3cd3e64,v2-S4-b001-g-bd62d2d752385cc7,S4,3.9133899436317554,P3_CONTINUATION_B1,P2_METRICWISE_MEDIAN,0.11391404164227192,0.11391404164226993,0.0004051752113431004
task-v2-cf1a83d8dbf9,v2-S4-b001-g-bd62d2d752385cc7,S4,4.038328680240055,P3_CONTINUATION_B1,P2_METRICWISE_MEDIAN,0.463259781116526,0.4632597811165251,0.0017360427764988998
task-v2-5b5a3995de2b,v2-S4-b001-g-bd62d2d752385cc7,S4,4.11750992628768,P3_CONTINUATION_B1,P2_METRICWISE_MEDIAN,0.6360066307430126,0.6360066307430214,0.0030838511773308005
task-v2-4746dcc3bd93,v2-S5-b000-g-a87f1b9ac089cc45,S5,5.719569917615643,P3_CONTINUATION_B1,P2_METRICWISE_MEDIAN,0.23946762809495725,0.2394676280949568,0.001237794201671
task-v2-7d4ec5aed494,v2-S5-b000-g-a87f1b9ac089cc45,S5,5.418539921951662,P3_CONTINUATION_B1,P2_METRICWISE_MEDIAN,0.1799203305650563,0.17992033056504964,0.0007609128692352999
task-v2-c95d7e1ff6e7,v2-S5-b000-g-a87f1b9ac089cc45,S5,4.816479930623699,P3_CONTINUATION_B1,P2_METRICWISE_MEDIAN,0.04121855244546757,0.04121855244544825,6.353359684339998e-05
task-v2-f5c9b9bdeb27,v2-S5-b000-g-a87f1b9ac089cc45,S5,4.719569917615643,P3_CONTINUATION_B1,P2_METRICWISE_MEDIAN,0.0998462555693016,0.09984625556931537,2.7044002994499987e-05
task-v2-11173062a501,v2-S5-b000-g-a87f1b9ac089cc45,S5,4.941418667231999,P3_CONTINUATION_B1,P2_METRICWISE_MEDIAN,0.30780433970207755,0.3078043397020851,0.0008819630998283003
