task_id,base_graph_id,base_instance_id,size_stratum,stress_level,n_edges,optimizer_seed,feasible_state_fraction,dilution_score,p2_parameters,p2_embedded_p3_parameters,embedded_p2_objective,original_p3_objective,p3_optimization_gap_vs_embedded_p2,original_p3_worse_than_embedded_p2,comparison_tolerance,embedded_p2_p_feas,original_p3_p_feas,embedded_p2_p_opt,original_p3_p_opt,embedded_p2_G_feas,original_p3_G_feas
task-v2-3f363bac5736,g-60667963f6db3f1b,v2-S2-b000-g-60667963f6db3f1b,S2,D1,10,3301,0.0009765625,3.010299956639812,"[2.160715597332026, 3.7799114624427643, 2.376668882563157, 0.09990672968278555]","[2.160715597332026, 3.7799114624427643, 0.0, 2.376668882563157, 0.09990672968278555, 0.0]",1.9474382224519058,1.79951651670905,-0.14792170574285568,False,1e-10,0.00424034998058322,0.0001513256565989,0.00424034998058322,0.0001513256565989,0.6377016595446661,-0.8097874763766114
task-v2-f1a738d52e35,g-60667963f6db3f1b,v2-S2-b000-g-60667963f6db3f1b,S2,D2,10,1103,0.001953125,2.709269960975831,"[1.955596815775932, 4.284139006759231, 2.4393506953469357, 0.0866672880719361]","[1.955596815775932, 4.284139006759231, 0.0, 2.4393506953469357, 0.0866672880719361, 0.0]",1.8938721248452108,1.730182208754327,-0.1636899160908838,False,1e-10,0.011488275309870136,0.0079283861104386,0.00473931040422689,0.0069522158064065,0.7695247956147193,0.6084547530017002
task-v2-f1a738d52e35,g-60667963f6db3f1b,v2-S2-b000-g-60667963f6db3f1b,S2,D2,10,2207,0.001953125,2.709269960975831,"[1.7807333527346352, 6.511052433574562, 2.4245827064658805, -0.4038890372916536]","[1.7807333527346352, 6.511052433574562, 0.0, 2.4245827064658805, -0.4038890372916536, 0.0]",1.5242604748595225,1.7310942254080857,0.20683375054856312,True,1e-10,0.02824407872502935,0.0036703094195684,0.012070107887586695,0.0036585676688503,1.160197374314016,0.2739726392733455
task-v2-f1a738d52e35,g-60667963f6db3f1b,v2-S2-b000-g-60667963f6db3f1b,S2,D2,10,3301,0.001953125,2.709269960975831,"[1.4095912197959284, 1.9465685943560067, 2.062214668905843, -0.5496863513999996]","[1.4095912197959284, 1.9465685943560067, 0.0, 2.062214668905843, -0.5496863513999996, 0.0]",1.7899727667227279,1.8771922605396312,0.0872194938169033,True,1e-10,0.019727808798549153,0.0300942771688124,0.012955390609439605,0.0265291230121422,1.0043488110761574,1.1877538774897345
task-v2-a0f813383468,g-60667963f6db3f1b,v2-S2-b000-g-60667963f6db3f1b,S2,D3,10,1103,0.0029296875,2.533178701920149,"[1.810195493725013, 4.304895532019816, 2.4328348053488718, 0.09093273598858453]","[1.810195493725013, 4.304895532019816, 0.0, 2.4328348053488718, 0.09093273598858453, 0.0]",1.8736319855723043,1.7168371425882276,-0.15679484298407664,False,1e-10,0.014046935173913751,0.0110490620587291,0.0039304144048983095,0.0074836411602986,0.6807602800934447,0.5765041147822554
task-v2-a0f813383468,g-60667963f6db3f1b,v2-S2-b000-g-60667963f6db3f1b,S2,D3,10,2207,0.0029296875,2.533178701920149,"[1.448251790673219, 6.460818290119395, 2.427962575891561, -0.4227616333666228]","[1.448251790673219, 6.460818290119395, 0.0, 2.427962575891561, -0.4227616333666228, 0.0]",1.4862253921164332,1.725537173604421,0.2393117814879877,True,1e-10,0.05656170813315576,0.005551227793741,0.017469245277021105,0.0042944371155506,1.285701218366742,0.2775677508219852
task-v2-a0f813383468,g-60667963f6db3f1b,v2-S2-b000-g-60667963f6db3f1b,S2,D3,10,3301,0.0029296875,2.533178701920149,"[1.6551175236196038, 6.25512558171863, 2.4422554668440046, -0.41919510185957665]","[1.6551175236196038, 6.25512558171863, 0.0, 2.4422554668440046, -0.41919510185957665, 0.0]",1.519600850974557,1.6957575501871576,0.17615669921260046,True,1e-10,0.04539939387475257,0.0989222287668508,0.012891869331508161,0.0407849261264707,1.1902287565700393,1.5284725945896014
task-v2-6996479d6302,g-60667963f6db3f1b,v2-S2-b000-g-60667963f6db3f1b,S2,D4,10,1103,0.00390625,2.4082399653118496,"[1.3117964969211644, 4.575373130391077, 1.000298449563627, 1.4488474187930573]","[1.3117964969211644, 4.575373130391077, 0.0, 1.000298449563627, 1.4488474187930573, 0.0]",1.5711715778007558,1.571181160049544,9.582248788220227e-06,True,1e-10,0.020894408669184565,0.0221681232691571,0.005086189909558524,0.0054239310975243,0.7282700500356153,0.7539688930520073
task-v2-6996479d6302,g-60667963f6db3f1b,v2-S2-b000-g-60667963f6db3f1b,S2,D4,10,2207,0.00390625,2.4082399653118496,"[6.357931285509614, 3.8449562185494717, 2.6155911839506403, 0.12235468941507413]","[6.357931285509614, 3.8449562185494717, 0.0, 2.6155911839506403, 0.12235468941507413, 0.0]",1.359232437207909,1.8923871728250523,0.5331547356171433,True,1e-10,0.16600762298161104,0.0389518345687185,0.05542355519864982,0.004953181671165,1.6283679963810447,0.9987678823732744
task-v2-6996479d6302,g-60667963f6db3f1b,v2-S2-b000-g-60667963f6db3f1b,S2,D4,10,3301,0.00390625,2.4082399653118496,"[3.4410415080893064, 2.0624397849985283, 1.575700986275079, 1.0528469041010955]","[3.4410415080893064, 2.0624397849985283, 0.0, 1.575700986275079, 1.0528469041010955, 0.0]",1.7364900131746082,1.3623349023653857,-0.3741551108092225,False,1e-10,0.05752299199216517,0.1683527505044137,0.01637879063906008,0.0564455057404368,1.168081432601368,1.6344601814866926
task-v2-4d2b9f5eb099,g-6aa6775bed3bc2cc,v2-S2-b001-g-6aa6775bed3bc2cc,S2,D1,10,1103,0.0009765625,3.010299956639812,"[2.1450982007237074, 4.482779151310205, 2.279926225258401, 0.12233595615805042]","[2.1450982007237074, 4.482779151310205, 0.0, 2.279926225258401, 0.12233595615805042, 0.0]",1.805285959498969,1.6199367613052311,-0.18534919819373785,False,1e-10,0.005136852164885442,0.0007063208723795,0.005136852164885442,0.0007063208723795,0.7209970238439334,-0.1406980031499282
task-v2-4d2b9f5eb099,g-6aa6775bed3bc2cc,v2-S2-b001-g-6aa6775bed3bc2cc,S2,D1,10,2207,0.0009765625,3.010299956639812,"[3.3845201324537864, 6.764256654954441, 2.4656432901734386, -0.3924608655984018]","[3.3845201324537864, 6.764256654954441, 0.0, 2.4656432901734386, -0.3924608655984018, 0.0]",1.6436858706178625,1.748934135420376,0.10524826480251348,True,1e-10,0.006696391865197934,0.0083261396641272,0.006696391865197934,0.0083261396641272,0.8361408167853355,0.9307436481834904
