task_id,base_graph_id,base_instance_id,size_stratum,stress_level,n_edges,feasible_state_fraction,dilution_score,arm,source_p2_seed,depth,eval_budget,state_variant,parameters,objective,p_feas,p_opt,p_opt_given_feasible,G_feas,state_norm,expected_routing_component,expected_flow_penalty,expected_resource_penalty,expected_total_penalty,component_sum,component_sum_error,mass_valid_flow_resource_feasible,mass_flow_invalid_resource_feasible,mass_flow_valid_resource_violating,mass_both_flow_and_resource_violating,mass_flow_invalid,mass_resource_violating,mass_category_sum
task-v2-e442db508705,g-548c8c6335dd2a2e,v2-S1-b000-g-548c8c6335dd2a2e,S1,D1,7,0.0078125,2.1072099696478683,P3_RANDOM_ORIGINAL,2207,3,120,terminal,"[5.069818734753354, 5.2042880037268615, 2.942267069497085, 0.7312740400591933, 0.8686944031520314, 1.3919830340066335]",1.9079903579954587,0.04746087636503124,0.04746087636503124,1.0,0.7835457228503703,0.9999999999999994,0.07294870343491441,1.240231368403033,0.5948102861575113,1.8350416545605444,1.9079903579954587,0.0,0.04746087636503124,0.39586030049084425,0.015659188122599962,0.5410196350215238,0.9368799355123681,0.556678823144124,0.9999999999999993
task-v2-e442db508705,g-548c8c6335dd2a2e,v2-S1-b000-g-548c8c6335dd2a2e,S1,D1,7,0.0078125,2.1072099696478683,P3_RANDOM_ORIGINAL,3301,3,120,terminal,"[1.3548263689342672, 3.6133128942461954, 2.346828868940657, 0.8271851659346426, 3.2594200420267914, 1.9654861064107754]",1.5936407386978046,0.03205566207054036,0.03205566207054036,1.0,0.6131147207822333,0.9999999999999998,0.03833385846298144,1.2911651952496515,0.2641416849851717,1.555306880234823,1.5936407386978046,0.0,0.03205566207054036,0.7182435563327558,0.004276486413701638,0.24542429518300177,0.9636678515157576,0.24970078159670336,0.9999999999999996
task-v2-d7382a83ef13,g-548c8c6335dd2a2e,v2-S1-b000-g-548c8c6335dd2a2e,S1,D2,7,0.015625,1.806179973983887,P2_RANDOM_ORIGINAL,1103,2,120,terminal,"[1.3782086668752445, 4.601681502666781, 2.554680337050873, 0.14831440667307677]",1.5767358274755168,0.09988833319552405,0.04492980700607253,0.44980034773556327,0.8056947402409731,1.0000000000000004,0.06905302886359148,1.2120593046066337,0.2956234940052916,1.5076827986119252,1.5767358274755168,0.0,0.09988833319552405,0.6358696022021314,0.02042466977567356,0.2438173948266713,0.8796869970288027,0.2642420646023449,1.0000000000000004
task-v2-d7382a83ef13,g-548c8c6335dd2a2e,v2-S1-b000-g-548c8c6335dd2a2e,S1,D2,7,0.015625,1.806179973983887,P2_RANDOM_ORIGINAL,2207,2,120,terminal,"[4.8842099188213615, 6.738175990251219, 2.4882356625947186, -0.32227751464685306]",1.4805575381283131,0.150843954523465,0.09357045734344246,0.6203129428623327,0.9847078833261091,1.0000000000000009,0.06316264800971737,1.0420323307045358,0.3753625594140596,1.4173948901185955,1.4805575381283127,-4.440892098500626e-16,0.150843954523465,0.49141057056179493,0.04524506508634467,0.31250040982839633,0.8039109803901912,0.357745474914741,1.0000000000000009
task-v2-d7382a83ef13,g-548c8c6335dd2a2e,v2-S1-b000-g-548c8c6335dd2a2e,S1,D2,7,0.015625,1.806179973983887,P2_RANDOM_ORIGINAL,3301,2,120,terminal,"[3.032761243412031, 3.331088620118533, 3.069783442292192, -0.4785774234800611]",1.5136882839514054,0.1643406008826411,0.10020753855826221,0.6097552158143952,1.0219248445461497,1.0000000000000004,0.06730423402433686,0.9979956812840964,0.44838836864297216,1.4463840499270686,1.5136882839514054,0.0,0.1643406008826411,0.4039272121715204,0.06509476906451829,0.36663741788132054,0.7705646300528409,0.4317321869458388,1.0000000000000004
task-v2-d7382a83ef13,g-548c8c6335dd2a2e,v2-S1-b000-g-548c8c6335dd2a2e,S1,D2,7,0.015625,1.806179973983887,P3_CONTINUATION_B1,1103,3,120,terminal,"[1.3749997365313709, 4.637543622402393, -0.009803079957066868, 2.556798513484951, 0.1454636940034902, 0.0009081655717915359]",1.5762993418256328,0.10099610029419105,0.045470197161697874,0.45021735521716144,0.8104845789208777,1.0000000000000002,0.06911091247575563,1.2110816075730473,0.29610682177682973,1.507188429349877,1.5762993418256326,-2.220446049250313e-16,0.10099610029419105,0.6342626845303175,0.02018288615795936,0.2445583290175325,0.8788210135478499,0.2647412151754919,1.0000000000000004
task-v2-d7382a83ef13,g-548c8c6335dd2a2e,v2-S1-b000-g-548c8c6335dd2a2e,S1,D2,7,0.015625,1.806179973983887,P3_CONTINUATION_B1,2207,3,120,terminal,"[5.713097476069165, 6.838705741886849, -0.26189851981221557, 2.5066611881809764, -0.4725378580412556, 0.2052356132359491]",1.3651376944024782,0.196569425804615,0.11297730925597364,0.5747450743854245,1.099695943039874,1.0000000000000009,0.05694089704869584,0.9832610226816282,0.32493577467215407,1.3081967973537822,1.365137694402478,-2.220446049250313e-16,0.196569425804615,0.4901909232824035,0.056314617207902,0.25692503370508046,0.7471159569874839,0.3132396509129825,1.0000000000000009
task-v2-d7382a83ef13,g-548c8c6335dd2a2e,v2-S1-b000-g-548c8c6335dd2a2e,S1,D2,7,0.015625,1.806179973983887,P3_CONTINUATION_B1,3301,3,120,terminal,"[3.0196062126783967, 3.3421832736198254, -0.0027404542223078577, 3.0695497487419634, -0.47983293794475884, 0.0013029040316764422]",1.5135918259351904,0.1643950641131905,0.10021411497326697,0.6095932108050812,1.022068747889956,1.0000000000000009,0.06729523122377201,0.9977337248440478,0.44856286986737065,1.4462965947114184,1.5135918259351906,2.220446049250313e-16,0.1643950641131905,0.4036869706726547,0.06516912309191857,0.3667488421222369,0.7704358127948916,0.43191796521415554,1.0000000000000007
task-v2-d7382a83ef13,g-548c8c6335dd2a2e,v2-S1-b000-g-548c8c6335dd2a2e,S1,D2,7,0.015625,1.806179973983887,P3_CONTINUATION_B2,2207,3,240,terminal,"[5.863041846165946, 6.769714497826122, -0.34948122400143655, 2.5101701878653713, -0.49746904074694986, 0.2541214451313107]",1.3511155951615004,0.20528116705646274,0.11820814608879295,0.5758353178900221,1.118529082055763,1.0000000000000004,0.05635727132134686,0.9723613267154821,0.3223969971246715,1.2947583238401537,1.3511155951615006,2.220446049250313e-16,0.20528116705646274,0.4834980231499706,0.057378265102142924,0.25384254469142403,0.7373405678413946,0.311220809793567,1.0000000000000002
task-v2-d7382a83ef13,g-548c8c6335dd2a2e,v2-S1-b000-g-548c8c6335dd2a2e,S1,D2,7,0.015625,1.806179973983887,P3_CONTINUATION_B4,2207,3,480,terminal,"[5.8981578156210475, 6.76081672281824, -0.3593735646168864, 2.512724821362827, -0.48887276508853983, 0.25035197237408247]",1.3508235151087655,0.20639921897833402,0.11854601003676837,0.574352997184608,1.1208880235570766,1.0000000000000009,0.05645049378223948,0.9698864003035194,0.32448662102300646,1.2943730213265259,1.3508235151087653,-2.220446049250313e-16,0.20639921897833402,0.4802694179691622,0.058424253959997494,0.2549071090925069,0.7351765270616692,0.3133313630525044,1.0000000000000007
