task_id,base_graph_id,base_instance_id,size_stratum,stress_level,n_edges,feasible_state_fraction,dilution_score,in_phase1_pilot,max_feasible_energy,min_infeasible_energy,feasible_infeasible_energy_gap,complete_energy_separation
task-v2-7eefc621bd20,g-64377640089a831f,v2-S3-b004-g-64377640089a831f,S3,D6,13,0.000732421875,3.135238693248112,False,0.10465116279069768,1.0625,0.9578488372093024,True
task-v2-8d35df6592f7,g-64377640089a831f,v2-S3-b004-g-64377640089a831f,S3,D7,13,0.0008544921875,3.0682919036174985,False,0.10465116279069768,1.0625,0.9578488372093024,True
task-v2-3f11ce371857,g-3ff7063ef9ea5cfb,v2-S4-b000-g-3ff7063ef9ea5cfb,S4,D1,16,1.52587890625e-05,4.816479930623699,True,0.09302325581395349,1.0454545454545454,0.952431289640592,True
task-v2-095187356858,g-3ff7063ef9ea5cfb,v2-S4-b000-g-3ff7063ef9ea5cfb,S4,D2,16,3.0517578125e-05,4.515449934959718,True,0.13372093023255813,1.0454545454545454,0.9117336152219873,True
task-v2-0b71cbcaebc2,g-3ff7063ef9ea5cfb,v2-S4-b000-g-3ff7063ef9ea5cfb,S4,D3,16,4.57763671875e-05,4.339358675904037,True,0.13372093023255813,1.0454545454545454,0.9117336152219873,True
task-v2-606c43f06406,g-3ff7063ef9ea5cfb,v2-S4-b000-g-3ff7063ef9ea5cfb,S4,D4,16,6.103515625e-05,4.214419939295737,True,0.13372093023255813,1.0454545454545454,0.9117336152219873,True
task-v2-9f1427c2fbd8,g-3ff7063ef9ea5cfb,v2-S4-b000-g-3ff7063ef9ea5cfb,S4,D5,16,9.1552734375e-05,4.038328680240055,True,0.13372093023255813,1.0454545454545454,0.9117336152219873,True
task-v2-07b8f456a957,g-3ff7063ef9ea5cfb,v2-S4-b000-g-3ff7063ef9ea5cfb,S4,D6,16,0.0001220703125,3.9133899436317554,True,0.13372093023255813,1.0454545454545454,0.9117336152219873,True
task-v2-b5e00db3fe1a,g-3ff7063ef9ea5cfb,v2-S4-b000-g-3ff7063ef9ea5cfb,S4,D7,16,0.0001373291015625,3.8622374211843744,True,0.13372093023255813,1.0454545454545454,0.9117336152219873,True
task-v2-59a464f36e13,g-bd62d2d752385cc7,v2-S4-b001-g-bd62d2d752385cc7,S4,D1,16,1.52587890625e-05,4.816479930623699,True,0.11046511627906977,1.0454545454545454,0.9349894291754757,True
task-v2-a2561503b5d0,g-bd62d2d752385cc7,v2-S4-b001-g-bd62d2d752385cc7,S4,D2,16,3.0517578125e-05,4.515449934959718,True,0.11046511627906977,1.0454545454545454,0.9349894291754757,True
task-v2-f6d986d24578,g-bd62d2d752385cc7,v2-S4-b001-g-bd62d2d752385cc7,S4,D3,16,4.57763671875e-05,4.339358675904037,True,0.12790697674418605,1.0454545454545454,0.9175475687103594,True
task-v2-5d31ef4af595,g-bd62d2d752385cc7,v2-S4-b001-g-bd62d2d752385cc7,S4,D4,16,6.103515625e-05,4.214419939295737,True,0.12790697674418605,1.0454545454545454,0.9175475687103594,True
task-v2-5b5a3995de2b,g-bd62d2d752385cc7,v2-S4-b001-g-bd62d2d752385cc7,S4,D5,16,7.62939453125e-05,4.11750992628768,True,0.12790697674418605,1.0454545454545454,0.9175475687103594,True
