slice_point_id,task_id,base_graph_id,base_instance_id,size_stratum,stress_level,representative_role,dilution_score,source_p2_seed,gamma3_index,beta3_index,gamma3,beta3,objective,p_feas,p_opt,G_feas,state_norm,embedded_point,original_p3_projected_gamma3,original_p3_projected_beta3
task-v2-3f363bac5736-g32-b05,task-v2-3f363bac5736,g-60667963f6db3f1b,v2-S2-b000-g-60667963f6db3f1b,S2,D1,most_diluted,3.010299956639812,2207,32,5,1.884955592153876,-1.1780972450961724,2.6265676962690074,0.000500511746947,0.000500511746947,-0.2902857685889674,0.9999999999999992,False,3.8763954380906993,1.7393286241522357
task-v2-3f363bac5736-g32-b06,task-v2-3f363bac5736,g-60667963f6db3f1b,v2-S2-b000-g-60667963f6db3f1b,S2,D1,most_diluted,3.010299956639812,2207,32,6,1.884955592153876,-1.0995574287564276,2.57005339887736,0.0003114388562592,0.0003114388562592,-0.4963272475678432,0.9999999999999978,False,3.8763954380906993,1.7393286241522357
task-v2-3f363bac5736-g32-b07,task-v2-3f363bac5736,g-60667963f6db3f1b,v2-S2-b000-g-60667963f6db3f1b,S2,D1,most_diluted,3.010299956639812,2207,32,7,1.884955592153876,-1.0210176124166828,2.492629546697562,0.000304789628511,0.000304789628511,-0.5056998587670013,0.9999999999999988,False,3.8763954380906993,1.7393286241522357
task-v2-3f363bac5736-g32-b08,task-v2-3f363bac5736,g-60667963f6db3f1b,v2-S2-b000-g-60667963f6db3f1b,S2,D1,most_diluted,3.010299956639812,2207,32,8,1.884955592153876,-0.942477796076938,2.3941720077865924,0.0006077654635569,0.0006077654635569,-0.2059640258209327,0.9999999999999996,False,3.8763954380906993,1.7393286241522357
task-v2-3f363bac5736-g32-b09,task-v2-3f363bac5736,g-60667963f6db3f1b,v2-S2-b000-g-60667963f6db3f1b,S2,D1,most_diluted,3.010299956639812,2207,32,9,1.884955592153876,-0.8639379797371931,2.292372394340546,0.0015682742660134,0.0015682742660134,0.2057219727689603,0.9999999999999988,False,3.8763954380906993,1.7393286241522357
task-v2-3f363bac5736-g32-b10,task-v2-3f363bac5736,g-60667963f6db3f1b,v2-S2-b000-g-60667963f6db3f1b,S2,D1,most_diluted,3.010299956639812,2207,32,10,1.884955592153876,-0.7853981633974483,2.203848597571784,0.0035949136318075,0.0035949136318075,0.5659884175117071,0.9999999999999988,False,3.8763954380906993,1.7393286241522357
task-v2-3f363bac5736-g32-b11,task-v2-3f363bac5736,g-60667963f6db3f1b,v2-S2-b000-g-60667963f6db3f1b,S2,D1,most_diluted,3.010299956639812,2207,32,11,1.884955592153876,-0.7068583470577035,2.1270657004708395,0.0067318702377319,0.0067318702377319,0.8384356926453014,0.9999999999999988,False,3.8763954380906993,1.7393286241522357
task-v2-3f363bac5736-g32-b12,task-v2-3f363bac5736,g-60667963f6db3f1b,v2-S2-b000-g-60667963f6db3f1b,S2,D1,most_diluted,3.010299956639812,2207,32,12,1.884955592153876,-0.6283185307179586,2.052265892681361,0.0106121927438155,0.0106121927438155,1.0361050858897336,0.9999999999999996,False,3.8763954380906993,1.7393286241522357
task-v2-3f363bac5736-g32-b13,task-v2-3f363bac5736,g-60667963f6db3f1b,v2-S2-b000-g-60667963f6db3f1b,S2,D1,most_diluted,3.010299956639812,2207,32,13,1.884955592153876,-0.5497787143782138,1.985704410821616,0.0149038886218287,0.0149038886218287,1.18359955301633,0.9999999999999974,False,3.8763954380906993,1.7393286241522357
task-v2-3f363bac5736-g32-b14,task-v2-3f363bac5736,g-60667963f6db3f1b,v2-S2-b000-g-60667963f6db3f1b,S2,D1,most_diluted,3.010299956639812,2207,32,14,1.884955592153876,-0.4712388980384689,1.9502500590379923,0.0194740494951232,0.0194740494951232,1.299756226111657,0.9999999999999992,False,3.8763954380906993,1.7393286241522357
