task_id,base_graph_id,base_instance_id,size_stratum,stress_level,n_edges,state_space_size,budget,edge_resource_min,edge_resource_max,edge_resource_mean,feasible_state_fraction,dilution_score,routing_cost_min,routing_cost_max,routing_cost_mean,routing_cost_p95,flow_penalty_min,flow_penalty_max,flow_penalty_mean,flow_penalty_p95,minimum_positive_flow_penalty,resource_excess_max,resource_penalty_max,resource_penalty_mean,resource_penalty_p95,minimum_positive_resource_penalty,weighted_flow_penalty_p95,weighted_resource_penalty_p95,weighted_total_penalty_p95,total_energy_min,total_energy_max,total_energy_mean,total_energy_p95,total_energy_dynamic_range,energy_span,resource_penalty_raw_to_cost_ratio,flow_penalty_raw_to_cost_ratio,resource_penalty_to_cost_ratio,flow_penalty_to_cost_ratio,total_penalty_to_cost_ratio,flow_penalty_strength,resource_penalty_strength,gamma_initial_min,gamma_initial_median,gamma_initial_max,initial_phase_span_min,initial_phase_span_median,initial_phase_span_max,initial_phase_wraps_at_median_gamma,n_penalty_ground_states,penalty_ground_state_valid,penalty_ground_state_resource_feasible,penalty_ground_state_original_optimal,penalty_ground_state_cost,penalty_ground_state_cost_max,exact_rcsp_cost,ground_state_gap_to_exact
task-v2-2d64318cb7be,g-6aa6775bed3bc2cc,v2-S2-b001-g-6aa6775bed3bc2cc,S2,D2,10,1024,1531.0,105.0,849.0,495.0,0.001953125,2.709269960975831,0.0,51.0,25.5,41.0,0.0,18.0,6.5,14.0,2.0,3419.0,11689561.0,1613657.939453125,5699752.19999999,4.0,700.0,113995043.99999979,113995498.99999979,13.0,233791771.0,32273509.2890625,113995529.74999979,233791758.0,233791758.0,139018.34634146316,0.34146341463414637,2780366.926829263,17.073170731707318,2780378.024390239,50.0,20.0,1.4361119332668082,3.2295534178963874,4.6766136583430296,335751133.56322575,755042971.1249051,1093353728.6708283,120168821.10131985,1,True,True,True,13.0,13.0,13.0,0.0
task-v2-3cd2eda112d3,g-6aa6775bed3bc2cc,v2-S2-b001-g-6aa6775bed3bc2cc,S2,D3,10,1024,2366.0,105.0,849.0,495.0,0.0029296875,2.533178701920149,0.0,51.0,25.5,41.0,0.0,18.0,6.5,14.0,2.0,2584.0,6677056.0,465994.7236328125,2410019.199999993,4.0,700.0,48200383.999999866,48200838.999999866,13.0,133541671.0,9320244.97265625,48200869.749999866,133541658.0,133541658.0,58780.95609756081,0.34146341463414637,1175619.1219512161,17.073170731707318,1175630.2195121918,50.0,20.0,1.4361119332668082,3.2295534178963874,4.6766136583430296,191780768.64203492,431279918.02545047,624522741.7605737,68640330.81001785,2,True,True,True,13.0,13.0,13.0,0.0
task-v2-f4789f22d2c1,g-6aa6775bed3bc2cc,v2-S2-b001-g-6aa6775bed3bc2cc,S2,D4,10,1024,2740.0,105.0,849.0,495.0,0.00390625,2.4082399653118496,0.0,51.0,25.5,41.0,0.0,18.0,6.5,14.0,2.0,2210.0,4884100.0,227360.5673828125,1388699.9999999949,1.0,700.0,27773999.9999999,27774454.9999999,13.0,97682551.0,4547561.84765625,27774485.7499999,97682538.0,97682538.0,33870.73170731695,0.34146341463414637,677414.634146339,17.073170731707318,677425.7317073146,50.0,20.0,1.4361119332668082,3.2295534178963874,4.6766136583430296,140283058.49358845,315470974.46669376,456823491.392412,50208764.988391414,2,True,True,True,13.0,13.0,13.0,0.0
task-v2-ff6e67bbbcba,g-0780828b282bb310,v2-S2-b002-g-0780828b282bb310,S2,D1,10,1024,1934.0,261.0,981.0,649.0,0.0009765625,3.010299956639812,0.0,40.0,20.0,32.0,0.0,16.0,6.0,12.0,2.0,4556.0,20757136.0,2867491.07421875,9928195.799999991,16.0,600.0,198563915.99999985,198564300.99999985,12.0,415143160.0,57350141.484375,198564328.54999983,415143148.0,415143148.0,310256.11874999973,0.375,6205122.374999995,18.75,6205134.406249995,50.0,20.0,1.4361119332668082,3.2295534178963874,4.6766136583430296,596192028.8567487,1340726972.5396657,1941464116.1043217,213383325.01631963,1,True,True,True,12.0,12.0,12.0,0.0
task-v2-a9de39f81405,g-0780828b282bb310,v2-S2-b002-g-0780828b282bb310,S2,D2,10,1024,2008.0,261.0,981.0,649.0,0.001953125,2.709269960975831,0.0,40.0,20.0,32.0,0.0,16.0,6.0,12.0,2.0,4482.0,20088324.0,2669312.84765625,9467338.599999992,9.0,600.0,189346771.99999985,189347156.99999985,12.0,401766920.0,53386576.953125,189347184.54999983,401766908.0,401766908.0,295854.33124999976,0.375,5917086.624999995,18.75,5917098.656249995,50.0,20.0,1.4361119332668082,3.2295534178963874,4.6766136583430296,576982250.9705079,1297527690.9290633,1878908609.4230473,206507945.80997345,1,True,True,True,12.0,12.0,12.0,0.0
task-v2-b0f919379fb8,g-0780828b282bb310,v2-S2-b002-g-0780828b282bb310,S2,D3,10,1024,2824.0,261.0,981.0,649.0,0.0029296875,2.533178701920149,0.0,40.0,20.0,32.0,0.0,16.0,6.0,12.0,2.0,3666.0,13439556.0,1069410.369140625,5111693.799999994,25.0,600.0,102233875.99999988,102234260.99999988,12.0,268791560.0,21388527.3828125,102234288.54999988,268791548.0,268791548.0,159740.43124999982,0.375,3194808.6249999963,18.75,3194820.6562499963,50.0,20.0,1.4361119332668082,3.2295534178963874,4.6766136583430296,386014749.64405805,868076662.5450609,1257034224.623966,138158691.8267616,1,True,True,True,12.0,12.0,12.0,0.0
task-v2-d80673ba7cf0,g-0780828b282bb310,v2-S2-b002-g-0780828b282bb310,S2,D4,10,1024,2974.0,261.0,981.0,649.0,0.00390625,2.4082399653118496,0.0,40.0,20.0,32.0,0.0,16.0,6.0,12.0,2.0,3516.0,12362256.0,878545.8828125,4455923.799999994,25.0,600.0,89118475.9999999,89118860.9999999,12.0,247245560.0,17571237.65625,89118888.5499999,247245548.0,247245548.0,139247.61874999982,0.375,2784952.3749999967,18.75,2784964.4062499967,50.0,20.0,1.4361119332668082,3.2295534178963874,4.6766136583430296,355072281.9298914,798492704.6030653,1156271906.741307,127084060.96039444,1,True,True,True,12.0,12.0,12.0,0.0
task-v2-30409dd5a775,g-686fdbb6f8f550f1,v2-S2-b003-g-686fdbb6f8f550f1,S2,D1,10,1024,272.0,16.0,889.0,362.7,0.0009765625,3.010299956639812,0.0,53.0,26.5,41.0,0.0,16.0,6.0,10.0,2.0,3355.0,11256025.0,2911660.7109375,7661824.0,1681.0,500.0,153236480.0,153236950.0,25.0,225120953.0,58233540.71875,153236982.35,225120928.0,225120928.0,186873.75609756098,0.24390243902439024,3737475.1219512196,12.195121951219512,3737486.5853658537,50.0,20.0,1.4361119332668082,3.2295534178963874,4.6766136583430296,323298851.1288979,727040062.4624065,1052803606.6636578,115712019.76673235,1,True,True,True,25.0,25.0,25.0,0.0
task-v2-eed472030dc4,g-686fdbb6f8f550f1,v2-S2-b003-g-686fdbb6f8f550f1,S2,D2,10,1024,743.0,16.0,889.0,362.7,0.001953125,2.709269960975831,0.0,53.0,26.5,41.0,0.0,16.0,6.0,10.0,2.0,2884.0,8317456.0,1672963.3876953125,5276209.0,1.0,500.0,105524180.0,105524650.0,12.0,166349573.0,33459594.25390625,105524682.35,166349561.0,166349561.0,128688.0243902439,0.24390243902439024,2573760.487804878,12.195121951219512,2573771.951219512,50.0,20.0,1.4361119332668082,3.2295534178963874,4.6766136583430296,238896589.64579484,537234793.2931136,777952629.0319669,85503572.95355165,1,True,True,True,12.0,12.0,12.0,0.0
task-v2-4507b50770a7,g-686fdbb6f8f550f1,v2-S2-b003-g-686fdbb6f8f550f1,S2,D3,10,1024,1437.0,16.0,889.0,362.7,0.0029296875,2.533178701920149,0.0,53.0,26.5,41.0,0.0,16.0,6.0,10.0,2.0,2190.0,4796100.0,572480.8203125,2569609.0,25.0,500.0,51392180.0,51392650.0,12.0,95922453.0,11449942.90625,51392682.35,95922441.0,95922441.0,62673.39024390244,0.24390243902439024,1253467.8048780488,12.195121951219512,1253479.268292683,50.0,20.0,1.4361119332668082,3.2295534178963874,4.6766136583430296,137755362.18818134,309786647.1845146,448592197.72220343,49304076.20328048,1,True,True,True,12.0,12.0,12.0,0.0
task-v2-59e59ed3c03f,g-686fdbb6f8f550f1,v2-S2-b003-g-686fdbb6f8f550f1,S2,D4,10,1024,1861.0,16.0,889.0,362.7,0.00390625,2.4082399653118496,0.0,53.0,26.5,41.0,0.0,16.0,6.0,10.0,2.0,1766.0,3118756.0,240695.0927734375,1390041.0,9.0,500.0,27800820.0,27801290.0,12.0,62375573.0,4814228.35546875,27801322.35,62375561.0,62375561.0,33903.439024390245,0.24390243902439024,678068.7804878049,12.195121951219512,678080.243902439,50.0,20.0,1.4361119332668082,3.2295534178963874,4.6766136583430296,89578287.49631172,201445206.2207546,291706400.5194088,32061000.33219932,1,True,True,True,12.0,12.0,12.0,0.0
task-v2-de1e481a2b9a,g-8c950d2bd101a5de,v2-S2-b004-g-8c950d2bd101a5de,S2,D1,10,1024,858.0,75.0,1000.0,378.4,0.0009765625,3.010299956639812,0.0,58.0,29.0,45.0,0.0,12.0,6.0,10.0,2.0,2926.0,8561476.0,1579787.89453125,4890954.549999999,1.0,500.0,97819090.99999997,97819520.99999997,16.0,171229978.0,31596086.890625,97819566.59999998,171229962.0,171229962.0,108687.87888888887,0.2222222222222222,2173757.5777777773,11.11111111111111,2173767.133333333,50.0,20.0,1.4361119332668082,3.2295534178963874,4.6766136583430296,245905391.7610221,552996309.0233685,800776379.006758,88012096.09264238,1,True,True,True,16.0,16.0,16.0,0.0
task-v2-df25fe0d6e36,g-8c950d2bd101a5de,v2-S2-b004-g-8c950d2bd101a5de,S2,D2,10,1024,1083.0,75.0,1000.0,378.4,0.001953125,2.709269960975831,0.0,58.0,29.0,45.0,0.0,12.0,6.0,10.0,2.0,2701.0,7295401.0,1150933.552734375,3946382.049999999,4.0,500.0,78927640.99999999,78928070.99999999,16.0,145908478.0,23019000.0546875,78928116.59999998,145908462.0,145908462.0,87697.37888888887,0.2222222222222222,1753947.5777777773,11.11111111111111,1753957.133333333,50.0,20.0,1.4361119332668082,3.2295534178963874,4.6766136583430296,209540883.44280663,471219172.15210515,682357506.2570249,74996860.52767833,1,True,True,True,16.0,16.0,16.0,0.0
task-v2-0da346e5ae20,g-8c950d2bd101a5de,v2-S2-b004-g-8c950d2bd101a5de,S2,D3,10,1024,1736.0,75.0,1000.0,378.4,0.0029296875,2.533178701920149,0.0,58.0,29.0,45.0,0.0,12.0,6.0,10.0,2.0,2048.0,4194304.0,364675.7265625,1778356.7499999993,4.0,500.0,35567134.999999985,35567564.999999985,16.0,83886538.0,7293843.53125,35567610.59999999,83886522.0,83886522.0,39519.03888888887,0.2222222222222222,790380.7777777774,11.11111111111111,790390.333333333,50.0,20.0,1.4361119332668082,3.2295534178963874,4.6766136583430296,120470435.28444864,270916003.84054047,392304854.53609306,43117621.173924915,1,True,True,True,16.0,16.0,16.0,0.0
task-v2-693f08fcb4be,g-8c950d2bd101a5de,v2-S2-b004-g-8c950d2bd101a5de,S2,D4,10,1024,1829.0,75.0,1000.0,378.4,0.00390625,2.4082399653118496,0.0,58.0,29.0,45.0,0.0,12.0,6.0,10.0,2.0,1955.0,3822025.0,298804.2099609375,1538965.4499999993,9.0,500.0,30779308.999999985,30779738.999999985,16.0,76440958.0,5976413.19921875,30779784.599999987,76440942.0,76440942.0,34199.23222222221,0.2222222222222222,683984.6444444441,11.11111111111111,683994.1999999997,50.0,20.0,1.4361119332668082,3.2295534178963874,4.6766136583430296,109777748.99635595,246870105.5033195,357484753.41380733,39290597.59247101,1,True,True,True,16.0,16.0,16.0,0.0
