task_id,base_graph_id,base_instance_id,size_stratum,stress_level,n_edges,feasible_state_fraction,dilution_score,current_energy_span,current_total_energy_p95,current_resource_penalty_to_cost_ratio,current_flow_penalty_to_cost_ratio,current_ground_state_original_optimal,controlled_flow_scale,controlled_resource_scale,controlled_flow_penalty_strength,controlled_resource_penalty_strength,controlled_flow_classification_unchanged,controlled_resource_classification_unchanged,controlled_flow_penalty_max,controlled_resource_penalty_max,controlled_flow_penalty_p95,controlled_resource_penalty_p95,controlled_total_energy_min,controlled_total_energy_max,controlled_total_energy_mean,controlled_total_energy_p95,controlled_energy_span,controlled_resource_penalty_to_cost_ratio,controlled_flow_penalty_to_cost_ratio,controlled_total_penalty_to_cost_ratio,controlled_initial_phase_span_min,controlled_initial_phase_span_median,controlled_initial_phase_span_max,controlled_n_ground_states,controlled_ground_state_valid,controlled_ground_state_resource_feasible,controlled_ground_state_original_optimal,controlled_ground_state_cost,controlled_ground_state_gap_to_exact
task-v2-693f08fcb4be,g-8c950d2bd101a5de,v2-S2-b004-g-8c950d2bd101a5de,S2,D4,10,0.00390625,2.4082399653118496,76440942.0,30779784.599999987,683984.6444444441,11.11111111111111,True,12.0,3784.0,172.0,172.0,True,True,2.0,1.2669262394459369,1.8333333333333335,1.1074797418137567,16.0,592.6617816644243,380.7885447393443,540.9507073243001,576.6617816644243,4.23303367982147,7.007407407407408,11.134835782952855,828.1508661071784,1862.3600279445618,2696.824364376273,1,True,True,True,16.0,0.0
task-v2-4968f3a685c2,g-8a16a856f5377a40,v2-S3-b000-g-8a16a856f5377a40,S3,D1,13,0.0001220703125,3.9133899436317554,372213061.0,196747009.89999998,4471508.568181817,20.454545454545453,True,30.0,5082.0,172.0,172.0,True,True,2.0,1.72059452836527,1.6,1.3808968899810907,18.0,653.0755922121598,453.7857530341107,542.4005953987814,635.0755922121598,5.398051479016991,6.254545454545454,11.39554254408587,912.0396365023679,2051.010549451353,2970.003188619675,1,True,True,True,18.0,0.0
task-v2-8f4071cbe937,g-8a16a856f5377a40,v2-S3-b000-g-8a16a856f5377a40,S3,D2,13,0.000244140625,3.612359947967774,345614123.0,177543083.89999998,4035055.7045454537,20.454545454545453,True,30.0,5082.0,172.0,172.0,True,True,2.0,1.66909953426536,1.6,1.3437184890348461,16.0,644.2184532269753,448.5956035352248,536.4296085589485,628.2184532269753,5.25271772986349,6.254545454545454,11.265509518956199,902.1920173776754,2028.8650528047597,2937.9349987844043,1,True,True,True,16.0,0.0
task-v2-5de325b6f026,g-8a16a856f5377a40,v2-S3-b000-g-8a16a856f5377a40,S3,D3,13,0.0003662109375,3.436268688912093,344285163.0,176590939.89999998,4013416.0681818174,20.454545454545453,True,30.0,5082.0,172.0,172.0,True,True,2.0,1.6665266953718172,1.6,1.3418751580727002,16.0,643.7759249372859,448.2972253387819,536.1052610869269,627.7759249372859,5.245511981556919,6.254545454545454,11.259235782531443,901.5564972200443,2027.4358840542777,2935.86546494064,2,True,True,True,16.0,0.0
task-v2-eb1005d46905,g-8a16a856f5377a40,v2-S3-b000-g-8a16a856f5377a40,S3,D4,13,0.00048828125,3.311329952303793,304513231.0,148453193.89999998,3373921.8409090904,20.454545454545453,True,30.0,5082.0,172.0,172.0,True,True,2.0,1.589529047509084,1.6,1.287401067591848,8.0,630.5323295048958,438.86624687409466,526.8487603228346,622.5323295048958,5.032567809677224,6.254545454545454,11.072654957674496,894.0261072463655,2010.5014125035361,2911.343194922699,1,True,True,True,8.0,0.0
task-v2-0c6c4504c3d3,g-8a16a856f5377a40,v2-S3-b000-g-8a16a856f5377a40,S3,D5,13,0.0006103515625,3.2144199392957367,302176531.0,146823023.89999998,3336872.522727272,20.454545454545453,True,30.0,5082.0,172.0,172.0,True,True,2.0,1.5850052449547993,1.6,1.2842450924089326,8.0,629.7542354655588,438.1308289655125,526.3130951258083,621.7542354655588,5.020230815780374,6.254545454545454,11.063751286282168,892.90867711127,2007.988516239351,2907.7043497108607,1,True,True,True,8.0,0.0
task-v2-f0ef0f25a74e,g-8a16a856f5377a40,v2-S3-b000-g-8a16a856f5377a40,S3,D6,13,0.000732421875,3.135238693248112,272028031.0,126047821.89999998,2864708.8409090904,20.454545454545453,True,30.0,5082.0,172.0,172.0,True,True,2.0,1.5266383765900777,1.6,1.2440247338377102,8.0,619.7151341068267,429.0572835064766,519.6533168403395,611.7151341068267,4.863005777729231,6.254545454545454,10.915928492588458,878.4914038507197,1975.566702133649,2860.7553511791234,2,True,True,True,8.0,0.0
task-v2-69173fedcdae,g-8a16a856f5377a40,v2-S3-b000-g-8a16a856f5377a40,S3,D7,13,0.0008544921875,3.0682919036174985,223781651.0,93957427.89999999,2135381.704545454,20.454545454545453,True,30.0,5082.0,172.0,172.0,True,True,2.0,1.4332343893093062,1.6,1.1818983991155827,8.0,603.649648294534,409.57552707749005,510.5311803076534,595.649648294534,4.620148287451823,6.254545454545454,10.698562576570616,855.4195679619576,1923.6823575183935,2785.6232808014397,2,True,True,True,8.0,0.0
task-v2-8792ce3c54d5,g-a712031e7959d564,v2-S3-b001-g-a712031e7959d564,S3,D1,13,0.0001220703125,3.9133899436317554,386497758.0,213786961.04999998,5938501.972222221,27.77777777777778,True,28.0,5054.0,172.0,172.0,True,True,2.0,1.7565626414775823,1.7142857142857144,1.4184840740188003,10.0,694.1287743341442,461.9609586810156,561.4295497193821,684.1287743341442,6.777201686978712,8.190476190476192,14.669556788052091,982.4854967124597,2209.4304214321014,3199.4059701165347,1,True,True,True,10.0,0.0
task-v2-5acbf653f95a,g-a712031e7959d564,v2-S3-b001-g-a712031e7959d564,S3,D2,13,0.000244140625,3.612359947967774,355325938.0,190771363.04999998,5299179.805555555,27.77777777777778,True,28.0,5054.0,172.0,172.0,True,True,2.0,1.6955441187685854,1.7142857142857144,1.373431273469325,10.0,683.6335884281966,455.62263664885074,554.5538869876877,673.6335884281966,6.561949417686776,8.190476190476192,14.46529371500802,967.4132349910749,2175.5356579180907,3150.324040361931,1,True,True,True,10.0,0.0
