split,task_id,graph_id,size_stratum,m,alpha,seed_count,optimized_objective,mean_energy,P_feas,P_opt,P_opt_given_feas,G_feas,tail_feasible_fraction,fully_feasible_tail_fraction,median_nfev,median_wall_time_s
discovery,task-v2-8f4071cbe937,g-8a16a856f5377a40,S3,13,0.1,3,0.737935553887919,1.6872491417249464,0.03415821956242979,0.017100826128892615,0.5041866830585641,2.145855173732883,0.34158219562429787,0.0,120.0,0.6287470199167728
discovery,task-v2-8f4071cbe937,g-8a16a856f5377a40,S3,13,0.25,3,0.9684975610843343,1.644212235768536,0.027947131401396597,0.013346636612363402,0.47756731883031234,2.0586971848599944,0.11178852560558639,0.0,120.0,0.6322025852277875
discovery,task-v2-8f4071cbe937,g-8a16a856f5377a40,S3,13,0.5,3,1.075216351648636,1.5849521470018848,0.02760860285973195,0.013727975623771062,0.4972354339521383,2.053404377581993,0.0552172057194639,0.0,120.0,0.6263115527108312
discovery,task-v2-8f4071cbe937,g-8a16a856f5377a40,S3,13,1.0,3,1.5147121142446192,1.5147121142446194,0.014616689117256776,0.006520478027199094,0.44698758551945167,1.7772089580078618,0.014616689117256776,0.0,120.0,0.6373774334788322
discovery,task-v2-9f1427c2fbd8,g-3ff7063ef9ea5cfb,S4,16,0.02,3,0.5476010117352016,1.7986904227732152,0.010443159816690632,0.003013242910334373,0.33642234268998805,2.057160604511915,0.5221579908345316,0.3333333333333333,120.0,5.260300357826054
discovery,task-v2-9f1427c2fbd8,g-3ff7063ef9ea5cfb,S4,16,0.05,3,0.8852503073988505,1.8019528057885554,0.008892937683035215,0.002894251208641066,0.35221971549085335,1.9873739292622572,0.17785875366070433,0.0,120.0,5.24036543443799
discovery,task-v2-9f1427c2fbd8,g-3ff7063ef9ea5cfb,S4,16,0.1,3,0.8135433216129564,1.439936300784634,0.02507230877609995,0.010776180351404688,0.4298040698061691,2.4375230079179606,0.2507230877609995,0.0,120.0,5.3686762182042
discovery,task-v2-9f1427c2fbd8,g-3ff7063ef9ea5cfb,S4,16,0.25,3,1.010180828344342,1.4491313263112304,0.022755306448637665,0.009691584456032881,0.42590436995029374,2.3954113688214766,0.09102122579455069,0.0,120.0,5.42574820574373
discovery,task-v2-9f1427c2fbd8,g-3ff7063ef9ea5cfb,S4,16,0.5,3,1.097549853614712,1.4874260844954876,0.017365518493423503,0.006794546721642094,0.3912665621942274,2.2780164350893153,0.034731036986847014,0.0,120.0,5.438925612717867
discovery,task-v2-9f1427c2fbd8,g-3ff7063ef9ea5cfb,S4,16,1.0,3,1.4020442214933635,1.40204422149336,0.017149294098740192,0.006738498384858077,0.3929315309458186,2.2725749285062307,0.017149294098740192,0.0,120.0,5.448026167228818
discovery,task-v2-a0f813383468,g-60667963f6db3f1b,S2,10,0.02,3,0.05232558139534884,1.82247404238844,0.056106500379744684,0.02541121985431242,0.4476935411095954,1.2821918825258494,1.0,1.0,28.0,0.05200835317373276
