run_id,split,result_label,task_id,graph_id,size_stratum,m,dilution_score,alpha,seed,optimizer,depth,nfev_budget,actual_nfev,scipy_reported_nfev,nit,termination_reason,wall_time_s,optimized_objective,mean_energy,P_feas,P_opt,P_opt_given_feas,G_feas,tail_feasible_fraction,tail_fully_feasible,alpha1_minus_mean_endpoint_error
a2-d035d8a22cd921751fb7,discovery,POST_HOC_DISCOVERY_SENSITIVITY,task-v2-5d31ef4af595,g-bd62d2d752385cc7,S4,16,4.214419939295737,0.5,1103,COBYLA,3,120,120,120,94,EVALUATION_BUDGET_EXHAUSTED,5.773606168106198,1.185168026039118,1.8765042577069866,0.004400667856797678,0.001005230491701864,0.2284268034791792,1.857938530443677,0.008801335713595355,False,-0.6913362316678686
a2-d054d6c206cb6acf6455,discovery,POST_HOC_DISCOVERY_SENSITIVITY,task-v2-5b0627539151,g-a712031e7959d564,S3,13,3.2144199392957367,0.5,1103,COBYLA,3,120,120,120,89,EVALUATION_BUDGET_EXHAUSTED,0.644329053349793,1.1294690446162134,1.7761786221733775,0.024276121655872437,0.001215407967780063,0.050065986033895726,1.5995992445164444,0.048552243311744875,False,-0.6467095775571641
a2-d130b8a585bad6b96090,discovery,POST_HOC_DISCOVERY_SENSITIVITY,task-v2-8c0a098a6f8b,g-a712031e7959d564,S3,13,3.0682919036174985,0.25,3301,COBYLA,3,120,120,120,87,EVALUATION_BUDGET_EXHAUSTED,0.7151733506470919,1.0223891121186335,1.878846221880457,0.030906186388098486,0.0029931311983648567,0.09684569816473594,1.5583373230197066,0.12362474555239394,False,-0.8564571097618234
a2-d1902d5b9493c7149d9f,discovery,POST_HOC_DISCOVERY_SENSITIVITY,task-v2-4968f3a685c2,g-8a16a856f5377a40,S3,13,3.9133899436317554,0.05,3301,COBYLA,3,120,120,120,95,EVALUATION_BUDGET_EXHAUSTED,0.704344310797751,0.7407814800498683,1.7758209251596366,0.01665148817259563,0.01665148817259563,1.0,2.1348429968653755,0.3330297634519126,False,-1.0350394451097684
a2-d193e931d673d49ba837,discovery,POST_HOC_DISCOVERY_SENSITIVITY,task-v2-6996479d6302,g-60667963f6db3f1b,S2,10,2.4082399653118496,0.25,2207,COBYLA,3,120,120,120,88,EVALUATION_BUDGET_EXHAUSTED,0.30818423721939325,0.414714840973631,1.3651960796472453,0.1779350635311871,0.05561476796877427,0.31255654093734336,1.65850150303952,0.7117402541247484,False,-0.9504812386736143
a2-d1e67fc8e6e9347b3cac,discovery,POST_HOC_DISCOVERY_SENSITIVITY,task-v2-69173fedcdae,g-8a16a856f5377a40,S3,13,3.0682919036174985,0.5,3301,COBYLA,3,120,120,120,91,EVALUATION_BUDGET_EXHAUSTED,0.6939854370430112,1.1392017136426302,1.7230916951331992,0.02287186561962225,0.003259975191951828,0.1425321067449359,1.427593494339765,0.0457437312392445,False,-0.5838899814905689
a2-d20e91b3832ba8f49bb6,discovery,POST_HOC_DISCOVERY_SENSITIVITY,task-v2-cf1a83d8dbf9,g-bd62d2d752385cc7,S4,16,4.038328680240055,0.5,1103,COBYLA,3,120,120,120,93,EVALUATION_BUDGET_EXHAUSTED,5.051745279692113,1.206400857684062,1.9156635985364505,0.006744680085190417,0.001803478850232477,0.2673927936467221,1.8672900352069888,0.013489360170380835,False,-0.7092627408523886
a2-d28e9711ca5b31d5965f,discovery,POST_HOC_DISCOVERY_SENSITIVITY,task-v2-f1a738d52e35,g-60667963f6db3f1b,S2,10,2.709269960975831,1.0,1103,COBYLA,3,120,120,120,89,EVALUATION_BUDGET_EXHAUSTED,0.2741904240101576,1.8935203673597778,1.89352036735978,0.011274162279919361,0.0045650204644606136,0.4049099481733968,0.7613542427254139,0.011274162279919361,False,-2.220446049250313e-15
a2-d2ab4183e04c914b518c,heldout,POST_HOC_SENSITIVITY,task-v2-5da0eece9ed4,g-fc8e50acd167f0aa,S3,13,3.311329952303793,1.0,1103,COBYLA,3,120,120,120,90,EVALUATION_BUDGET_EXHAUSTED,0.6711475774645805,1.3705225521980249,1.3705225521980027,0.02717212123714333,0.004911456118967707,0.18075350378806349,1.7454534959710797,0.027172121237143326,False,2.220446049250313e-14
a2-d2b37c5517a7462f1f56,discovery,POST_HOC_DISCOVERY_SENSITIVITY,task-v2-9f1427c2fbd8,g-3ff7063ef9ea5cfb,S4,16,4.038328680240055,0.5,1103,COBYLA,3,120,120,120,92,EVALUATION_BUDGET_EXHAUSTED,5.3950794050469995,1.2188444238151348,1.8973084073683553,0.0051425248067297116,0.0017842216694661712,0.34695441179618,1.7495050755800485,0.010285049613459421,False,-0.6784639835532205
