split,graph_id,alpha,n_tasks,optimized_objective,mean_energy,P_feas,P_opt,P_opt_given_feas,G_feas,tail_feasible_fraction
discovery,g-553bb3c5ba0f2136,0.5,3,0.9961263024150311,1.6366074910040889,0.11210057023040053,0.06303030843142111,0.6499048961618613,0.8867148040620535,0.224201140460801
discovery,g-553bb3c5ba0f2136,1.0,3,1.676369073225006,1.6763690732250052,0.07203114641578921,0.05414984103079551,0.6873730469752619,0.5583130205441277,0.07203114641578921
discovery,g-60667963f6db3f1b,0.02,4,0.07267441860465117,1.8135428520845567,0.044020229649417764,0.021602300592721047,0.6143870432564202,1.2529698431412335,1.0
discovery,g-60667963f6db3f1b,0.05,4,0.28224938812183314,1.8173078885946188,0.07214848440721924,0.029621718352804464,0.5615397009337653,1.4043511804416002,0.8025666680821436
discovery,g-60667963f6db3f1b,0.1,4,0.45109930303389956,1.7417008090599988,0.07027881623293478,0.029505465415398165,0.5625619163021972,1.4205691099109543,0.6603203240355059
discovery,g-60667963f6db3f1b,0.25,4,0.8654927986591325,1.7410806705666986,0.07375120546831164,0.029815838492804638,0.5668625160169324,1.3746801154125914,0.2950048218732466
discovery,g-60667963f6db3f1b,0.5,4,1.1176583895257937,1.7368204901014452,0.05965008365547647,0.023874172054418833,0.5659306034988236,1.2646331552145167,0.11930016731095293
discovery,g-60667963f6db3f1b,1.0,4,1.5983785680682852,1.5983785680682838,0.0450811179270657,0.01541058842588358,0.5349666466240972,1.0795491092807081,0.045081117927065706
discovery,g-6aa6775bed3bc2cc,0.02,4,0.07816902120123949,1.6630895559633445,0.031138833975524853,0.022011503131164786,0.6897355643619261,1.1440620892851872,1.0
discovery,g-6aa6775bed3bc2cc,0.05,4,0.24336237773181676,1.587805246266973,0.05671547671111349,0.03752927310119065,0.7042850944093958,1.359902110176772,0.8432200009576726
discovery,g-6aa6775bed3bc2cc,0.1,4,0.5319952724975768,1.591573642432952,0.057001645700103167,0.03844273159419187,0.6902725360772058,1.353805693516303,0.5700164570010318
discovery,g-6aa6775bed3bc2cc,0.25,4,0.9910136688197613,1.631703825905698,0.04338223187100754,0.02762615895844551,0.6835563860879306,1.281729152297117,0.17352892748403015
discovery,g-6aa6775bed3bc2cc,0.5,4,1.1320016696227677,1.633094940964706,0.03487029140297971,0.020185679394413958,0.6934336463652371,1.1351583892479047,0.0697405828059594
discovery,g-6aa6775bed3bc2cc,1.0,4,1.5647801081008985,1.5647801081008996,0.014208238674272676,0.00918117370799879,0.6988678410970943,0.7116189678712266,0.014208238674272674
discovery,g-8a16a856f5377a40,0.02,7,0.09509984702125604,1.659049790338465,0.03665354203232269,0.016627744592647098,0.4884542844287864,1.9168301935903866,0.977918933551507
discovery,g-8a16a856f5377a40,0.05,7,0.30322506092161106,1.596550012284646,0.047723133455032075,0.020303833640572377,0.47763464906366077,2.001487587731879,0.7740384158375818
discovery,g-8a16a856f5377a40,0.1,7,0.6547496273990038,1.6094899437423813,0.042575474774069096,0.01822508123154215,0.4741726815178852,1.9705967214023399,0.425754747740691
discovery,g-8a16a856f5377a40,0.25,7,0.956152399647601,1.6748148618180978,0.03832176203488826,0.015095338007689366,0.44418568773365424,1.9107337487455112,0.15328704813955304
discovery,g-8a16a856f5377a40,0.5,7,1.0759762013825929,1.5760962698058545,0.03448071310106934,0.01389563781567667,0.4703047211538811,1.8566045463455403,0.06896142620213867
discovery,g-8a16a856f5377a40,1.0,7,1.5749953974673476,1.5749953974673472,0.019694069265731952,0.006956376781849712,0.4516215713527255,1.6124006018028538,0.01969406926573195
discovery,g-a712031e7959d564,0.02,7,0.03903654485049834,1.544001723644048,0.048718372842849175,0.020034279425825804,0.4699296380232837,2.0340494412958035,1.0
discovery,g-a712031e7959d564,0.05,7,0.16896877763356186,1.5034248148116263,0.05627692256070437,0.01951704373396265,0.41938269334984285,2.102270835162515,0.8812737001267242
discovery,g-a712031e7959d564,0.1,7,0.5534863986831839,1.5921141095151727,0.05094471486661506,0.01481376656825085,0.3661929135135843,2.05524982075937,0.5094471486661506
discovery,g-a712031e7959d564,0.25,7,0.8955213560509735,1.5947677755407614,0.04917065063991415,0.01539008095677254,0.3736431155807805,2.028447809999286,0.1966826025596566
discovery,g-a712031e7959d564,0.5,7,1.0275045364922673,1.5376927409805279,0.04692605457599136,0.013997376687603338,0.375149250343547,2.005913795822109,0.09385210915198272
discovery,g-a712031e7959d564,1.0,7,1.5062974000209228,1.5062974000209213,0.03329031578694743,0.0096636907987022,0.391689145596091,1.8136665126293416,0.03329031578694743
discovery,g-a87f1b9ac089cc45,0.02,7,0.5384926349030358,1.7212623409077548,0.010329273733186947,0.0061820966406407355,0.5325176702062127,3.089745996237211,0.5164636866593474
discovery,g-a87f1b9ac089cc45,0.05,7,0.8645018714696266,1.7201845564368103,0.009726024710729957,0.005636920946604044,0.5362744992496062,3.0291437230482217,0.19452049421459913
discovery,g-a87f1b9ac089cc45,0.1,7,0.9377726415035426,1.7270898165430357,0.012566797798162685,0.007249488141925602,0.5400642182817575,3.064987885148479,0.12566797798162685
discovery,g-a87f1b9ac089cc45,0.25,7,1.0338170192152885,1.6078902810591846,0.009954814986680395,0.005553690177427324,0.5531527427199601,3.0252071041210415,0.03981925994672158
discovery,g-a87f1b9ac089cc45,0.5,7,1.1124123607631673,1.5328228302842177,0.004538946309950229,0.0023449497722116755,0.559650179588519,2.6811531559437047,0.009077892619900458
discovery,g-a87f1b9ac089cc45,1.0,7,1.4859140219212164,1.4859140219211355,0.004173841703954348,0.002164412591112461,0.5461472578252599,2.6496890367854675,0.004173841703954348
discovery,g-bd62d2d752385cc7,0.02,7,0.2925719021167769,1.6425092958218226,0.017988199358386265,0.006176708665678601,0.40510028389661956,2.4993840576817634,0.7992544995793619
