task_id,base_graph_id,base_instance_id,size_stratum,stress_level,dilution_score,feasible_state_fraction,log_feasibility_gain_O0,log_feasibility_gain_O2,log_feasibility_gain_O3,p_feas_O0,p_feas_O2,p_feas_O3,p_opt_O0,p_opt_O2,p_opt_O3,p_opt_given_feasible_O0,p_opt_given_feasible_O2,p_opt_given_feasible_O3,Delta1_CVAR_MEAN,Delta2_CVAR_CAPACITY,O3_popt_win,O3_both_pfeas_popt_win
task-v2-59e59ed3c03f,g-686fdbb6f8f550f1,v2-S2-b003-g-686fdbb6f8f550f1,S2,D4,2.408239965312,0.003906250000,1.554519943898,1.592303592720,1.587042642813,0.140048989176,0.152778987455,0.150939420230,0.049438071902,0.051762329460,0.053032272374,0.353005560360,0.338805292025,0.351348059328,0.032522698914,-0.005260949907,True,True
task-v2-59fd840ba77c,g-64377640089a831f,v2-S3-b004-g-64377640089a831f,S3,D1,3.913389943632,0.000122070312,1.810960542553,2.074980243690,2.053689282495,0.007898972447,0.014507423865,0.013813360268,0.007898972447,0.014507423865,0.013813360268,1.000000000000,1.000000000000,1.000000000000,0.242728739942,-0.021290961195,True,True
task-v2-5ae92cb9d249,g-4a80ed839b63ddd7,v2-S5-b002-g-4a80ed839b63ddd7,S5,D1,5.719569917616,0.000001907349,3.201013985744,3.866906778906,3.865658359518,0.003030010044,0.014039022216,0.013998723706,0.003030010044,0.014039022216,0.013998723706,1.000000000000,1.000000000000,1.000000000000,0.664644373774,-0.001248419388,True,True
task-v2-5da0eece9ed4,g-fc8e50acd167f0aa,v2-S3-b002-g-fc8e50acd167f0aa,S3,D4,3.311329952304,0.000488281250,2.035193134794,2.156473387102,2.159706432140,0.052949660820,0.070007317157,0.070530421594,0.010990984876,0.018891001997,0.019417413587,0.207574226274,0.269843250163,0.275305508581,0.124513297346,0.003233045038,True,True
task-v2-5e0ea2a0e332,g-c45ecbe0242c6377,v2-S1-b003-g-c45ecbe0242c6377,S1,D2,1.806179973984,0.015625000000,0.824568406884,0.883142819638,0.908698871766,0.104325009492,0.119388596190,0.126624836553,0.036344287456,0.051508706228,0.061257617576,0.348375596923,0.431437405843,0.483772530286,0.084130464883,0.025556052129,True,True
task-v2-607a9c50d675,g-fc8e50acd167f0aa,v2-S3-b002-g-fc8e50acd167f0aa,S3,D2,3.612359947968,0.000244140625,2.130723512940,2.435900516330,2.444174057090,0.032988575694,0.066610174036,0.067891297559,0.015258172077,0.035709766916,0.036911398466,0.462528974213,0.536100789894,0.543683797383,0.313450544150,0.008273540760,True,True
task-v2-628efc62dabb,g-e23fad4558949e26,v2-S1-b004-g-e23fad4558949e26,S1,D1,2.107209969648,0.007812500000,1.120296413342,1.063234269704,1.071152075847,0.103059123299,0.090370003699,0.092032687903,0.103059123299,0.090370003699,0.092032687903,1.000000000000,1.000000000000,1.000000000000,-0.049144337495,0.007917806144,False,False
task-v2-6372d6a2314d,g-f6afb3a3727100d3,v2-S4-b003-g-f6afb3a3727100d3,S4,D6,3.913389943632,0.000122070312,1.813120469196,2.478926226034,2.651568275017,0.007938355166,0.036773611399,0.054724062646,0.001459952981,0.007376579087,0.009624551566,0.183911270140,0.200594361183,0.175874215118,0.838447805821,0.172642048983,True,True
task-v2-66ecfca58e61,g-b9a8415aa1799cc5,v2-S5-b003-g-b9a8415aa1799cc5,S5,D7,4.719569917616,0.000019073486,2.726379807686,2.847804567799,2.901776008804,0.010158039332,0.013434906558,0.015212692654,0.002388246037,0.002852376273,0.003548978754,0.235108957428,0.212310838246,0.233290636625,0.175396201118,0.053971441005,True,True
task-v2-676c7042f456,g-4a80ed839b63ddd7,v2-S5-b002-g-4a80ed839b63ddd7,S5,D4,5.117509926288,0.000007629395,2.568386117922,3.702645800796,3.492833048699,0.002824074775,0.038471212526,0.023731387042,0.000537917010,0.016490173772,0.010971911049,0.190475484290,0.428636704926,0.462337537631,0.924446930777,-0.209812752097,True,True
task-v2-693f08fcb4be,g-8c950d2bd101a5de,v2-S2-b004-g-8c950d2bd101a5de,S2,D4,2.408239965312,0.003906250000,1.610232336329,1.629493509983,1.625441242888,0.159218075795,0.166438404781,0.164892642384,0.045254274193,0.043528474352,0.045831164405,0.284228244608,0.261529028766,0.277945478599,0.015208906560,-0.004052267094,True,True
task-v2-6bb369c86974,g-4a80ed839b63ddd7,v2-S5-b002-g-4a80ed839b63ddd7,S5,D6,4.816479930624,0.000015258789,2.708637799196,3.360280263310,3.364616884593,0.007801136348,0.034978431637,0.035329456302,0.001716198625,0.011082263579,0.011491796936,0.219993414894,0.316831346075,0.325275227496,0.655979085397,0.004336621283,True,True
task-v2-6dd269836f23,g-c45ecbe0242c6377,v2-S1-b003-g-c45ecbe0242c6377,S1,D1,2.107209969648,0.007812500000,0.996204815881,1.192184305890,1.111739213648,0.077445260733,0.121611413471,0.101048354096,0.077445260733,0.121611413471,0.101048354096,1.000000000000,1.000000000000,1.000000000000,0.115534397768,-0.080445092242,True,True
task-v2-6ee4e9bb2f23,g-ad76642cd3b9f76c,v2-S5-b004-g-ad76642cd3b9f76c,S5,D3,5.242448662896,0.000005722046,2.694130710859,3.251174030208,3.238715975535,0.002829319859,0.010202940813,0.009914419997,0.000707451694,0.002893870571,0.003279697583,0.250043024115,0.283631025965,0.330800751262,0.544585264676,-0.012458054673,True,True
task-v2-747868754e4a,g-f0c91af33253395a,v2-S3-b003-g-f0c91af33253395a,S3,D6,3.135238693248,0.000732421875,2.190943294954,2.251890621881,2.246669548156,0.113685375793,0.130813308126,0.129250090218,0.033569859644,0.034033899345,0.035901861624,0.295287405350,0.260171536309,0.277770495661,0.055726253202,-0.005221073725,True,True
task-v2-7a2c20a84cd2,g-2fa0de1665fa7816,v2-S4-b004-g-2fa0de1665fa7816,S4,D5,4.117509926288,0.000076293945,2.529143482609,2.663948347110,2.685889397625,0.025800822817,0.035191552043,0.037015146393,0.008607164841,0.011233791163,0.011622598432,0.333600401134,0.319218406435,0.313995744027,0.156745915017,0.021941050515,True,True
task-v2-7eefc621bd20,g-64377640089a831f,v2-S3-b004-g-64377640089a831f,S3,D6,3.135238693248,0.000732421875,1.974307573608,2.122203186070,2.117438124218,0.069034928655,0.097043062325,0.095984129596,0.013950704559,0.018372855818,0.018048699795,0.202081827717,0.189326834686,0.188038375418,0.143130550610,-0.004765061852,True,True
task-v2-8029d558b1a1,g-fc8e50acd167f0aa,v2-S3-b002-g-fc8e50acd167f0aa,S3,D6,3.135238693248,0.000732421875,1.962412513662,2.107764158428,2.102712479411,0.067169763691,0.093869707626,0.092784148431,0.011489194908,0.018463886667,0.017904703509,0.171047124135,0.196696965766,0.192971577708,0.140299965750,-0.005051679017,True,True
task-v2-835da0eb601e,g-64377640089a831f,v2-S3-b004-g-64377640089a831f,S3,D3,3.436268688912,0.000366210938,1.839482813841,2.140915586298,2.149000988934,0.025305453512,0.050657866761,0.051609814729,0.009570997948,0.017767651549,0.018195754316,0.378218787630,0.350738250244,0.352563837158,0.309518175093,0.008085402636,True,True
task-v2-87f0030ee4db,g-64377640089a831f,v2-S3-b004-g-64377640089a831f,S3,D2,3.612359947968,0.000244140625,1.816166761669,2.037839388566,2.085103094777,0.015988466588,0.026636639965,0.029699090298,0.008254580620,0.014168798296,0.015685648872,0.516283445605,0.531928888714,0.528152502797,0.268936333108,0.047263706211,True,True
task-v2-8ac52cd83f67,g-b9a8415aa1799cc5,v2-S5-b003-g-b9a8415aa1799cc5,S5,D2,5.418539921952,0.000003814697,2.932813380402,3.351103179839,3.240511811831,0.003267935367,0.008561764104,0.006637001104,0.002634231997,0.006852349580,0.005330352585,0.806084484858,0.800343188197,0.803126668405,0.307698431429,-0.110591368008,True,True
task-v2-8b88de51ba21,g-f0c91af33253395a,v2-S3-b003-g-f0c91af33253395a,S3,D1,3.913389943632,0.000122070312,2.212550882098,2.699015559979,2.769335425647,0.019914111685,0.061041558914,0.071770419056,0.019914111685,0.061041558914,0.071770419056,1.000000000000,1.000000000000,1.000000000000,0.556784543548,0.070319865668,True,True
task-v2-8d2ef8b298b4,g-c45ecbe0242c6377,v2-S1-b003-g-c45ecbe0242c6377,S1,D3,1.630088714928,0.023437500000,1.102440649661,1.101369136286,1.082484790102,0.296723494305,0.295992305433,0.283397539406,0.109187685626,0.106052588860,0.102834374989,0.367977890939,0.358295087115,0.362862624723,-0.019955859559,-0.018884346184,False,False
task-v2-8d35df6592f7,g-64377640089a831f,v2-S3-b004-g-64377640089a831f,S3,D7,3.068291903617,0.000854492188,2.034559465579,2.088893621519,2.110235404987,0.092526804138,0.104858035715,0.110139601641,0.014720368703,0.016350833742,0.017182600971,0.159093020022,0.155933053967,0.156007473378,0.075675939408,0.021341783468,True,True
task-v2-8ea177161d6a,g-4a80ed839b63ddd7,v2-S5-b002-g-4a80ed839b63ddd7,S5,D7,4.640388671568,0.000022888184,2.836440367778,3.170516998577,3.206636422310,0.015705497435,0.033894429391,0.036833903905,0.003725427888,0.006265207241,0.005438882263,0.237205341872,0.184844747446,0.147659674539,0.370196054532,0.036119423733,True,True
task-v2-9065c1a0a08c,g-a529fbde22ed09f4,v2-S1-b002-g-a529fbde22ed09f4,S1,D2,1.806179973984,0.015625000000,1.091262157724,1.117815145729,1.047224668936,0.192788970299,0.204943982746,0.174198613881,0.151984136655,0.170928281933,0.142461176845,0.788344563586,0.834024398485,0.817808900261,-0.044037488788,-0.070590476793,False,False
task-v2-980575647e27,g-28cd30a80498cca2,v2-S4-b002-g-28cd30a80498cca2,S4,D5,4.117509926288,0.000076293945,2.272997302634,2.693666355316,2.688374528017,0.014304983999,0.037683950880,0.037227562526,0.004180527548,0.013184023993,0.012875509819,0.292242728005,0.349857795832,0.345859598256,0.415377225384,-0.005291827298,True,True
task-v2-9bb6197d70f9,g-2fa0de1665fa7816,v2-S4-b004-g-2fa0de1665fa7816,S4,D1,4.816479930624,0.000015258789,2.138720528529,2.752122580891,2.776870519042,0.002100103012,0.008622687568,0.009128314372,0.002100103012,0.008622687568,0.009128314372,1.000000000000,1.000000000000,1.000000000000,0.638149990513,0.024747938152,True,True
task-v2-9e1a55247e55,g-f6afb3a3727100d3,v2-S4-b003-g-f6afb3a3727100d3,S4,D1,4.816479930624,0.000015258789,0.844358786324,2.810079626257,2.782452275386,0.000106629864,0.009853708163,0.009246392924,0.000106629864,0.009853708163,0.009246392924,1.000000000000,1.000000000000,1.000000000000,1.938093489062,-0.027627350871,True,True
task-v2-a11d89c8c060,g-ad76642cd3b9f76c,v2-S5-b004-g-ad76642cd3b9f76c,S5,D4,5.117509926288,0.000007629395,2.044785909999,3.142730049441,3.486745568196,0.000845816170,0.010597907464,0.023401066023,0.000236776145,0.004787077698,0.011707789111,0.279938068080,0.451700273257,0.500310075591,1.441959658198,0.344015518755,True,True
task-v2-a4fc95665697,g-e23fad4558949e26,v2-S1-b004-g-e23fad4558949e26,S1,D3,1.630088714928,0.023437500000,1.114561811847,1.107520878177,1.049100829550,0.305121701066,0.300214844897,0.262429174684,0.085487723197,0.099609660617,0.101188575788,0.280175821316,0.331794587478,0.385584323503,-0.065460982297,-0.058420048627,True,False
task-v2-a9de39f81405,g-0780828b282bb310,v2-S2-b002-g-0780828b282bb310,S2,D2,2.709269960976,0.001953125000,1.508613329774,1.707413851210,1.621727125039,0.063000408983,0.099573526923,0.081744240685,0.036891628903,0.051556553789,0.042968269101,0.585577609699,0.517773703335,0.525642769950,0.113113795266,-0.085686726171,True,True
task-v2-aefa943bb0f9,g-2fa0de1665fa7816,v2-S4-b004-g-2fa0de1665fa7816,S4,D7,3.913389943632,0.000122070312,2.395387489407,2.641568801968,2.630478960602,0.030338740395,0.053478455787,0.052130155089,0.007818624513,0.013162020583,0.012915235092,0.257710913862,0.246118187016,0.247749792233,0.235091471195,-0.011089841366,True,True
task-v2-b0f919379fb8,g-0780828b282bb310,v2-S2-b002-g-0780828b282bb310,S2,D3,2.533178701920,0.002929687500,0.684518919957,1.553504847516,1.440889703438,0.014169033204,0.104791521389,0.080855767059,0.005636334709,0.036605574709,0.028143719711,0.397792469525,0.349318095817,0.348073127425,0.756370783480,-0.112615144078,True,True
task-v2-b9e5059853ca,g-a529fbde22ed09f4,v2-S1-b002-g-a529fbde22ed09f4,S1,D1,2.107209969648,0.007812500000,1.073471715870,1.252507347536,1.129976945898,0.092525565098,0.139732483481,0.105382130946,0.092525565098,0.139732483481,0.105382130946,1.000000000000,1.000000000000,1.000000000000,0.056505230028,-0.122530401638,True,True
task-v2-ba2b70f61e3b,g-f0c91af33253395a,v2-S3-b003-g-f0c91af33253395a,S3,D7,3.068291903617,0.000854492188,2.123967571779,2.220981196674,2.227895306595,0.113677802104,0.142131157552,0.144412039999,0.037612459020,0.052421605726,0.068690815023,0.330868985182,0.368825573710,0.475658504811,0.103927734816,0.006914109921,True,True
task-v2-c4754bf838d1,g-2fa0de1665fa7816,v2-S4-b004-g-2fa0de1665fa7816,S4,D6,4.038328680240,0.000091552734,2.402080497498,2.629402252426,2.640853841103,0.023107439107,0.039000805087,0.040042866650,0.007404367535,0.011095691761,0.011571495714,0.320432199366,0.284499043972,0.288977705193,0.238773343605,0.011451588677,True,True
task-v2-cb6317a18cf3,g-f6afb3a3727100d3,v2-S4-b003-g-f6afb3a3727100d3,S4,D7,3.816479930624,0.000152587891,2.523209211609,2.718183919524,2.716340843019,0.050901347678,0.079745096679,0.079407388307,0.008981643960,0.014287201571,0.014281540567,0.176451987420,0.179160878427,0.179851533606,0.193131631410,-0.001843076506,True,True
task-v2-cd3aef86a98f,g-fc8e50acd167f0aa,v2-S3-b002-g-fc8e50acd167f0aa,S3,D5,3.214419939296,0.000610351562,2.012333800812,2.137695974180,2.136631010885,0.062793380132,0.083806177976,0.083600922860,0.011424603485,0.018418533003,0.018367052540,0.181939616253,0.219775360815,0.219699160152,0.124297210073,-0.001064963295,True,True
task-v2-cfa564be8207,g-fc8e50acd167f0aa,v2-S3-b002-g-fc8e50acd167f0aa,S3,D3,3.436268688912,0.000366210938,1.892726887149,2.152165724048,2.152171479437,0.028606070079,0.051987272771,0.051987961725,0.004572982310,0.012401067159,0.012488046521,0.159860557475,0.238540444583,0.240210350752,0.259444592288,0.000005755389,True,True
task-v2-d4d85eef1fda,g-28cd30a80498cca2,v2-S4-b002-g-28cd30a80498cca2,S4,D3,4.339358675904,0.000045776367,2.279318282233,2.583647269920,2.716184166455,0.008708825855,0.017550463643,0.023813623912,0.002627817638,0.005993537301,0.009429801439,0.301741897484,0.341503074938,0.395983470365,0.436865884222,0.132536896535,True,True
task-v2-d50991f4f8ba,g-2fa0de1665fa7816,v2-S4-b004-g-2fa0de1665fa7816,S4,D2,4.515449934960,0.000030517578,2.364785939840,2.814263635356,2.547383085828,0.007068642294,0.019898195816,0.010762995306,0.003837310668,0.010848646894,0.006225341232,0.542863892123,0.545207565284,0.578402299229,0.182597145988,-0.266880549528,True,True
task-v2-d5cf4ef0cd21,g-4a80ed839b63ddd7,v2-S5-b002-g-4a80ed839b63ddd7,S5,D5,4.941418667232,0.000011444092,2.655527725329,3.614161930219,3.437493563869,0.005177368274,0.047069898628,0.031338261245,0.001106034576,0.015158630021,0.011136409620,0.213628723557,0.322045095969,0.355361439265,0.781965838540,-0.176668366350,True,True
task-v2-d6122c14c280,g-b9a8415aa1799cc5,v2-S5-b003-g-b9a8415aa1799cc5,S5,D5,4.941418667232,0.000011444092,2.619199414027,3.169224736114,3.186250822694,0.004761905217,0.016896862458,0.017572443494,0.001828594657,0.009948814751,0.011008815782,0.384004841183,0.588796575478,0.626481785880,0.567051408667,0.017026086580,True,True
task-v2-d80673ba7cf0,g-0780828b282bb310,v2-S2-b002-g-0780828b282bb310,S2,D4,2.408239965312,0.003906250000,1.522671302527,1.574629091305,1.551225860266,0.130146153576,0.146686155399,0.138990748897,0.040992463479,0.044769951980,0.048581421698,0.314972531667,0.305209117102,0.349529893780,0.028554557739,-0.023403231039,True,True
task-v2-db534d0b262a,g-f6afb3a3727100d3,v2-S4-b003-g-f6afb3a3727100d3,S4,D5,4.038328680240,0.000091552734,2.277308998779,2.785028381343,2.528199605569,0.017337254266,0.055808416631,0.030893771165,0.003944909932,0.012886843268,0.007028515500,0.227539486445,0.230912182170,0.227505909291,0.250890606790,-0.256828775774,True,True
task-v2-dcffea5b9a3e,g-4a80ed839b63ddd7,v2-S5-b002-g-4a80ed839b63ddd7,S5,D2,5.418539921952,0.000003814697,3.068006271261,3.707613844520,3.470792465472,0.004461350551,0.019456912354,0.011278531154,0.003492719049,0.012556253855,0.007314318058,0.782883794755,0.645336404189,0.648516899712,0.402786194212,-0.236821379048,True,True
task-v2-de1e481a2b9a,g-8c950d2bd101a5de,v2-S2-b004-g-8c950d2bd101a5de,S2,D1,3.010299956640,0.000976562500,1.005662676234,1.735349208189,1.729299452074,0.009893790719,0.053094465306,0.052359982826,0.009893790719,0.053094465306,0.052359982826,1.000000000000,1.000000000000,1.000000000000,0.723636775840,-0.006049756115,True,True
task-v2-df25fe0d6e36,g-8c950d2bd101a5de,v2-S2-b004-g-8c950d2bd101a5de,S2,D2,2.709269960976,0.001953125000,1.432590710003,1.767927659481,1.781650087142,0.052883568019,0.114461042870,0.118135419051,0.035735709288,0.063066721238,0.065905294974,0.675743158528,0.550988525503,0.557879216105,0.349059377139,0.013722427661,True,True
task-v2-df7a823d7a2b,g-f0c91af33253395a,v2-S3-b003-g-f0c91af33253395a,S3,D2,3.612359947968,0.000244140625,2.169299571918,2.342503780209,2.358981292405,0.036052851850,0.053720968322,0.055798348424,0.027338509817,0.034296581303,0.038223509575,0.758289799937,0.638420757739,0.685029407758,0.189681720488,0.016477512196,True,True
task-v2-e0ae4ea7992e,g-b9a8415aa1799cc5,v2-S5-b003-g-b9a8415aa1799cc5,S5,D3,5.242448662896,0.000005722046,2.730965701475,3.247187403129,3.168617759726,0.003079761167,0.010109710985,0.008436631824,0.002259295525,0.006129965716,0.005879010890,0.733594393285,0.606344308428,0.696843362645,0.437652058251,-0.078569643403,True,True
task-v2-e1d0a1367c62,g-64377640089a831f,v2-S3-b004-g-64377640089a831f,S3,D5,3.214419939296,0.000610351562,1.899903566091,2.124302825445,2.120654289448,0.048471183831,0.081261135409,0.080581314968,0.011057263086,0.017548327028,0.017441118415,0.228120343103,0.215949813394,0.216441223652,0.220750723358,-0.003648535997,True,True
task-v2-e6a20043db41,g-f6afb3a3727100d3,v2-S4-b003-g-f6afb3a3727100d3,S4,D4,4.214419939296,0.000061035156,2.272020477949,2.676473584001,2.681791970552,0.011418276058,0.028977014940,0.029334050226,0.003988302945,0.008918086332,0.009163637912,0.349291164917,0.307764148581,0.312389112341,0.409771492603,0.005318386551,True,True
