task_id,base_graph_id,split,size_m,dilution_score,p_feas,cvar_tail_fully_feasible,cvar_tail_feasible_mass,cvar_cutoff_energy
task-p3-9332ee3dcfff4fa2,g-8e75832e853cc6ea,development,14,3.36932189928148,0.0304663492870197,False,0.0304663492870197,1.1276973100798109
task-p3-aa28a19affb4eca6,g-8e75832e853cc6ea,development,14,3.737298684576074,0.0420679219840924,False,0.0420679219840923,1.1090747856931715
task-p3-f12b9c09c4ad922c,g-8e75832e853cc6ea,development,14,4.214419939295737,0.065452387501258,False,0.065452387501258,1.0588235294117647
task-p3-3085c55becb7a244,g-22d56a3beb2cd856,development,14,3.737298684576074,0.0212106004316317,False,0.0212106004316317,1.1269681742043551
task-p3-36fee5433e047900,g-22d56a3beb2cd856,development,14,3.9133899436317554,0.0175033058978174,False,0.0175033058978173,1.1269681742043551
task-p3-3c075f282cfb3fd5,g-22d56a3beb2cd856,development,14,3.515449934959718,0.0509582116183827,False,0.0509582116183826,1.0917922948073702
task-p3-6814312a4e36f3ab,g-22d56a3beb2cd856,development,14,3.612359947967774,0.0314103679596648,False,0.0314103679596648,1.1269681742043551
task-p3-792beeb2f8a2ab19,g-22d56a3beb2cd856,development,14,4.214419939295737,0.0095405817463462,False,0.0095405817463462,1.1118927973199328
task-p3-e41f24ea719a60d1,g-22d56a3beb2cd856,development,14,3.311329952303793,0.0805085403143013,False,0.0805085403143015,1.076716917922948
task-p3-309c66749a973b91,g-f9e9faf277cb53e1,development,14,3.515449934959718,0.0645345632458253,False,0.0645345632458252,1.0806304248515304
task-p3-544a26ce57064eff,g-f9e9faf277cb53e1,development,14,3.9133899436317554,0.0597316561536141,False,0.059731656153614,1.0605299223389677
task-p3-5ff53b4412b3ab7a,g-f9e9faf277cb53e1,development,14,3.612359947967774,0.0566674538614697,False,0.0566674538614699,1.0454545454545454
task-p3-8e9274e2ed3a6080,g-f9e9faf277cb53e1,development,14,3.737298684576074,0.051019360903741,False,0.051019360903741,1.0454545454545454
task-p3-9203110695eef505,g-f9e9faf277cb53e1,development,14,4.214419939295737,0.0529632240236812,False,0.0529632240236813,1.0454545454545454
task-p3-e3c4987cb4f420e6,g-f9e9faf277cb53e1,development,14,3.311329952303793,0.1002140569487571,True,0.1,0.0904522613065326
task-p3-0a4af485d18a0ad5,g-cd9098863d67a067,development,16,3.8622374211843744,0.1051256433106524,True,0.1,0.0954773869346733
task-p3-2e15b4f402c05649,g-cd9098863d67a067,development,16,4.038328680240055,0.0675682896929249,False,0.0675682896929248,1.0357142857142858
task-p3-446eb3ddcbf65c5b,g-cd9098863d67a067,development,16,4.339358675904037,0.0452617098324428,False,0.0452617098324429,1.0357142857142858
task-p3-534079cbcb6aa71c,g-cd9098863d67a067,development,16,4.816479930623699,0.0156154264473148,False,0.0156154264473148,1.0357142857142858
task-p3-8d8d0885533ef396,g-cd9098863d67a067,development,16,4.214419939295737,0.0428914516083076,False,0.0428914516083076,1.0357142857142858
task-p3-e87d08a345aac418,g-cd9098863d67a067,development,16,4.515449934959718,0.0577965888278016,False,0.0577965888278016,1.0357142857142858
task-p3-3d17acd5c2e5a10b,g-c0fc2d5e7eacaffa,development,16,4.214419939295737,0.0393449589380795,False,0.0393449589380795,1.0806304248515304
task-p3-486c7e857c1576e1,g-c0fc2d5e7eacaffa,development,16,3.775087245465474,0.0646945539082677,False,0.0646945539082675,1.1158063042485151
