task_id,base_graph_id,base_instance_id,split,size_m,target_n_edges,actual_n_edges,n_nodes,n_edges,state_space_size,n_candidate_routes,n_feasible_routes,route_feasible_fraction,n_feasible_states,feasible_state_fraction,phi_state,dilution_score,D,log10_n_feasible,m_log10_2,log10_phi_reconstructed,identity_error,budget,n_optimal_states,optimal_cost,optimal_state_ids,raw_energy_min,raw_energy_max,raw_energy_span,normalized_energy_min,normalized_energy_max,normalized_energy_span,min_infeasible_energy_raw,max_feasible_energy_raw,penalty_separation_raw,strict_energy_separation,penalty_ground_state_valid,penalty_ground_state_resource_feasible,penalty_ground_state_exact_original_optimal,penalty_contract_pass,route_enumeration_feasible_count,edge_bit_validator_feasible_count,feasible_count_agreement,flow_scale,resource_scale,global_penalty_coefficient,global_normalization_factor,path_redundancy,average_out_degree,maximum_out_degree,bottleneck_score,source_target_hop_min,source_target_hop_max,graph_density
task-p3-29e2fa41ead6bf52,g-0510569b7dbe24ff,phase3-m18-b03-g-0510569b7dbe24ff,development,18,18,18,9,18,262144,11,7,0.6363636363636364,7,2.6702880859375e-05,2.6702880859375e-05,4.573441881937405,4.573441881937405,0.8450980400142568,5.418539921951662,-4.573441881937405,0.0,1659.0,1,8.0,[65544],8.0,818.3158564263849,810.3158564263849,0.04020100502512563,4.112139982042136,4.07193897701701,205.21875,19.0,186.21875,True,True,True,True,True,7,7,True,64.0,9332.0,199.0,199.0,1.5714285714285714,2.0,5,0.45454545454545453,2,3,0.5
task-p3-2aa335d81a6c5b2a,g-8e75832e853cc6ea,phase3-m14-b01-g-8e75832e853cc6ea,development,14,14,14,9,14,16384,7,4,0.5714285714285714,4,0.000244140625,0.000244140625,3.612359947967774,3.612359947967774,0.6020599913279624,4.214419939295737,-3.612359947967774,0.0,1934.0,1,11.0,[6148],11.0,709.7047117472459,698.7047117472459,0.05527638190954774,3.566355335413296,3.5110789535037483,210.7058823529412,19.0,191.7058823529412,True,True,True,True,True,4,4,True,34.0,7390.0,199.0,199.0,1.0,1.5555555555555556,4,0.5714285714285714,3,4,0.3888888888888889
task-p3-2e15b4f402c05649,g-cd9098863d67a067,phase3-m16-b00-g-cd9098863d67a067,development,16,16,16,9,16,65536,9,6,0.6666666666666666,6,9.1552734375e-05,9.1552734375e-05,4.038328680240055,4.038328680240055,0.7781512503836436,4.816479930623699,-4.038328680240055,0.0,1376.0,1,6.0,[8200],6.0,823.7412938081629,817.7412938081629,0.03015075376884422,4.139403486473181,4.109252732704336,206.1071428571429,18.0,188.1071428571429,True,True,True,True,True,6,6,True,56.0,8493.0,199.0,199.0,1.2857142857142858,1.7777777777777777,5,0.4444444444444444,2,3,0.4444444444444444
task-p3-3085c55becb7a244,g-22d56a3beb2cd856,phase3-m14-b02-g-22d56a3beb2cd856,development,14,14,14,9,14,16384,8,3,0.375,3,0.00018310546875,0.00018310546875,3.737298684576074,3.737298684576074,0.47712125471966244,4.214419939295737,-3.737298684576074,0.0,1348.0,2,13.0,"[2181, 8201]",13.0,704.0422596494739,691.0422596494739,0.06532663316582915,3.5379008022586627,3.4725741690928333,209.03035155594912,21.0,188.03035155594912,True,True,True,True,True,3,3,True,30.0,5830.0,199.0,199.0,1.1428571428571428,1.5555555555555556,3,0.625,3,4,0.3888888888888889
task-p3-309c66749a973b91,g-f9e9faf277cb53e1,phase3-m14-b03-g-f9e9faf277cb53e1,development,14,14,14,8,14,16384,8,5,0.625,5,0.00030517578125,0.00030517578125,3.515449934959718,3.515449934959718,0.6989700043360189,4.214419939295737,-3.515449934959718,0.0,1634.0,1,8.0,[4104],8.0,743.1702906114193,735.1702906114193,0.04020100502512563,3.7345240734242178,3.694323068399092,208.04545454545453,18.0,190.04545454545453,True,True,True,True,True,5,5,True,44.0,6666.0,199.0,199.0,1.3333333333333333,1.75,5,0.5,2,3,0.5
task-p3-34d0d2e4223be20a,g-4471e11eca661209,phase3-m20-b01-g-4471e11eca661209,extrapolation_holdout,20,20,20,11,20,1048576,12,4,0.3333333333333333,4,3.814697265625e-06,3.814697265625e-06,5.418539921951662,5.418539921951662,0.6020599913279624,6.020599913279624,-5.418539921951662,0.0,1530.0,1,8.0,[32776],8.0,825.6752983150132,817.6752983150132,0.04020100502512563,4.149122102085493,4.108921097060367,206.96,16.0,190.96,True,True,True,True,True,4,4,True,50.0,11592.0,199.0,199.0,1.3333333333333333,1.8181818181818181,5,0.4166666666666667,2,4,0.36363636363636365
task-p3-354137ea30cee634,g-e7e26759e1ed20ef,phase3-m16-b03-g-e7e26759e1ed20ef,development,16,16,16,9,16,65536,9,9,1.0,9,0.0001373291015625,0.0001373291015625,3.8622374211843744,3.8622374211843744,0.9542425094393249,4.816479930623699,-3.8622374211843744,0.0,2456.0,1,6.0,[16898],6.0,729.8101218283989,723.8101218283989,0.03015075376884422,3.6673875468763764,3.6372367931075322,208.04545454545453,19.0,189.04545454545453,True,True,True,True,True,9,9,True,44.0,7758.0,199.0,199.0,1.2857142857142858,1.7777777777777777,5,0.3333333333333333,2,3,0.4444444444444444
task-p3-367975b35905d665,g-3cf4bd3967c31b19,phase3-m14-b00-g-3cf4bd3967c31b19,development,14,14,14,8,14,16384,8,5,0.625,5,0.00030517578125,0.00030517578125,3.515449934959718,3.515449934959718,0.6989700043360189,4.214419939295737,-3.515449934959718,0.0,1974.0,1,4.0,[2056],4.0,761.3293712185355,757.3293712185355,0.020100502512562814,3.82577573476651,3.805675232253947,209.4736842105263,16.0,193.4736842105263,True,True,True,True,True,5,5,True,38.0,8618.0,199.0,199.0,1.3333333333333333,1.75,4,0.5,2,3,0.5
task-p3-36fee5433e047900,g-22d56a3beb2cd856,phase3-m14-b02-g-22d56a3beb2cd856,development,14,14,14,9,14,16384,8,2,0.25,2,0.0001220703125,0.0001220703125,3.9133899436317554,3.9133899436317554,0.3010299956639812,4.214419939295737,-3.9133899436317554,0.0,1329.0,2,13.0,"[2181, 8201]",13.0,704.9207393001833,691.9207393001833,0.06532663316582915,3.5423152728652427,3.4769886396994134,209.04848403449358,13.0,196.04848403449358,True,True,True,True,True,2,2,True,30.0,5830.0,199.0,199.0,1.1428571428571428,1.5555555555555556,3,0.625,3,4,0.3888888888888889
task-p3-37b6292d0146d8d2,g-e62b89c25adcfec3,phase3-m22-b04-g-e62b89c25adcfec3,extrapolation_holdout,22,22,22,12,22,4194304,15,5,0.3333333333333333,5,1.1920928955078125e-06,1.1920928955078125e-06,5.923689900271567,5.923689900271567,0.6989700043360189,6.622659904607587,-5.923689900271568,8.881784197001252e-16,1631.0,1,12.0,[17412],12.0,801.2607224001624,789.2607224001624,0.06030150753768844,4.02643579095559,3.966134283417902,206.1071428571429,18.0,188.1071428571429,True,True,True,True,True,5,5,True,56.0,10970.0,199.0,199.0,1.5,1.8333333333333333,4,0.4,3,4,0.3333333333333333
