base_graph_id,split,size_m,objective,n_levels,eta,eta_se,kappa,eta_kappa_identity_error,intercept,R2,RMSE,D_min,D_max,P_feas_min,P_feas_max,optimizer_adequacy_flag,resource_censored
g-275f626d73d8e8bd,development,12,O2,6,0.6509384617407615,0.24228944833025554,0.3490615382592392,7.216449660063518e-16,0.7790906161430308,0.6434270247508767,0.12730284908130715,2.8342086975841307,3.612359947967774,0.0190889267134316,0.0785968732388783,False,False
g-275f626d73d8e8bd,development,12,O3,6,0.5141966128505729,0.17906678996648426,0.48580338714942717,1.1102230246251565e-16,0.36295737947867995,0.6733551319238715,0.09408462768673898,2.8342086975841307,3.612359947967774,0.0262743293485715,0.0780224859013711,False,False
g-2fd196f1ec0acd82,development,12,O0,6,0.7256346325243694,0.08174450773753507,0.27436536747563073,1.6653345369377348e-16,1.1453155332014093,0.9516900401139121,0.04294990476660267,2.8342086975841307,3.612359947967774,0.0312441032374693,0.1161407193273102,False,False
g-2fd196f1ec0acd82,development,12,O2,6,0.654414699534013,0.09781475089829413,0.3455853004659855,1.4988010832439613e-15,1.051133078855109,0.9179668126107406,0.05139347403423947,2.8342086975841307,3.612359947967774,0.0460139054189895,0.1634440340056221,False,False
g-2fd196f1ec0acd82,development,12,O3,6,0.6161183046154307,0.13333027061248592,0.38388169538456857,7.216449660063518e-16,0.9271125658766767,0.8422313553048886,0.07005391045595782,2.8342086975841307,3.612359947967774,0.0413435660280961,0.1318269500658932,False,False
g-3115314f81a28bbb,interpolation_holdout,14,O0,6,0.23304607339821962,0.47366765533628835,0.7669539266017801,3.3306690738754696e-16,-0.6479128436245153,0.057063521123443706,0.2618072316367553,3.36932189928148,4.214419939295737,0.0104086915659744,0.0530732412383802,False,False
g-3115314f81a28bbb,interpolation_holdout,14,O2,6,0.05683975259081386,0.3112438614298774,0.9431602474091847,1.4432899320127035e-15,-1.0815913134390975,0.008268691725672905,0.17203178812587022,3.36932189928148,4.214419939295737,0.0235989438087991,0.0778311440643143,False,False
g-3115314f81a28bbb,interpolation_holdout,14,O3,6,0.029825631599237862,0.2848314040638887,0.9701743684007605,1.5543122344752192e-15,-1.1666537741378793,0.0027337242080706092,0.15743300295274298,3.36932189928148,4.214419939295737,0.0267757776417687,0.0759087257709413,False,False
g-340c0c88fcc14180,interpolation_holdout,16,O0,6,0.8105547450109457,0.415418205545771,0.18944525498905537,1.0824674490095276e-15,1.375862505293422,0.4876454982308386,0.25878916097164306,3.8622374211843744,4.816479930623699,0.0017173854637068,0.0219884716058177,False,False
g-340c0c88fcc14180,interpolation_holdout,16,O2,6,0.3832033415659927,0.21827098533594136,0.616796658434009,1.6653345369377348e-15,-0.12066873651483924,0.43520699950978037,0.13597421683850203,3.8622374211843744,4.816479930623699,0.0088592607603718,0.0290897479597381,False,False
g-340c0c88fcc14180,interpolation_holdout,16,O3,6,0.19670692588715752,0.15935120989252283,0.8032930741128433,8.881784197001252e-16,-0.9138039291246765,0.27586109777733336,0.09926952010618731,3.8622374211843744,4.816479930623699,0.013089746590458,0.0271133928503359,False,False
g-3973175f1911b646,development,18,O0,6,0.3364103926196555,0.11639137379257779,0.6635896073803442,2.220446049250313e-16,-0.3683856108805277,0.6762196144016122,0.08172961607718042,4.339358675904037,5.418539921951662,0.0073885627024018,0.0162416133608712,False,False
g-3973175f1911b646,development,18,O2,6,0.10017260205300348,0.08150333243183017,0.8998273979469972,6.661338147750939e-16,-1.1868646156705074,0.2741251744775369,0.0572313553110503,4.339358675904037,5.418539921951662,0.0172564835155866,0.0262289282243815,False,False
g-3973175f1911b646,development,18,O3,6,0.4000754696212357,0.11833600130918713,0.5999245303787654,9.992007221626409e-16,0.23250419788112478,0.7407664406583963,0.08309512672600942,4.339358675904037,5.418539921951662,0.0101559327830485,0.0304849903104984,False,False
g-3cf4bd3967c31b19,development,14,O0,6,1.3419976928740789,0.29946521544399757,-0.341997692874079,1.1102230246251565e-16,3.600270756859223,0.8339020532303318,0.17333612285282063,3.311329952303793,4.214419939295737,0.0049901717962099,0.0940815950922615,False,False
g-3cf4bd3967c31b19,development,14,O2,6,0.5771445543397523,0.16850968326310264,0.42285544566024674,9.43689570931383e-16,1.0319114737562067,0.7457182100300068,0.09753658740190256,3.311329952303793,4.214419939295737,0.0312430479284742,0.1332287896427396,False,False
g-3cf4bd3967c31b19,development,14,O3,6,0.5758292940886348,0.22155799717296784,0.4241707059113641,1.1102230246251565e-15,1.029707390894624,0.6280731292590669,0.1282419534437725,3.311329952303793,4.214419939295737,0.0279917267908573,0.1283076459370463,False,False
