task_id,base_graph_id,base_instance_id,size_stratum,stress_level,dilution_score,feasible_state_fraction,capacity_gap_mean,capacity_gap_penalty,capacity_gap_cvar,capacity_gap_p_feas_mean,capacity_gap_p_feas_penalty,capacity_gap_p_feas_cvar,capacity_gap_p_opt_mean,capacity_gap_p_opt_penalty,capacity_gap_p_opt_cvar,penalty_gap_closure_fraction,cvar_gap_closure_fraction,O2_base_kappa,tag_OBJECTIVE_LIMITED,tag_CAPACITY_LIMITED,tag_PENALTY_SURROGATE_SUCCESS,tag_CVAR_PARTIAL_ALIGNMENT,mechanistic_tags
task-v2-4746dcc3bd93,g-a87f1b9ac089cc45,v2-S5-b000-g-a87f1b9ac089cc45,S5,D1,5.719569917615643,1.9073486328125e-06,0.9340445378893909,0.9501482444639873,0.01749724446635126,0.0145373060368356,0.0146070165980683,0.0006496727506129021,0.0145373060368356,0.0146070165980683,0.0006496727506129021,-0.017240833730461105,0.9812672268220862,1.042148760780945,True,False,False,False,OBJECTIVE_LIMITED
task-v2-4968f3a685c2,g-8a16a856f5377a40,v2-S3-b000-g-8a16a856f5377a40,S3,D1,3.9133899436317554,0.0001220703125,0.9363055626407575,0.8504708595875718,-0.0038042868945815655,0.013072882931100099,0.012698758539534399,-0.00013008028921340092,0.013072882931100099,0.012698758539534399,-0.00013008028921340092,0.09167381512836185,1.004063082658456,-0.10168452836737932,True,True,False,False,OBJECTIVE_LIMITED;CAPACITY_LIMITED
task-v2-4d2b9f5eb099,g-6aa6775bed3bc2cc,v2-S2-b001-g-6aa6775bed3bc2cc,S2,D1,3.010299956639812,0.0009765625,0.3338815961291539,0.27397859660848045,0.15279000382859165,0.023291025177360498,0.0203141776655506,0.012877491018867697,0.023291025177360498,0.0203141776655506,0.012877491018867697,0.17941390066166288,0.5423826721809232,0.10518404367317832,True,False,False,True,OBJECTIVE_LIMITED;CVAR_PARTIAL_ALIGNMENT
task-v2-4e78b3f98433,g-553bb3c5ba0f2136,v2-S1-b001-g-553bb3c5ba0f2136,S1,D1,2.1072099696478683,0.0078125,-0.04053211473732987,0.12137280523682303,0.13337094266576655,-0.013337900673857706,0.03324389966565809,0.036053343291434795,-0.013337900673857706,0.03324389966565809,0.036053343291434795,,,0.30764811827476707,False,False,False,False,NONE
task-v2-526a936f38d9,g-e0c69f84d376b633,v2-S5-b001-g-e0c69f84d376b633,S5,D4,5.11750992628768,7.62939453125e-06,0.3693481826374465,0.3608109690908865,0.029382739837445992,0.0115191097638921,0.0113485445347712,0.001315620667782201,0.0026375991551071,0.0026035073589077,-0.0009879008294885003,0.02311426980795562,0.9204470436875326,0.28567612216689037,True,False,False,False,OBJECTIVE_LIMITED
task-v2-59a464f36e13,g-bd62d2d752385cc7,v2-S4-b001-g-bd62d2d752385cc7,S4,D1,4.816479930623699,1.52587890625e-05,0.6224215751372513,0.6005282831158842,0.2292300857624534,0.011763076937429099,0.011572540935036199,0.0063355045065957,0.011763076937429099,0.011572540935036199,0.0063355045065957,0.03517437842115177,0.6317125001460537,0.5641472514923005,True,False,False,True,OBJECTIVE_LIMITED;CVAR_PARTIAL_ALIGNMENT
task-v2-5acbf653f95a,g-a712031e7959d564,v2-S3-b001-g-a712031e7959d564,S3,D2,3.612359947967774,0.000244140625,0.13868961827476411,0.13900138991717004,0.0019507805720153648,0.0095882421826812,0.009606531063314001,0.0001571916258448977,0.004121352479658599,0.0040972299665963,2.0352458059799683e-05,-0.0022479811126760616,0.9859341989956986,0.13945155544105142,True,False,False,False,OBJECTIVE_LIMITED
task-v2-5b0627539151,g-a712031e7959d564,v2-S3-b001-g-a712031e7959d564,S3,D5,3.2144199392957367,0.0006103515625,0.03427458676577633,0.028573728675096,-0.03504421362003818,0.006441799534227688,0.005405276967608799,-0.007133715994638412,0.000756501206938702,-0.00012753122403479783,-0.0017863130948874012,0.16632901016833607,2.022454737660917,0.13945155544105142,False,False,False,False,NONE
task-v2-5b5a3995de2b,g-bd62d2d752385cc7,v2-S4-b001-g-bd62d2d752385cc7,S4,D5,4.11750992628768,7.62939453125e-05,0.20003016127587703,0.17930513584438046,-0.012326334560148311,0.011984541706387797,0.010983210795704898,-0.0009348042673959986,0.0049431071932516,0.0045764662276302,0.00044512660825180017,0.10360950218358864,1.061622379752762,0.5641472514923005,True,False,False,False,OBJECTIVE_LIMITED
task-v2-5d31ef4af595,g-bd62d2d752385cc7,v2-S4-b001-g-bd62d2d752385cc7,S4,D4,4.214419939295737,6.103515625e-05,0.10488044771994565,0.1096457275060132,0.0066000932550194236,0.004482896732965497,0.004661989106096998,0.000315140195558998,0.0016556703412500002,0.0016246211872708999,0.0005606795231679002,-0.04543534938744658,0.9370703176950278,0.5641472514923005,True,False,False,False,OBJECTIVE_LIMITED
task-v2-5de325b6f026,g-8a16a856f5377a40,v2-S3-b000-g-8a16a856f5377a40,S3,D3,3.436268688912093,0.0003662109375,0.3857782053777208,0.23343817005550793,-0.06565200088382861,0.0327260590215846,0.023116807111587596,-0.009072915259710608,0.0234216469658637,0.0181398674221926,-0.005288615692425898,0.3948902068561769,1.1701806892370912,-0.10168452836737932,True,True,False,False,OBJECTIVE_LIMITED;CAPACITY_LIMITED
task-v2-5f165c277bb9,g-e0c69f84d376b633,v2-S5-b001-g-e0c69f84d376b633,S5,D6,4.816479930623699,1.52587890625e-05,0.1509570722025182,0.23996935602944136,0.007193949511917985,0.0083915439890146,0.012132903648063999,0.00046952444972249777,0.0012640514983005002,0.0020697388758416,7.185996939699894e-06,-0.589652955825135,0.9523444022399503,0.28567612216689037,True,False,False,False,OBJECTIVE_LIMITED
task-v2-606c43f06406,g-3ff7063ef9ea5cfb,v2-S4-b000-g-3ff7063ef9ea5cfb,S4,D4,4.214419939295737,6.103515625e-05,0.5767331377927492,0.43390237995648784,0.24121071109531522,0.024918688857752197,0.021419877060110497,0.014448413367863098,0.010338294156816601,0.009136561536092502,0.005826285268005601,0.24765484845018215,0.5817637390865599,0.07030518097922192,True,False,False,True,OBJECTIVE_LIMITED;CVAR_PARTIAL_ALIGNMENT
task-v2-69173fedcdae,g-8a16a856f5377a40,v2-S3-b000-g-8a16a856f5377a40,S3,D7,3.0682919036174985,0.0008544921875,0.17217044395575476,0.1487258224489154,-0.018850692785336687,0.044016774717949,0.0389985231105576,-0.005966111437943095,0.013337573651456502,0.011125337645572102,-0.0031912059696984005,0.1361709999009137,1.1094885530421297,-0.10168452836737932,True,True,False,False,OBJECTIVE_LIMITED;CAPACITY_LIMITED
task-v2-6996479d6302,g-60667963f6db3f1b,v2-S2-b000-g-60667963f6db3f1b,S2,D4,2.4082399653118496,0.00390625,0.009327940479382457,0.016466142827507912,0.011200642351478773,0.0039274407495134,0.0068764504408162785,0.004705807341989887,0.0006069642301616968,0.001863302802181395,-0.0010601536371667025,-0.7652495600613041,-0.20076263096184505,0.1130294833144868,False,False,False,False,NONE
task-v2-6e79cb6720c5,g-e0c69f84d376b633,v2-S5-b001-g-e0c69f84d376b633,S5,D3,5.24244866289598,5.7220458984375e-06,0.3080001285203888,0.29098016103769586,0.10532820844291724,0.0084312706796414,0.008104851959259701,0.003574564431852301,0.0034092021113081997,0.0032225731697269992,0.0021180077958308993,0.05525961162566946,0.6580254399603448,0.28567612216689037,True,False,False,True,OBJECTIVE_LIMITED;CVAR_PARTIAL_ALIGNMENT
task-v2-7133b996bac7,g-a87f1b9ac089cc45,v2-S5-b000-g-a87f1b9ac089cc45,S5,D3,5.24244866289598,5.7220458984375e-06,0.980862688709458,0.9089384346307026,-0.005298211690640819,0.025673018914617,0.025133383434174,-0.00035189297586729965,0.0143329658498752,0.013974061298503,-0.0003276809258564023,0.07332754615570886,1.005401583475065,1.042148760780945,True,False,False,False,OBJECTIVE_LIMITED
task-v2-73f419868dc6,g-553bb3c5ba0f2136,v2-S1-b001-g-553bb3c5ba0f2136,S1,D3,1.630088714928206,0.0234375,0.024287455821258686,0.020798819049780537,0.07545961241451571,0.017426285906306016,0.014982721832302925,0.05110235053542189,0.0019236524292212953,0.0014640130973470056,0.014002786531415706,0.1436394489876771,-2.106937711790557,0.30764811827476707,False,False,False,False,NONE
