task_id,base_graph_id,base_instance_id,size_stratum,stress_level,n_edges,dilution_score,minimum_infeasible_total_penalty,maximum_total_penalty,maximum_feasible_total_penalty,penalty_feasibility_classification_match,basis_penalty_contract_pass,max_feasible_energy,min_infeasible_energy,strict_energy_class_separation,random_state_seed,random_state_p_feas,random_state_expected_total_penalty,random_state_lower_bound_margin,random_state_upper_bound_margin,random_state_penalty_bound_pass,random_state_cvar_tail_fully_feasible,random_state_cvar_tail_feasible_mass,random_state_cvar_tail_condition_pass
task-v2-eb1005d46905,g-8a16a856f5377a40,v2-S3-b000-g-8a16a856f5377a40,S3,D4,13,3.311329952303793,1.0000087119063183,3.3228623808424174,0.0,True,True,0.10465116279069768,1.0482848299592384,True,16719804309889385707,0.0003022030012116189,2.390398478270957,1.3907006812721685,1.6083927097241966,True,False,0.00030220300121161893,True
task-v2-0c6c4504c3d3,g-8a16a856f5377a40,v2-S3-b000-g-8a16a856f5377a40,S3,D5,13,3.2144199392957367,1.0015333342316277,3.3183385782881327,0.0,True,True,0.10465116279069768,1.0480449621386045,True,2135322218309155698,0.0005514144413112273,2.3794421143883104,1.3799935288296217,1.6183522278464446,True,False,0.0005514144413112274,True
task-v2-f0ef0f25a74e,g-8a16a856f5377a40,v2-S3-b000-g-8a16a856f5377a40,S3,D6,13,3.135238693248112,1.0045553202953654,3.259971709923411,0.0,True,True,0.10465116279069768,1.0666666666666667,True,18256177524429577156,0.0002701040146356794,2.3253774592735077,1.3256475632881433,1.6735421246679496,True,False,0.0002701040146356794,True
task-v2-69173fedcdae,g-8a16a856f5377a40,v2-S3-b000-g-8a16a856f5377a40,S3,D7,13,3.0682919036174985,1.0666666666666667,3.1804828595372765,0.0,True,True,0.10465116279069768,1.0666666666666667,True,13191323752774163363,0.0005433438154746246,2.1997022032712645,1.2002455470867393,1.798124421466837,True,False,0.0005433438154746245,True
task-v2-8792ce3c54d5,g-a712031e7959d564,v2-S3-b001-g-a712031e7959d564,S3,D1,13,3.9133899436317554,1.0012825865300579,3.7565626414775823,0.0,True,True,0.05813953488372093,1.0369002887823844,True,7808938152666331363,0.00017763260909610347,2.5437973704305925,1.5439750030396886,1.4554920991330231,True,False,0.0001776326090961035,True
task-v2-5acbf653f95a,g-a712031e7959d564,v2-S3-b001-g-a712031e7959d564,S3,D2,13,3.612359947967774,1.00047371255498,3.695544118768585,0.0,True,True,0.0755813953488372,1.0281914553821572,True,11696722693164689202,0.0009087814240108733,2.5071844075458314,1.5080931889698421,1.4891804667581252,True,False,0.0009087814240108733,True
task-v2-ef23e17da545,g-a712031e7959d564,v2-S3-b001-g-a712031e7959d564,S3,D3,13,3.436268688912093,1.0003171133632511,3.659714223701006,0.0,True,True,0.0755813953488372,1.0241519792315092,True,3884383580538932296,0.00022496311040205163,2.485242918474073,1.4854678815844753,1.5138572290843184,True,False,0.00022496311040205163,True
task-v2-ac528a9510be,g-a712031e7959d564,v2-S3-b001-g-a712031e7959d564,S3,D4,13,3.311329952303793,1.0041097891877342,3.6311035513721297,0.0,True,True,0.0755813953488372,1.0215516496528505,True,17262303225025578673,0.00026702232469282477,2.469938309454819,1.4702053317795118,1.5289936012464098,True,False,0.00026702232469282477,True
task-v2-5b0627539151,g-a712031e7959d564,v2-S3-b001-g-a712031e7959d564,S3,D5,13,3.2144199392957367,1.0019996150791868,3.533356528283615,0.0,True,True,0.0755813953488372,1.0543251964745357,True,1745807454841603541,0.00036991540789154325,2.379334382968068,1.3797042983759595,1.6191859554003658,True,False,0.0003699154078915433,True
task-v2-c5ed7c8b71f4,g-a712031e7959d564,v2-S3-b001-g-a712031e7959d564,S3,D6,13,3.135238693248112,1.0003101055494212,3.4700412826789235,0.0,True,True,0.0755813953488372,1.0700775474098865,True,5147821377280805244,0.0003928456348271981,2.30582099146541,1.3062138371002372,1.6926076259952811,True,False,0.0003928456348271981,True
task-v2-8c0a098a6f8b,g-a712031e7959d564,v2-S3-b001-g-a712031e7959d564,S3,D7,13,3.0682919036174985,1.0714285714285714,3.446204967357682,0.0,True,True,0.0755813953488372,1.0714285714285714,True,11112023443592214149,0.0008879428778153415,2.2776686840661013,1.2785566269439168,1.7187795444226373,True,False,0.0008879428778153415,True
task-v2-eb747215294a,g-fc8e50acd167f0aa,v2-S3-b002-g-fc8e50acd167f0aa,S3,D1,13,3.9133899436317554,1.009463353536641,3.9501947208312327,0.0,True,True,0.11046511627906977,1.0625,True,2802812787580074163,9.030431487175461e-05,2.607100415418076,1.6071907197329476,1.392538367322437,True,False,9.030431487175461e-05,True
task-v2-607a9c50d675,g-fc8e50acd167f0aa,v2-S3-b002-g-fc8e50acd167f0aa,S3,D2,13,3.612359947967774,1.0023658383841603,3.7700054596020767,0.0,True,True,0.11046511627906977,1.0625,True,12603594985693503022,0.00024556965098531845,2.5169578312112124,1.5172034008621977,1.4820598901848463,True,False,0.00024556965098531845,True
task-v2-cfa564be8207,g-fc8e50acd167f0aa,v2-S3-b002-g-fc8e50acd167f0aa,S3,D3,13,3.436268688912093,1.0000272931424017,3.687008344139979,0.0,True,True,0.11046511627906977,1.0625,True,7925226978796922103,0.00031681280806727474,2.4731847430946616,1.473501555902729,1.5255480056730693,True,False,0.00031681280806727474,True
task-v2-5da0eece9ed4,g-fc8e50acd167f0aa,v2-S3-b002-g-fc8e50acd167f0aa,S3,D4,13,3.311329952303793,1.0000353415363559,3.678375240855491,0.0,True,True,0.11046511627906977,1.0625,True,4887767405862553917,0.000402263249579148,2.4741506306991514,1.4745528939487307,1.524240316302532,True,False,0.000402263249579148,True
task-v2-cd3aef86a98f,g-fc8e50acd167f0aa,v2-S3-b002-g-fc8e50acd167f0aa,S3,D5,13,3.2144199392957367,1.0000657177328933,3.6686177639543005,0.0,True,True,0.11046511627906977,1.0625,True,13040035239337564246,0.0006736841255892432,2.462919631926213,1.4635933160518022,1.5343856315714302,True,False,0.0006736841255892432,True
task-v2-8029d558b1a1,g-fc8e50acd167f0aa,v2-S3-b002-g-fc8e50acd167f0aa,S3,D6,13,3.135238693248112,1.004371089247245,3.6554260243715104,0.0,True,True,0.11046511627906977,1.0625,True,18356780381397119826,0.0004760280316079049,2.4528384637519576,1.4533144917835656,1.5452574241216106,True,False,0.00047602803160790485,True
task-v2-147f90045792,g-fc8e50acd167f0aa,v2-S3-b002-g-fc8e50acd167f0aa,S3,D7,13,3.0682919036174985,1.0625,3.5527471131984867,0.0,True,True,0.13953488372093023,1.0625,True,8863288306868831884,0.0006239965194699902,2.366384340366861,1.367008336886331,1.631119673555259,True,False,0.0006239965194699902,True
task-v2-8b88de51ba21,g-f0c91af33253395a,v2-S3-b003-g-f0c91af33253395a,S3,D1,13,3.9133899436317554,1.014023545706371,3.863020821337666,0.0,True,True,0.040697674418604654,1.0588235294117647,True,4965999608402971741,0.00019771399962261054,2.587023182290936,1.5872208962905585,1.4121859617105734,True,False,0.00019771399962261054,True
task-v2-df7a823d7a2b,g-f0c91af33253395a,v2-S3-b003-g-f0c91af33253395a,S3,D2,13,3.612359947967774,1.0000006979297311,3.6570206234745872,0.0,True,True,0.11046511627906977,1.0588235294117647,True,15896051594366856596,7.024574585960229e-05,2.478509017342165,1.4785792630880246,1.5212099996743969,True,False,7.024574585960229e-05,True
task-v2-0ae6410749b4,g-f0c91af33253395a,v2-S3-b003-g-f0c91af33253395a,S3,D3,13,3.436268688912093,1.0061341480267083,3.6556669887612374,0.0,True,True,0.11046511627906977,1.0588235294117647,True,12593080732816226110,0.0003427998065065423,2.4829774336870694,1.483320233493576,1.5156513670869045,True,False,0.0003427998065065423,True
task-v2-f12c027474e2,g-f0c91af33253395a,v2-S3-b003-g-f0c91af33253395a,S3,D4,13,3.311329952303793,1.000007371882784,3.534963313323688,0.0,True,True,0.11046511627906977,1.0523329532781327,True,656881571132213838,0.00033153328390300236,2.3910892067308773,1.3914207400147802,1.6075846601335106,True,False,0.0003315332839030024,True
task-v2-356d367a6a2c,g-f0c91af33253395a,v2-S3-b003-g-f0c91af33253395a,S3,D5,13,3.2144199392957367,1.0006707104715282,3.530998941589563,0.0,True,True,0.11046511627906977,1.0588235294117647,True,8332300480555826227,0.0006466309993311999,2.3824270635852227,1.3830736945845539,1.6149864124174527,True,False,0.0006466309993312,True
task-v2-747868754e4a,g-f0c91af33253395a,v2-S3-b003-g-f0c91af33253395a,S3,D6,13,3.135238693248112,1.0068059053928333,3.493925961171377,0.0,True,True,0.11046511627906977,1.0588235294117647,True,7694375698347197379,0.0008096028283982591,2.3539349795594307,1.3547445823878288,1.6428266091269763,True,False,0.0008096028283982594,True
task-v2-ba2b70f61e3b,g-f0c91af33253395a,v2-S3-b003-g-f0c91af33253395a,S3,D7,13,3.0682919036174985,1.0588235294117647,3.38477302278252,0.0,True,True,0.11046511627906977,1.0588235294117647,True,10726866407115110016,0.00076535110457529,2.2204752776522123,1.2212406287567876,1.7764633179294864,True,False,0.0007653511045752899,True
task-v2-59fd840ba77c,g-64377640089a831f,v2-S3-b004-g-64377640089a831f,S3,D1,13,3.9133899436317554,1.0000036677779671,3.3852005462862294,0.0,True,True,0.0872093023255814,1.0625,True,11108310038138835824,6.880906959556839e-05,2.4127178544063876,1.4127866634759831,1.58700690931523,True,False,6.880906959556839e-05,True
task-v2-87f0030ee4db,g-64377640089a831f,v2-S3-b004-g-64377640089a831f,S3,D2,13,3.612359947967774,1.0004438011340335,3.3821514942484034,0.0,True,True,0.10465116279069768,1.0625,True,4635217063169216907,0.0001457662316846739,2.4105088834759876,1.4106546497076722,1.5889080515972736,True,False,0.0001457662316846739,True
task-v2-835da0eb601e,g-64377640089a831f,v2-S3-b004-g-64377640089a831f,S3,D3,13,3.436268688912093,1.0000013889810053,3.349096068523989,0.0,True,True,0.10465116279069768,1.0625,True,18105441464365687487,0.00039906295862043514,2.3838332386383776,1.384232301596998,1.6145705095271405,True,False,0.00039906295862043525,True
task-v2-404bfd76cc2e,g-64377640089a831f,v2-S3-b004-g-64377640089a831f,S3,D4,13,3.311329952303793,1.0000095709472399,3.3472730309544834,0.0,True,True,0.10465116279069768,1.0625,True,8340257574135904296,0.0002081968475676263,2.3754410600126468,1.3756492568602146,1.6237261525970825,True,False,0.0002081968475676263,True
task-v2-e1d0a1367c62,g-64377640089a831f,v2-S3-b004-g-64377640089a831f,S3,D5,13,3.2144199392957367,1.0002771234133931,3.3425007743569104,0.0,True,True,0.10465116279069768,1.0625,True,537156719837228966,0.00044330722077765277,2.374349798874227,1.3747931060950045,1.6238769722426625,True,False,0.0004433072207776529,True
task-v2-7eefc621bd20,g-64377640089a831f,v2-S3-b004-g-64377640089a831f,S3,D6,13,3.135238693248112,1.0009031848987207,3.317150113080416,0.0,True,True,0.10465116279069768,1.0625,True,7479190308871885786,0.0005979618102372259,2.35644992761621,1.3570478894264473,1.6411582251428412,True,False,0.000597961810237226,True
task-v2-8d35df6592f7,g-64377640089a831f,v2-S3-b004-g-64377640089a831f,S3,D7,13,3.0682919036174985,1.0625,3.2727877959961926,0.0,True,True,0.10465116279069768,1.0625,True,5541545018506967870,0.0006362365774885909,2.3163701977151585,1.317006434292647,1.6810848559748872,True,False,0.0006362365774885909,True
task-v2-3f11ce371857,g-3ff7063ef9ea5cfb,v2-S4-b000-g-3ff7063ef9ea5cfb,S4,D1,16,4.816479930623699,1.004400035480956,3.5009456238559915,0.0,True,True,0.09302325581395349,1.0454545454545454,True,7056448690246222259,9.42466155466992e-06,2.4838443186099908,1.4838537432715455,1.5161179827437907,True,False,9.42466155466992e-06,True
task-v2-095187356858,g-3ff7063ef9ea5cfb,v2-S4-b000-g-3ff7063ef9ea5cfb,S4,D2,16,4.515449934959718,1.0001708535766494,3.4072807801647045,0.0,True,True,0.13372093023255813,1.0454545454545454,True,7660556007629228891,2.3370639308622932e-05,2.4320833000364503,1.432106670675759,1.5678232174063154,True,False,2.3370639308622932e-05,True
task-v2-0b71cbcaebc2,g-3ff7063ef9ea5cfb,v2-S4-b000-g-3ff7063ef9ea5cfb,S4,D3,16,4.339358675904037,1.0000182806910118,3.3898616991584705,0.0,True,True,0.13372093023255813,1.0454545454545454,True,17022829349862440820,4.913759895297484e-06,2.418839976230182,1.4188448899900776,1.5811403687302366,True,False,4.913759895297484e-06,True
task-v2-606c43f06406,g-3ff7063ef9ea5cfb,v2-S4-b000-g-3ff7063ef9ea5cfb,S4,D4,16,4.214419939295737,1.0005330649499073,3.3842380362977496,0.0,True,True,0.13372093023255813,1.0454545454545454,True,14815732932518023270,6.911399382678627e-05,2.4156627136284383,1.415731827622265,1.5840608303962544,True,False,6.911399382678627e-05,True
task-v2-9f1427c2fbd8,g-3ff7063ef9ea5cfb,v2-S4-b000-g-3ff7063ef9ea5cfb,S4,D5,16,4.038328680240055,1.0007222738326338,3.2892641011308394,0.0,True,True,0.13372093023255813,1.0454545454545454,True,9860689738110415619,0.00015802517877052275,2.3355814327102564,1.335739457889027,1.6637864665746616,True,False,0.00015802517877052278,True
task-v2-07b8f456a957,g-3ff7063ef9ea5cfb,v2-S4-b000-g-3ff7063ef9ea5cfb,S4,D6,16,3.9133899436317554,1.0001583182456697,3.2556629673638753,0.0,True,True,0.13372093023255813,1.0454545454545454,True,442456579126448659,0.0001809551872635815,2.2952318583175964,1.29541281350486,1.7040443209333493,True,False,0.0001809551872635815,True
