run_id,task_id,objective_id,p_feas,expected_total_penalty,penalty_bound_lower_margin,penalty_bound_upper_margin,penalty_bound_pass
objective-run-3c9f1161165b0d95a0d6,task-v2-8f4071cbe937,O3,0.043377403443875,1.5740404545457611,0.6174178579896369,2.252449931678738,True
objective-run-cc8418ab38d7a8e9d0ea,task-v2-5de325b6f026,O0,0.0228699675544266,1.3848933954259257,0.4077633629803519,2.5236267343563683,True
objective-run-7c93b8302c994e98b2c1,task-v2-5de325b6f026,O1,0.0324792194644236,1.3603017596596314,0.3927809791240559,2.509781362482673,True
objective-run-35fe49ee5a5dd71307ff,task-v2-5de325b6f026,O2,0.0555960265760112,1.5248091637256067,0.5804051903016172,2.2528067299703496,True
objective-run-2d67288284104f5ff5d0,task-v2-5de325b6f026,O3,0.0646689418357218,1.551293153623213,0.6159620954589335,2.190031079033901,True
objective-run-9ab0bfe11699d8655ea5,task-v2-eb1005d46905,O0,0.0553571983251965,1.278736783815974,0.3340939821411721,2.499834422883238,True
objective-run-028e1e235f462de9c3ed,task-v2-eb1005d46905,O1,0.0494166859740635,1.3028122612410666,0.3522289472151317,2.499520994862677,True
objective-run-6823bfaff9fd53624365,task-v2-eb1005d46905,O2,0.0980049196543551,1.4668877747298823,0.5648926943842371,2.1410925466526973,True
objective-run-1a625342f194c0795820,task-v2-eb1005d46905,O3,0.0767570638525745,1.3337028269972553,0.4104598908498291,2.3592689175924475,True
objective-run-16f37e9f2d8a16406613,task-v2-0c6c4504c3d3,O0,0.0687499477902451,1.2582694985431042,0.3270194463333508,2.4667307102959137,True
objective-run-cae145bd8814e868948b,task-v2-0c6c4504c3d3,O1,0.0685553334302571,1.2755488715929666,0.344104205023223,2.4502297946860057,True
objective-run-3a77dcd99fe222207a72,task-v2-0c6c4504c3d3,O2,0.0930859227484381,1.3594182222693274,0.4525041450177667,2.2682380867369187,True
objective-run-fa1d32dae2ed95a5aaf4,task-v2-0c6c4504c3d3,O3,0.0899421242993366,1.326908903130933,0.41685102743027,2.31332259967172,True
objective-run-31d99af2834f66340abe,task-v2-f0ef0f25a74e,O0,0.0904942450762064,1.1932454167642617,0.2837396618404679,2.4447776029309125,True
objective-run-82ca44f01102de355513,task-v2-f0ef0f25a74e,O1,0.0813916858985003,1.2198529860907272,0.3012446719892261,2.4545802703152733,True
objective-run-2582d4794badbe5fcb4a,task-v2-f0ef0f25a74e,O2,0.1150791463789439,1.2966688362954966,0.4117479826744374,2.243014578188731,True
objective-run-0496c9efcc31592e5cc0,task-v2-f0ef0f25a74e,O3,0.1008587213938307,1.242254995825058,0.3431137172188881,2.35431011859962,True
objective-run-da280433f45a33e13c77,task-v2-69173fedcdae,O0,0.090472892299529,1.1087335236716729,0.1992064159712033,2.529374907130209,True
objective-run-da2c870b7cb2e93c5ff5,task-v2-69173fedcdae,O1,0.0954911439069204,1.1038427744975223,0.199333918404443,2.514192649874796,True
objective-run-34ed6e666cdf2d628df9,task-v2-69173fedcdae,O2,0.134489667017478,1.1460111349757969,0.2805008019932774,2.316030196954288,True
objective-run-fafd079a8c4f4af2ea1b,task-v2-69173fedcdae,O3,0.1404557784554211,1.1195145195478344,0.2599702980032541,2.318662366630483,True
objective-run-953ad88d26359d15bdcc,task-v2-8792ce3c54d5,O0,0.0104371312689123,1.5374652416249994,0.547902372893912,2.420786233299351,True
objective-run-2e0ff31bf3c733bf8b9b,task-v2-8792ce3c54d5,O1,0.0111602739245005,1.5328384941463349,0.5439987680708331,2.422520410155665,True
objective-run-fad391603c2a1cd89252,task-v2-8792ce3c54d5,O2,0.0266544733704847,1.6910682611207617,0.7177227344912473,2.202313845397298,True
