scope,objective_id,objective_name,base_graph_id,base_instance_id,size_stratum,kappa,R2,D_min,D_max,D_range,number_of_levels,number_of_base_graphs,median_kappa,kappa_q1,kappa_q3,kappa_IQR,kappa_min,kappa_max,negative_count,zero_to_one_count,at_least_one_count,spearman_D_vs_P_feas,spearman_D_vs_G_feas,spearman_D_vs_P_opt,spearman_n_P_feas,spearman_n_G_feas,spearman_n_P_opt
base_graph,O3,CVAR_ENERGY,g-553bb3c5ba0f2136,v2-S1-b001-g-553bb3c5ba0f2136,S1,0.16616465168289163,0.12920887201593056,1.630088714928206,2.1072099696478683,0.4771212547196624,3,,,,,,,,,,,,,,,,
base_graph,O3,CVAR_ENERGY,g-60667963f6db3f1b,v2-S2-b000-g-60667963f6db3f1b,S2,-0.025313072055256874,0.019742168892826983,2.4082399653118496,3.010299956639812,0.6020599913279625,4,,,,,,,,,,,,,,,,
base_graph,O3,CVAR_ENERGY,g-6aa6775bed3bc2cc,v2-S2-b001-g-6aa6775bed3bc2cc,S2,0.19003833749051444,0.22094362682660007,2.4082399653118496,3.010299956639812,0.6020599913279625,4,,,,,,,,,,,,,,,,
base_graph,O3,CVAR_ENERGY,g-8a16a856f5377a40,v2-S3-b000-g-8a16a856f5377a40,S3,-0.0568538667234239,0.0813580855262741,3.0682919036174985,3.9133899436317554,0.8450980400142569,7,,,,,,,,,,,,,,,,
base_graph,O3,CVAR_ENERGY,g-a712031e7959d564,v2-S3-b001-g-a712031e7959d564,S3,0.21503604496592066,0.5756506014086819,3.0682919036174985,3.9133899436317554,0.8450980400142569,7,,,,,,,,,,,,,,,,
base_graph,O3,CVAR_ENERGY,g-3ff7063ef9ea5cfb,v2-S4-b000-g-3ff7063ef9ea5cfb,S4,0.3253016375865135,0.5018681814658027,3.8622374211843744,4.816479930623699,0.9542425094393248,7,,,,,,,,,,,,,,,,
base_graph,O3,CVAR_ENERGY,g-bd62d2d752385cc7,v2-S4-b001-g-bd62d2d752385cc7,S4,0.17899691142450314,0.44525783198730384,3.9133899436317554,4.816479930623699,0.9030899869919438,7,,,,,,,,,,,,,,,,
base_graph,O3,CVAR_ENERGY,g-a87f1b9ac089cc45,v2-S5-b000-g-a87f1b9ac089cc45,S5,0.9227264184305629,0.8766191679617418,4.719569917615643,5.719569917615643,1.0,7,,,,,,,,,,,,,,,,
base_graph,O3,CVAR_ENERGY,g-e0c69f84d376b633,v2-S5-b001-g-e0c69f84d376b633,S5,0.15276935859324428,0.12605208995432116,4.640388671568018,5.719569917615643,1.079181246047625,7,,,,,,,,,,,,,,,,
aggregate,O3,CVAR_ENERGY,,,ALL,,,,,,56,10.0,0.17258078155369738,0.1550552631287369,0.2087866180970691,0.0537313549683322,-0.0568538667234239,0.9227264184305629,2.0,8.0,0.0,-0.8604263650854032,0.9675093982789162,-0.8758509731883334,56.0,56.0,56.0
