run_id,task_id,base_graph_id,base_instance_id,size_stratum,stress_level,dilution_score,p_feas,cvar_alpha,cvar_value,cvar_cutoff_energy,cvar_tail_fully_feasible,cvar_tail_feasible_mass,cvar_fractional_cutoff_mass,p_feas_at_least_alpha,cvar_tail_condition_pass
objective-run-21ca30371b2c6b79e39d,task-v2-9f1427c2fbd8,g-3ff7063ef9ea5cfb,v2-S4-b000-g-3ff7063ef9ea5cfb,S4,D5,4.038328680240055,0.0332112800028367,0.1,0.7532624717912318,1.1094080338266386,False,0.0332112800028367,0.0020122650090157,False,True
objective-run-64a335ad498520ea2c2d,task-v2-07b8f456a957,g-3ff7063ef9ea5cfb,v2-S4-b000-g-3ff7063ef9ea5cfb,S4,D6,3.9133899436317554,0.0421975537211719,0.1,0.6721613893483863,1.1316067653276956,False,0.0421975537211719,0.0006392194126128,False,True
objective-run-2a87d230fdeb290e548c,task-v2-b5e00db3fe1a,g-3ff7063ef9ea5cfb,v2-S4-b000-g-3ff7063ef9ea5cfb,S4,D7,3.8622374211843744,0.0470417104516686,0.1,0.6108713872358461,1.1094080338266386,False,0.0470417104516685,0.000916754692282,False,True
objective-run-f24e4981e85ddd01146b,task-v2-59a464f36e13,g-bd62d2d752385cc7,v2-S4-b001-g-bd62d2d752385cc7,S4,D1,4.816479930623699,0.0091127435539044,0.1,0.9614543907887446,1.0628964059196615,False,0.0091127435539044,0.0068973964874968,False,True
objective-run-4ba86f3d0081d7302d1b,task-v2-a2561503b5d0,g-bd62d2d752385cc7,v2-S4-b001-g-bd62d2d752385cc7,S4,D2,4.515449934959718,0.013679744846555,0.1,0.9263486370191056,1.074524312896406,False,0.013679744846555,0.0041491272219959,False,True
objective-run-bfa483ed50db0ab5d067,task-v2-f6d986d24578,g-bd62d2d752385cc7,v2-S4-b001-g-bd62d2d752385cc7,S4,D3,4.339358675904037,0.0186770647517475,0.1,0.879197587090567,1.074524312896406,False,0.0186770647517475,0.0008823902268048,False,True
objective-run-0a286800d4656691122a,task-v2-5d31ef4af595,g-bd62d2d752385cc7,v2-S4-b001-g-bd62d2d752385cc7,S4,D4,4.214419939295737,0.0205794523647627,0.1,0.8700794625314943,1.0919661733615222,False,0.0205794523647627,0.0045405613713708,False,True
objective-run-d5f460189f59a6437d4e,task-v2-5b5a3995de2b,g-bd62d2d752385cc7,v2-S4-b001-g-bd62d2d752385cc7,S4,D5,4.11750992628768,0.033405627701848,0.1,0.7636254509288115,1.1210359408033823,False,0.033405627701848,0.0004277976304262,False,True
objective-run-ebc6a69a3b6c1f0d3c24,task-v2-cf1a83d8dbf9,g-bd62d2d752385cc7,v2-S4-b001-g-bd62d2d752385cc7,S4,D6,4.038328680240055,0.0440961046370338,0.1,0.6632291846429426,1.1316067653276956,False,0.0440961046370339,0.0006695875757147,False,True
objective-run-6947f881efd520412cfa,task-v2-e243a3cd3e64,g-bd62d2d752385cc7,v2-S4-b001-g-bd62d2d752385cc7,S4,D7,3.9133899436317554,0.0437790767569482,0.1,0.6447742310701924,1.0919661733615222,False,0.0437790767569483,0.0016404673433062,False,True
objective-run-d0e79bf321c567540279,task-v2-4746dcc3bd93,g-a87f1b9ac089cc45,v2-S5-b000-g-a87f1b9ac089cc45,S5,D1,5.719569917615643,0.0158027004731852,0.1,0.8861942849860468,1.0589700996677742,False,0.0158027004731852,0.0065146911496621,False,True
