task_id,graph_id,optimizer,objective,depth,seed_count,objective_value,mean_energy,P_feas,P_opt,P_opt_given_feas,G_feas,median_nfev,median_nit,median_wall_time_s
task-v2-0c6c4504c3d3,g-8a16a856f5377a40,COBYLA,O0,3,3,1.3855528032729914,1.3855528032729914,0.010939625286098677,0.010685509699935094,0.818581565819699,1.2534223857020428,120.0,92.0,0.6425260910764337
task-v2-0c6c4504c3d3,g-8a16a856f5377a40,COBYLA,O3,2,3,0.6763363283366837,1.7705264142491939,0.040281548307685607,0.016298251996163363,0.31125161320110795,1.8195260945378187,120.0,95.0,0.47937966603785753
task-v2-0c6c4504c3d3,g-8a16a856f5377a40,COBYLA,O3,3,3,0.5634218177551585,1.759831219397113,0.05005550212032468,0.028373138315453645,0.551568801755384,1.9138717615538585,120.0,91.0,0.6196468779817224
task-v2-0c6c4504c3d3,g-8a16a856f5377a40,Nelder-Mead,O0,2,3,1.5321047133201713,1.5321047133201713,0.025752156982698098,0.008122412732719998,0.3056290878535612,1.6252335503991924,120.0,71.0,0.29376061633229256
task-v2-0c6c4504c3d3,g-8a16a856f5377a40,Nelder-Mead,O0,3,3,1.3852264960637557,1.3852264960637557,0.009007682212914847,0.004006064428791858,0.6371301739752488,1.169032995354074,120.0,75.0,0.4237221134826541
task-v2-0c6c4504c3d3,g-8a16a856f5377a40,Nelder-Mead,O3,2,3,0.6438787901135786,1.5164055966784729,0.04263155151339709,0.013377445401333175,0.3125338962401786,1.8441510777473626,120.0,72.0,0.28719865903258324
task-v2-0c6c4504c3d3,g-8a16a856f5377a40,Nelder-Mead,O3,3,3,0.10749661054430697,1.7449496368676505,0.0953973708790999,0.05123052866176091,0.5783930990100148,2.1939563451483326,120.0,72.0,0.4372801948338747
task-v2-0c6c4504c3d3,g-8a16a856f5377a40,SLSQP,O0,2,3,1.3528455861618074,1.3528455861618074,0.06237886180184002,0.01831325839228365,0.3042192911822892,2.0094573854191715,120.0,21.0,0.2930995598435402
task-v2-0c6c4504c3d3,g-8a16a856f5377a40,SLSQP,O0,3,3,1.2838920221830068,1.2838920221830068,0.008204402080281673,0.007621658524136692,0.8850917893118654,1.1284668753617186,120.0,16.0,0.41909647081047297
task-v2-0c6c4504c3d3,g-8a16a856f5377a40,SLSQP,O3,2,3,0.06689146476037358,1.7335279201698743,0.09997517249567897,0.050506714815966025,0.5051882819301527,2.2143121014271965,120.0,21.0,0.3016355186700821
task-v2-0c6c4504c3d3,g-8a16a856f5377a40,SLSQP,O3,3,3,0.10733999769486187,1.7346359771490816,0.09575705592408397,0.05220798439502066,0.5452129233840591,2.1955907244010686,120.0,16.0,0.43700270075351
task-v2-11173062a501,g-a87f1b9ac089cc45,COBYLA,O0,2,3,1.876498804945172,1.876498804945172,0.003080589064583274,0.0011724525243680664,0.3614951842550684,2.430052436666537,120.0,91.0,78.68950466252863
task-v2-11173062a501,g-a87f1b9ac089cc45,COBYLA,O0,3,3,1.3827212609809618,1.3827212609809618,0.005188694978837096,0.002291505522538679,0.4361029921429252,2.656476808364105,120.0,90.0,125.1514524128288
task-v2-11173062a501,g-a87f1b9ac089cc45,COBYLA,O3,2,3,1.0725263495396404,2.025175905154263,0.004040509045385049,0.0014283471363617504,0.33177830238032957,2.5478547505789964,120.0,96.0,85.09985589422286
task-v2-11173062a501,g-a87f1b9ac089cc45,COBYLA,O3,3,3,0.9719776181835486,1.5050635884005723,0.008005012992975694,0.003068729342935077,0.39139239902343526,2.844780708393385,120.0,88.0,127.07004927191883
task-v2-11173062a501,g-a87f1b9ac089cc45,Nelder-Mead,O0,2,3,1.3718442006116045,1.3718442006116045,0.005523517708699488,0.002241773904288335,0.42669821630872895,2.6836344179505653,120.0,70.0,85.21299011167139
task-v2-11173062a501,g-a87f1b9ac089cc45,Nelder-Mead,O0,3,3,1.2692550103843265,1.2692550103843265,0.0038798166256415172,0.0018535066728286016,0.44936616238397364,2.5302298669617773,120.0,78.0,127.98789302632213
task-v2-11173062a501,g-a87f1b9ac089cc45,Nelder-Mead,O3,2,3,0.8140936742392602,1.355187432427801,0.023426728901677896,0.00938946651194383,0.3874433295199528,3.31113031907575,120.0,74.0,86.99512105062604
task-v2-11173062a501,g-a87f1b9ac089cc45,Nelder-Mead,O3,3,3,0.8987179829720917,1.3644386701575644,0.015192365177499898,0.006265932790499919,0.41613748872344253,3.1230440581833827,120.0,76.0,126.7435125792399
task-v2-11173062a501,g-a87f1b9ac089cc45,SLSQP,O0,2,3,1.3109048663911496,1.3109048663911496,0.0038964795781658715,0.0017356030533947054,0.4190498429224898,2.5320910716329124,120.0,22.0,84.6275035161525
task-v2-11173062a501,g-a87f1b9ac089cc45,SLSQP,O0,3,3,1.3500397034418572,1.3500397034418572,0.007721169688171121,0.0033099394909339762,0.42868368713678495,2.829101764282556,120.0,15.0,124.99424037057906
task-v2-11173062a501,g-a87f1b9ac089cc45,SLSQP,O3,2,3,0.770346614138635,1.4012624198083037,0.029597190484474272,0.011075700786685917,0.37421459960856324,3.4126691548112227,120.0,22.0,84.5747926319018
