graph_id,optimizer,objective,depth,n_tasks,objective_value,mean_energy,P_feas,P_opt,P_opt_given_feas,G_feas
g-60667963f6db3f1b,COBYLA,O0,3,4,1.695091645768298,1.695091645768298,0.014524424625825615,0.005027478408436543,0.7008762786735795,0.3551023621283227
g-60667963f6db3f1b,COBYLA,O3,2,4,0.6179986147177321,2.02604404616799,0.05426251178005158,0.0276533890989462,0.5641396684541298,1.2487065845440337
g-60667963f6db3f1b,COBYLA,O3,3,4,0.6149186479318656,1.9896100723018837,0.050825148665093606,0.02434527380442327,0.576727056887762,1.3300756030393064
g-60667963f6db3f1b,Nelder-Mead,O0,2,4,1.8015888091289223,1.8015888091289223,0.010038226294574015,0.004168813138194187,0.47703182448037007,0.6342554627787819
g-60667963f6db3f1b,Nelder-Mead,O0,3,4,1.6414731482217915,1.6414731482217915,0.006848683954322475,0.003970997436476746,0.703565221158448,0.18483829599474952
g-60667963f6db3f1b,Nelder-Mead,O3,2,4,0.9281633746182366,2.1180878037500626,0.024420118189300295,0.012811226948233194,0.6375859645865789,0.9905489097500104
g-60667963f6db3f1b,Nelder-Mead,O3,3,4,0.4886722991906224,1.9006558800541569,0.06111721268176417,0.03360845231304711,0.6248755308664177,1.409449439534176
g-60667963f6db3f1b,SLSQP,O0,2,4,1.794038939771479,1.794038939771479,0.012864936706766899,0.006163631325020049,0.5289282591581078,0.7386631072410761
g-60667963f6db3f1b,SLSQP,O0,3,4,1.7246857084097962,1.7246857084097962,0.017109734830024672,0.00776707832311661,0.757731442631995,0.4264429315252616
g-60667963f6db3f1b,SLSQP,O3,2,4,0.8368307532045025,2.1706573877374993,0.039823596944781894,0.016200914238536673,0.7366760962294583,0.8284487252154538
g-60667963f6db3f1b,SLSQP,O3,3,4,0.30625505376562784,1.837724642045972,0.08079644006596268,0.04607194304597156,0.7034695361937575,1.5169750011632679
g-6aa6775bed3bc2cc,COBYLA,O0,2,4,1.5999408273889557,1.5999408273889557,0.014225552268908455,0.00947769508976233,0.7086678270500301,0.7483874964419968
g-6aa6775bed3bc2cc,COBYLA,O0,3,4,1.5538830062721531,1.5538830062721531,0.009432990275897347,0.005745376651320757,0.7639836272649425,0.40457284811745986
g-6aa6775bed3bc2cc,COBYLA,O3,2,4,0.8763861274289597,1.863861464125516,0.025795057902904303,0.01696799961921836,0.6682241237033055,1.034001477972615
g-6aa6775bed3bc2cc,COBYLA,O3,3,4,0.688404771342258,1.8522576213343578,0.04319678530111479,0.02727565173009618,0.6986684635204176,1.2321904358203402
g-6aa6775bed3bc2cc,Nelder-Mead,O0,2,4,1.518590661613751,1.518590661613751,0.03353062030449481,0.022365803449679034,0.7242053703735936,0.9648876163005005
g-6aa6775bed3bc2cc,Nelder-Mead,O0,3,4,1.5391962449602756,1.5391962449602756,0.00884784468819289,0.006223479464610395,0.6683035495389622,0.025789439786751883
g-6aa6775bed3bc2cc,Nelder-Mead,O3,2,4,1.0238886582790194,1.9832617662307972,0.01575533987778581,0.010285129262029426,0.6809512075531341,0.8496709844835625
g-6aa6775bed3bc2cc,Nelder-Mead,O3,3,4,0.647090974174468,1.7995571878821746,0.049850880355309005,0.03504025356709267,0.7382143890708939,1.2338733636769248
g-6aa6775bed3bc2cc,SLSQP,O0,2,4,1.4578633347109655,1.4578633347109655,0.029222575765887025,0.018187284916196457,0.7071092877550799,0.9036426374744657
g-6aa6775bed3bc2cc,SLSQP,O0,3,4,1.459570790948709,1.459570790948709,0.01824789014234902,0.01133623620404384,0.8288227997163584,0.2786479749717868
g-6aa6775bed3bc2cc,SLSQP,O3,2,4,0.8167264312582478,1.9193739492061739,0.03331342472690707,0.021588999321861323,0.691365503194714,1.102150604652365
g-6aa6775bed3bc2cc,SLSQP,O3,3,4,0.5501229420275269,1.7182407541393263,0.06291956691863786,0.044226030586269116,0.7029095189696344,1.2441350351681773
g-8a16a856f5377a40,COBYLA,O0,2,7,1.6623672897407782,1.6623672897407782,0.013125696517848113,0.004273058374656104,0.4282837630366614,1.4316413675723205
g-8a16a856f5377a40,COBYLA,O0,3,7,1.3795135093675266,1.3795135093675266,0.013007841327587037,0.007493104099105254,0.7532057465721731,0.9169429608620211
g-8a16a856f5377a40,COBYLA,O3,2,7,0.8058436014235486,1.8615728802591922,0.027656615281094216,0.011885147961025216,0.5186376155404979,1.7441001292107272
g-8a16a856f5377a40,COBYLA,O3,3,7,0.6358663783583773,1.7870932380984728,0.04352864754511795,0.02409935192619636,0.6192810427351837,1.953364784714788
g-8a16a856f5377a40,Nelder-Mead,O0,2,7,1.5874465992189297,1.5874465992189297,0.013449898561780227,0.005596841334137429,0.4736310530786675,1.4819707310367534
g-8a16a856f5377a40,Nelder-Mead,O0,3,7,1.3955914347293297,1.3955914347293297,0.007930282028258292,0.004531473338149459,0.6555672284641736,0.8690864440413127
g-8a16a856f5377a40,Nelder-Mead,O3,2,7,0.7499666564840093,1.7996501119165185,0.03380956520072292,0.015040659274016642,0.46744002264800766,1.8532667830909642
g-8a16a856f5377a40,Nelder-Mead,O3,3,7,0.5147119756807433,1.7634822878628693,0.055484841783344,0.030147904458893225,0.633984701347,1.9902740439861957
g-8a16a856f5377a40,SLSQP,O0,2,7,1.4196185512189625,1.4196185512189625,0.028943558500314843,0.01283103785207133,0.49934679849557073,1.6499963986391974
g-8a16a856f5377a40,SLSQP,O0,3,7,1.3130826023597721,1.3130826023597721,0.013221582542301493,0.008046603014950951,0.7378960944796419,0.5891135605228518
g-8a16a856f5377a40,SLSQP,O3,2,7,0.6030605823096076,1.728241978353761,0.04747552447130621,0.02339655902873239,0.5265376194101802,1.9893414064711696
g-8a16a856f5377a40,SLSQP,O3,3,7,0.5334637743905238,1.7899522730221837,0.0539227111979902,0.028160641670042865,0.6143447087580636,1.9164937383605634
g-a712031e7959d564,COBYLA,O0,2,7,1.579610635040056,1.579610635040056,0.020942613372296883,0.005280435652758505,0.3756988254910037,1.6328225811020818
g-a712031e7959d564,COBYLA,O0,3,7,1.3770771751546234,1.3770771751546234,0.01656917352187337,0.005893592690568216,0.6671436692072873,1.0081811910514098
g-a712031e7959d564,COBYLA,O3,2,7,0.7454897922043714,1.8262324814627715,0.032874632864056556,0.01041184298865695,0.3899412636957095,1.8788224893039889
g-a712031e7959d564,COBYLA,O3,3,7,0.5650365930336868,1.7895753210534397,0.04891347383304009,0.024783238594397367,0.5429477485179007,2.0410354319675603
