task_id,graph_id,optimizer,objective,seed,embedded_p2_objective,terminal_p3_objective,signed_nested_regret,embedding_identity_error,embedding_identity_pass,nested_pass,nested_failure,embedded_p2_mean_energy,embedded_p2_P_feas,embedded_p2_G_feas,terminal_p3_mean_energy,terminal_p3_P_feas,terminal_p3_G_feas,actual_nfev,scipy_reported_nfev,nit,termination_reason,wall_time_s
task-v2-b5e00db3fe1a,g-3ff7063ef9ea5cfb,Nelder-Mead,O3,1103,1.0742084098886682,0.8353162832375258,-0.23889212665114234,0.0,True,True,False,2.2847418183687465,0.002675656418625814,1.289667766051881,1.6795790036825093,0.02303822625967758,2.2246864603761853,120,120.0,72,EVALUATION_BUDGET_EXHAUSTED,7.031840565614402
task-v2-f4789f22d2c1,g-6aa6775bed3bc2cc,SLSQP,O3,1103,0.8145666699168986,0.8345822846444778,0.02001561472757918,0.0,True,False,True,1.6484142977097362,0.032483015269632994,0.9198963015885807,1.6678732813031558,0.030459195569978094,0.891958394708037,120,,16,EVALUATION_BUDGET_EXHAUSTED,0.11129594128578901
task-v2-69173fedcdae,g-8a16a856f5377a40,COBYLA,O0,1103,1.6814935516636895,1.3593273044086909,-0.32216624725499865,0.0,True,True,False,1.6814935516636895,0.015167521728879047,1.2492065294010815,1.3593273044086909,0.006099934235672121,0.8536170564579929,120,120.0,90,EVALUATION_BUDGET_EXHAUSTED,0.6908630058169365
task-v2-07b8f456a957,g-3ff7063ef9ea5cfb,Nelder-Mead,O3,1103,1.0500213251120698,0.8999847012799618,-0.15003662383210803,0.0,True,True,False,1.9819746346426952,0.007348013585222373,1.7795598942026054,1.5145870366614491,0.01576871944995728,2.111186370099647,120,120.0,73,EVALUATION_BUDGET_EXHAUSTED,5.747942739166319
task-v2-b5e00db3fe1a,g-3ff7063ef9ea5cfb,SLSQP,O0,2207,1.3030638582569578,1.3113914595176253,0.00832760126066745,2.220446049250313e-16,True,False,True,1.3030638582569578,0.011947144744201402,1.9395015465519818,1.3113914595176253,0.006040991571036197,1.6433456509454543,120,,16,EVALUATION_BUDGET_EXHAUSTED,6.514790318906307
task-v2-eb1005d46905,g-8a16a856f5377a40,COBYLA,O0,2207,1.543475767332517,1.2863456020307023,-0.25713016530181476,0.0,True,True,False,1.543475767332517,0.028699100841128096,1.7691982425620487,1.2863456020307023,0.015626820987819683,1.5052005894483202,120,120.0,90,EVALUATION_BUDGET_EXHAUSTED,0.640231316909194
task-v2-526a936f38d9,g-e0c69f84d376b633,Nelder-Mead,O3,2207,0.8014904029895717,0.9581373189897361,0.15664691600016434,0.0,True,False,True,1.8071891856166182,0.026596639013827444,3.5423366851002425,1.8980211286322581,0.009829905604027411,3.110059273636922,120,120.0,75,EVALUATION_BUDGET_EXHAUSTED,138.70079526863992
task-v2-89b7591232ff,g-e0c69f84d376b633,Nelder-Mead,O3,3301,0.6744365973952119,0.8138699168177667,0.13943331942255477,0.0,True,False,True,1.7658554141605984,0.03941263298558815,3.5370541163811646,1.5476717333182495,0.023505770963541332,3.312593167373192,120,120.0,72,EVALUATION_BUDGET_EXHAUSTED,138.5093562854454
task-v2-eb1005d46905,g-8a16a856f5377a40,SLSQP,O3,3301,0.34306860101773057,0.06376803262897811,-0.27930056838875245,0.0,True,True,False,1.4961829731392138,0.07308868974177213,2.1751801286764954,1.9053319291250705,0.10166462030860726,2.3184997953149415,120,,15,EVALUATION_BUDGET_EXHAUSTED,0.40197339188307524
task-v2-ce7fc44fc7b5,g-548c8c6335dd2a2e,Nelder-Mead,O3,2207,0.5192897194025934,0.023255813953488372,-0.49603390544910503,0.0,True,True,False,1.9882411633179613,0.061492568364068724,0.41891134755731024,1.463810723876148,0.2479356844072513,1.0244277524901204,120,120.0,71,EVALUATION_BUDGET_EXHAUSTED,0.04895481839776039
task-v2-5f165c277bb9,g-e0c69f84d376b633,SLSQP,O3,1103,0.7421847927873948,2.356059654504552,1.6138748617171572,0.0,True,False,True,1.429320635861732,0.031155593623671016,3.31001596113114,2.8440068736602786,8.288122004454102e-06,-0.2650639339404911,120,,16,EVALUATION_BUDGET_EXHAUSTED,117.60973559040576
task-v2-526a936f38d9,g-e0c69f84d376b633,Nelder-Mead,O0,1103,1.3520510743243364,1.4904111522641752,0.13836007793983884,3.3306690738754696e-15,True,False,True,1.3520510743243364,0.002872031335718549,2.575699100317348,1.4904111522641752,0.002234458802807728,2.4666822781781246,120,120.0,74,EVALUATION_BUDGET_EXHAUSTED,131.70062031876296
