evidence_label,task_id,base_graph_id,base_instance_id,size_stratum,stress_level,n_edges,dilution_score,objective_id,shots,replicate,sampling_seed,p_feas_estimate,p_opt_estimate,mean_energy_estimate,cvar_0_10_estimate,p_feas_exact,p_opt_exact,mean_energy_exact,cvar_0_10_exact,p_feas_error,p_opt_error,mean_energy_error,cvar_0_10_error
POSTHOC_FINITE_SHOT_ENDPOINT_ROBUSTNESS,task-v2-9065c1a0a08c,g-a529fbde22ed09f4,v2-S1-b002-g-a529fbde22ed09f4,S1,D2,7,1.806179973983887,O0,100000,18,7044159853723922112,0.19032,0.15038,1.4026972703874923,0.05232558139534883,0.19278897029895878,0.15198413665458926,1.400428090656535,0.05232558139534884,-0.002468970298958789,-0.00160413665458925,0.0022691797309573047,-6.938893903907228e-18
POSTHOC_FINITE_SHOT_ENDPOINT_ROBUSTNESS,task-v2-9065c1a0a08c,g-a529fbde22ed09f4,v2-S1-b002-g-a529fbde22ed09f4,S1,D2,7,1.806179973983887,O0,100000,19,10856335520088385829,0.19469,0.1536,1.3945436816293155,0.05232558139534883,0.19278897029895878,0.15198413665458926,1.400428090656535,0.05232558139534884,0.0019010297010412236,0.001615863345410723,-0.005884409027219428,-6.938893903907228e-18
POSTHOC_FINITE_SHOT_ENDPOINT_ROBUSTNESS,task-v2-9065c1a0a08c,g-a529fbde22ed09f4,v2-S1-b002-g-a529fbde22ed09f4,S1,D2,7,1.806179973983887,O3,1000,0,3372728084527887615,0.152,0.124,1.5409629559221911,0.05232558139534881,0.1741986138807083,0.142461176844699,1.4881575569620957,0.05232558139534884,-0.02219861388070829,-0.018461176844699,0.052805398960095395,-2.7755575615628914e-17
POSTHOC_FINITE_SHOT_ENDPOINT_ROBUSTNESS,task-v2-9065c1a0a08c,g-a529fbde22ed09f4,v2-S1-b002-g-a529fbde22ed09f4,S1,D2,7,1.806179973983887,O3,1000,1,11601576083184513032,0.181,0.152,1.451801202413933,0.05232558139534881,0.1741986138807083,0.142461176844699,1.4881575569620957,0.05232558139534884,0.006801386119291708,0.009538823155300996,-0.03635635454816266,-2.7755575615628914e-17
POSTHOC_FINITE_SHOT_ENDPOINT_ROBUSTNESS,task-v2-9065c1a0a08c,g-a529fbde22ed09f4,v2-S1-b002-g-a529fbde22ed09f4,S1,D2,7,1.806179973983887,O3,1000,2,14727745259250018680,0.166,0.142,1.5079529272396435,0.05232558139534881,0.1741986138807083,0.142461176844699,1.4881575569620957,0.05232558139534884,-0.008198613880708278,-0.00046117684469901277,0.01979537027754774,-2.7755575615628914e-17
POSTHOC_FINITE_SHOT_ENDPOINT_ROBUSTNESS,task-v2-9065c1a0a08c,g-a529fbde22ed09f4,v2-S1-b002-g-a529fbde22ed09f4,S1,D2,7,1.806179973983887,O3,1000,3,77571325712029754,0.172,0.142,1.4937394526435186,0.05232558139534881,0.1741986138807083,0.142461176844699,1.4881575569620957,0.05232558139534884,-0.0021986138807083,-0.00046117684469901277,0.005581895681422866,-2.7755575615628914e-17
POSTHOC_FINITE_SHOT_ENDPOINT_ROBUSTNESS,task-v2-9065c1a0a08c,g-a529fbde22ed09f4,v2-S1-b002-g-a529fbde22ed09f4,S1,D2,7,1.806179973983887,O3,1000,4,12330641392211077606,0.18,0.153,1.4842767740257337,0.05232558139534881,0.1741986138807083,0.142461176844699,1.4881575569620957,0.05232558139534884,0.005801386119291707,0.010538823155300997,-0.0038807829363620705,-2.7755575615628914e-17
POSTHOC_FINITE_SHOT_ENDPOINT_ROBUSTNESS,task-v2-9065c1a0a08c,g-a529fbde22ed09f4,v2-S1-b002-g-a529fbde22ed09f4,S1,D2,7,1.806179973983887,O3,1000,5,6574160540816215900,0.147,0.132,1.5127399699083404,0.05232558139534881,0.1741986138807083,0.142461176844699,1.4881575569620957,0.05232558139534884,-0.027198613880708294,-0.010461176844698994,0.024582412946244636,-2.7755575615628914e-17
POSTHOC_FINITE_SHOT_ENDPOINT_ROBUSTNESS,task-v2-9065c1a0a08c,g-a529fbde22ed09f4,v2-S1-b002-g-a529fbde22ed09f4,S1,D2,7,1.806179973983887,O3,1000,6,11529972606507757243,0.17,0.146,1.486192617377155,0.05232558139534881,0.1741986138807083,0.142461176844699,1.4881575569620957,0.05232558139534884,-0.004198613880708274,0.003538823155300991,-0.001964939584940817,-2.7755575615628914e-17
POSTHOC_FINITE_SHOT_ENDPOINT_ROBUSTNESS,task-v2-9065c1a0a08c,g-a529fbde22ed09f4,v2-S1-b002-g-a529fbde22ed09f4,S1,D2,7,1.806179973983887,O3,1000,7,17040140641791688265,0.186,0.154,1.4436401113495345,0.05232558139534881,0.1741986138807083,0.142461176844699,1.4881575569620957,0.05232558139534884,0.011801386119291712,0.011538823155300998,-0.04451744561256121,-2.7755575615628914e-17
