record_type,scope,objective_id,shots,metric,n_estimates,n_tasks,bias,mae,standard_deviation,rmse,error_p05,error_p50,error_p95,estimate_p05,estimate_p50,estimate_p95,relative_bias,relative_mae,relative_rmse,ordering_agreement_probability,ordering_comparison_count,exact_tie_count
ESTIMATOR_ERROR,S1,O0,10000,p_opt,180,9,0.00034986472001855316,0.0024683465813118083,0.003137711615739034,0.003148482771176172,-0.0048981895110271805,0.0003102806883383824,0.005710559821192002,0.036289999999999996,0.0924,0.15272,0.0033289440249880614,0.029599645288164358,0.03776141778539126,,0,0
ESTIMATOR_ERROR,S1,O0,10000,mean_energy,180,9,-0.000481571059794545,0.006297806996086704,0.00802306473811361,0.00801522736843056,-0.015101569943486836,0.00041259780632929566,0.011615433093060379,1.0145453822353465,1.4034576214851193,1.76517922969082,-0.0003924562910685505,0.004557488967909478,0.005785621363287595,,0,0
ESTIMATOR_ERROR,S1,O0,10000,cvar_0.10,180,9,-0.0006714904144322367,0.0060668208476533205,0.015229605790659321,0.015202079838017343,-0.03163253705351885,-1.3877787807814457e-17,0.024287639975397624,0.052325581395348826,0.08720930232558138,0.3191939378927573,0.0012950196209293545,0.03408392886885384,0.09234208821297701,,0,0
ESTIMATOR_ERROR,S1,O0,100000,p_feas,180,9,0.00011419603380249797,0.0009452550239442291,0.0011655305184732712,0.001167884889836918,-0.0016281587448632637,0.0001437676981082131,0.0019629777082145784,0.0774875,0.11201,0.3050995,0.0012410616025834021,0.006506209468906732,0.008302377602771345,,0,0
ESTIMATOR_ERROR,S1,O0,100000,p_opt,180,9,0.00011625360890744256,0.0007518264410607326,0.000930976433987981,0.0009356371770672167,-0.00132822131894604,0.0001287822723949339,0.0016882919232217364,0.036601499999999995,0.092725,0.15207500000000002,0.0013283986831563932,0.009255680922151212,0.011687551702633874,,0,0
ESTIMATOR_ERROR,S1,O0,100000,mean_energy,180,9,-0.00011521971694074231,0.002105326292179187,0.0026232841206266008,0.002618523236640914,-0.004700133337420698,-0.00015264797549552345,0.004264213232370672,1.0154231624634755,1.3996575263722277,1.763178856007707,-6.159180759022472e-05,0.0015467387813403676,0.0019417026806079628,,0,0
ESTIMATOR_ERROR,S1,O0,100000,cvar_0.10,180,9,-0.0002916753427875977,0.0017314938201621528,0.004559984306189799,0.004556644837316072,-0.00738193434838093,-6.938893903907228e-18,0.005748575556188129,0.05232558139534883,0.08720930232558141,0.3282573768872308,-0.0013281231815084004,0.00984918417474768,0.026770275129925223,,0,0
ESTIMATOR_ERROR,S1,O3,1000,p_feas,180,9,-0.0020684776840634712,0.010030407406152455,0.012261698299113735,0.012401313298341926,-0.022082276815572087,-0.002298076643292235,0.01742516344703803,0.08685,0.1315,0.282,-0.013479389499189955,0.0676769108495093,0.08605329783828305,,0,0
ESTIMATOR_ERROR,S1,O3,1000,p_opt,180,9,-0.0006419427855417418,0.007733163853171223,0.009578843441684281,0.009573744640060874,-0.017411352466619637,-0.0002853533668141159,0.015598825496801003,0.053,0.098,0.146,-0.00580129628671507,0.08369107608958423,0.10341407201986931,,0,0
ESTIMATOR_ERROR,S1,O3,1000,mean_energy,180,9,0.003237257556949017,0.020622559864053258,0.026084004216489376,0.02621212028454784,-0.03578053688568028,0.0027141134998807104,0.04699718451520768,1.17377016944338,1.5161321620164054,1.8322525769264346,0.00247254603224532,0.014278504093178488,0.01851640886813949,,0,0
ESTIMATOR_ERROR,S1,O3,1000,cvar_0.10,180,9,0.013684116223211735,0.017284397513731037,0.04326533640242815,0.04526306425372312,-0.002016326512834971,6.938893903907228e-18,0.10971112810843729,0.05232558139534881,0.08517441860465116,0.23489402516926478,0.1341517283473059,0.15642953451063252,0.40258491595738993,,0,0
ESTIMATOR_ERROR,S1,O3,10000,p_feas,180,9,5.985564926986104e-05,0.0025830635175310675,0.0032842425066557115,0.003275653818185465,-0.004978980516692349,-2.680787537506779e-05,0.005342723184427913,0.091785,0.12695,0.28304499999999994,3.146851697273939e-05,0.017232644185900724,0.0222548721090812,,0,0
ESTIMATOR_ERROR,S1,O3,10000,p_opt,180,9,7.501658902703229e-06,0.0020687246489405485,0.0026695715511805846,0.00266215631610683,-0.004245537118273832,-0.000132687903113049,0.004476065613228312,0.055689999999999996,0.1012,0.142125,9.019612840079975e-05,0.022767647456178538,0.02995926185961005,,0,0
ESTIMATOR_ERROR,S1,O3,10000,mean_energy,180,9,-0.000367165959529926,0.005796606024894001,0.00745629478927078,0.0074446137787879275,-0.012415033098856786,-0.0006695479034443119,0.012428623442994008,1.181252654851109,1.50723234847502,1.8173821315697587,-0.00028960823058617907,0.003914884749065808,0.005049032885967187,,0,0
ESTIMATOR_ERROR,S1,O3,10000,cvar_0.10,180,9,0.0007697397514332766,0.0033704206306374006,0.010652761648653987,0.010650980151634331,-0.0010773730244628616,-1.3877787807814457e-17,0.012306942075281197,0.052325581395348826,0.08255813953488372,0.17961881499496557,0.008903688218229453,0.024144825886352007,0.07628748310221466,,0,0
ESTIMATOR_ERROR,S1,O3,100000,p_feas,180,9,-3.131101739680652e-05,0.0008337982707908473,0.0010851824921034826,0.0010826167751613442,-0.0019521746843950388,5.79142371552599e-07,0.0018273134846945763,0.09196549999999999,0.12715500000000002,0.2839705,-0.0005486229491367366,0.005546474197708314,0.007434194698444432,,0,0
ESTIMATOR_ERROR,S1,O3,100000,p_opt,180,9,4.111277001381438e-05,0.0007049983071316934,0.0009217280796877477,0.0009200831533703538,-0.0015523524666196378,1.4368154395420774e-05,0.0015346342518634526,0.056186,0.10133,0.1425325,0.0007430867846654139,0.007781771855471916,0.010410226687202546,,0,0
ESTIMATOR_ERROR,S1,O3,100000,mean_energy,180,9,1.1229241085650464e-05,0.0019405387801884597,0.0025436807799094716,0.002536630014144355,-0.004256548577553987,-7.404669455879365e-05,0.004341560612407022,1.1855562704592053,1.505017933805385,1.8203501148609584,-7.617975758424313e-06,0.0013241146340857858,0.0017510150068783684,,0,0
ESTIMATOR_ERROR,S1,O3,100000,cvar_0.10,180,9,0.0002626498063712179,0.000809465661568912,0.002840266424034716,0.0028445177067200917,-0.0004085075993385513,-6.938893903907228e-18,0.0016292799582867175,0.05232558139534883,0.08248691860465115,0.17784388135801837,0.0017275849659493026,0.005065583180270183,0.01701079996145043,,0,0
ESTIMATOR_ERROR,S2,O0,1000,p_feas,240,12,9.370962540400643e-05,0.00525421816708524,0.007214162871942126,0.007199727552394338,-0.011001526914644707,0.00010620928107580793,0.011838280075678132,0.004,0.065,0.156,0.002699915134219124,0.13801526985333912,0.21662454505918843,,0,0
ESTIMATOR_ERROR,S2,O0,1000,p_opt,240,12,0.00012315522324752047,0.00350376113588292,0.004733531576613811,0.004725264936932268,-0.008290036104049518,6.834843435007433e-05,0.0081161670781392,0.003,0.032,0.052,0.0035833161767510075,0.1723810431688983,0.2496969036030994,,0,0
