task_id,base_graph_id,base_instance_id,size_stratum,stress_level,dilution_score,feasible_state_fraction,log_feasibility_gain_O0,log_feasibility_gain_O2,log_feasibility_gain_O3,p_feas_O0,p_feas_O2,p_feas_O3,p_opt_O0,p_opt_O2,p_opt_O3,p_opt_given_feasible_O0,p_opt_given_feasible_O2,p_opt_given_feasible_O3,expected_route_cost_given_feasible_O0,expected_route_cost_given_feasible_O2,expected_route_cost_given_feasible_O3,mean_energy_O0,mean_energy_O2,mean_energy_O3,objective_improvement_O0,objective_improvement_O2,objective_improvement_O3,p_feas_change_O0,p_feas_change_O2,p_feas_change_O3,p_opt_change_O0,p_opt_change_O2,p_opt_change_O3,paired_analysis_eligible,Delta_CVAR_MEAN,Delta_CVAR_CAPACITY,capacity_gap,cvar_residual_gap,stable_gap_closure_eligible,gap_closure,O2_greater_than_O0,O3_greater_than_O0,O3_at_least_O2,O3_within_NI_of_O2,O3_popt_vs_O0,O3_both_pfeas_and_popt_greater,O3_feasibility_up_conditional_quality_down
task-v2-41fa72c23442,g-f6afb3a3727100d3,v2-S4-b003-g-f6afb3a3727100d3,S4,D3,4.339358675904037,4.57763671875e-05,0.917716093223374,2.723276147285516,2.504242151701862,0.0003787541650255,0.0242056902431396,0.0146178491487042,6.834656123880974e-05,0.0079602424077246,0.0054613193284896,0.1804509825897405,0.3288583109081439,0.3736062175038749,10.70556140683953,11.96165764210657,11.84431884930136,1.3475234507781668,1.6442275339380903,1.6213221507872506,0.1170007442175369,0.0237908522892831,0.1471834466699476,-3.608378883099094e-05,0.0237908522892831,0.0142030111948477,3.763296284150575e-05,0.0079295288093273,0.0054306057300923,True,1.586526058478488,-0.21903399558365422,1.8055600540621422,0.21903399558365422,True,0.8786891662280231,True,True,False,False,WIN,True,False
task-v2-4507b50770a7,g-686fdbb6f8f550f1,v2-S2-b003-g-686fdbb6f8f550f1,S2,D3,2.533178701920149,0.0029296875,1.471774420516321,1.5793065048073631,1.577362240654769,0.0868151897070884,0.1112058932526735,0.1107091557024963,0.0259695124123756,0.0354280820939532,0.0365573811733263,0.2991355833005251,0.3185809767604339,0.3302110014420609,20.92131466696397,20.769034938317915,20.60910631299383,1.55613895052629,1.6587461531384726,1.6379437244689097,0.1768561772128856,0.076497905470279,0.6826351467447741,0.0521072019246939,0.076497905470279,0.0760011679201018,0.013581313755291,0.0230398834368687,0.0241691825162417,True,0.10558782013844792,-0.0019442641525941884,0.10753208429104211,0.0019442641525941884,True,0.9819192181997336,True,True,False,True,WIN,True,False
task-v2-45bf90adfb6d,g-28cd30a80498cca2,v2-S4-b002-g-28cd30a80498cca2,S4,D4,4.214419939295737,6.103515625e-05,2.299856976866577,2.394614243944779,2.5803083991793976,0.0121741048432134,0.015142385717688,0.0232214032305037,0.0026528981917863,0.0036323091171867,0.0082332827752246,0.2179132039646597,0.2398769378159333,0.3545557817285286,22.665910780098603,22.5794008455683,21.73903558921252,1.332638750029695,1.4358669230285015,1.655271110999836,0.1119000281054822,0.0106582992978164,0.157832343021731,0.0076900184233418,0.0106582992978165,0.0187373168106322,0.0017033239040458,0.0026827348294462,0.0072837084874841,True,0.2804514223128205,0.18569415523461874,0.09475726707820176,-0.18569415523461874,True,2.959682470383703,True,True,True,True,WIN,True,False
task-v2-51e0b98b7ef5,g-2fa0de1665fa7816,v2-S4-b004-g-2fa0de1665fa7816,S4,D3,4.339358675904037,4.57763671875e-05,2.486605201747888,2.6539007402227384,2.652340439426609,0.0140361023323054,0.0206320349265975,0.0205580426881017,0.0067374394176178,0.0100910410280943,0.0101660535096689,0.4800078581723482,0.4890957709210544,0.4945049323957605,14.173049740895848,13.921059697370625,13.881331307698716,1.4395104065335589,1.5561716242355583,1.53924073117925,0.1257191223575045,0.0149752283160741,0.1459550686751093,0.0083792957217819,0.014975228316074,0.0149012360775782,0.0040147327449967,0.0073683343554732,0.0074433468370477,True,0.1657352376787209,-0.0015603007961293436,0.16729553847485024,0.0015603007961293436,True,0.9906733866882893,True,True,False,True,WIN,True,False
task-v2-59e59ed3c03f,g-686fdbb6f8f550f1,v2-S2-b003-g-686fdbb6f8f550f1,S2,D4,2.4082399653118496,0.00390625,1.5545199438984143,1.592303592719997,1.587042642812699,0.1400489891758109,0.1527789874550189,0.1509394202303467,0.0494380719018163,0.0517623294600455,0.0530322723740314,0.3530055603596971,0.3388052920254194,0.3513480593280372,19.132598124124744,19.291621111195887,19.20530040242048,1.2227470583232154,1.2531940834042592,1.2494717383381773,0.0101811367154904,0.0141795682479346,0.0029642449326683,0.0014495699687266,0.0141795682479346,0.0123400010232624,0.0008642286428801,0.0031884862011093,0.0044584291150951,True,0.03252269891428461,-0.005260949907298196,0.037783648821582805,0.005260949907298196,True,0.8607612003768934,True,True,False,True,WIN,True,True
task-v2-59fd840ba77c,g-64377640089a831f,v2-S3-b004-g-64377640089a831f,S3,D1,3.9133899436317554,0.0001220703125,1.8109605425527355,2.0749802436901748,2.053689282495032,0.0078989724467791,0.0145074238648161,0.0138133602684538,0.0078989724467791,0.0145074238648161,0.0138133602684538,1.0,1.0,1.0,15.0,15.0,15.0,1.3606797085515814,1.545040379273484,1.4857051384455124,0.0920975940975659,0.0114050416536053,0.0884384808873152,0.0047965902355683,0.0114050416536052,0.0107109780572429,0.0047965902355683,0.0114050416536052,0.0107109780572429,True,0.2427287399422966,-0.02129096119514262,0.2640197011374392,0.02129096119514262,True,0.9193584376339426,True,True,False,True,WIN,True,False
task-v2-5ae92cb9d249,g-4a80ed839b63ddd7,v2-S5-b002-g-4a80ed839b63ddd7,S5,D1,5.719569917615643,1.9073486328125e-06,3.2010139857438524,3.866906778905666,3.865658359517811,0.0030300100440459,0.0140390222161618,0.0139987237056397,0.0030300100440459,0.0140390222161618,0.0139987237056397,1.0,1.0,1.0,10.0,10.000000000000002,10.0,1.4074050959911628,1.8849494420875184,1.869810999308158,0.2990381717630845,0.0128460607222885,0.1198114643042971,0.0018370485501726,0.0128460607222885,0.0128057622117664,0.0018370485501726,0.0128460607222885,0.0128057622117664,True,0.6646443737739585,-0.0012484193878550265,0.6658927931618135,0.0012484193878550265,True,0.9981251946249077,True,True,False,True,WIN,True,False
task-v2-5da0eece9ed4,g-fc8e50acd167f0aa,v2-S3-b002-g-fc8e50acd167f0aa,S3,D4,3.311329952303793,0.00048828125,2.0351931347941665,2.1564733871017348,2.1597064321397244,0.0529496608201287,0.0700073171570624,0.0705304215936957,0.0109909848761866,0.0188910019968759,0.0194174135873188,0.2075742262735789,0.2698432501633177,0.2753055085814826,14.951075160247555,14.377929433322542,14.328477882025428,1.2782868011258546,1.438143282386585,1.4375345460318414,0.0927951490527267,0.0426194911122141,0.4231739546044648,0.0255618347752805,0.0426194911122142,0.0431425955488475,0.0060575362362885,0.0139575533569777,0.0144839649474206,True,0.12451329734555783,0.0032330450379896014,0.12128025230756823,-0.0032330450379896014,True,1.0266576377973766,True,True,True,True,WIN,True,False
task-v2-5e0ea2a0e332,g-c45ecbe0242c6377,v2-S1-b003-g-c45ecbe0242c6377,S1,D2,1.806179973983887,0.015625,0.8245684068836241,0.8831428196376244,0.9086988717663008,0.1043250094924206,0.1193885961904862,0.1266248365529619,0.0363442874559176,0.0515087062276845,0.0612576175762859,0.3483755969229802,0.4314374058431985,0.4837725302860657,16.95487320923106,16.705687782470402,16.548682409141804,1.5479894453101248,1.597268055019063,1.6988253159520692,0.000811238474301,0.0191775195637503,0.0048341417964339,0.0041139328656848,0.0191775195637503,0.0264137599262261,0.0028024161791865,0.0179668349509535,0.0277157462995548,True,0.08413046488267673,0.0255560521286764,0.05857441275400033,-0.0255560521286764,True,1.4363006119413644,True,True,True,True,WIN,True,False
task-v2-607a9c50d675,g-fc8e50acd167f0aa,v2-S3-b002-g-fc8e50acd167f0aa,S3,D2,3.612359947967774,0.000244140625,2.130723512939852,2.435900516329715,2.4441740570900183,0.032988575694409,0.0666101740358383,0.0678912975591755,0.0152581720766882,0.0357097669156057,0.0369113984662201,0.4625289742131622,0.5361007898942399,0.5436837973828285,16.68735512893419,16.319496050528798,16.281581013085855,1.4293999808795632,1.5458378163180806,1.5411917903278218,0.0377409742180738,0.0405689586326508,0.4081757343781433,0.0069473602912217,0.0405689586326509,0.0418500821559882,0.0052284050064569,0.0256799998453744,0.0268816313959888,True,0.31345054415016627,0.008273540760303177,0.3051770033898631,-0.008273540760303177,True,1.027110629793208,True,True,True,True,WIN,True,False
task-v2-628efc62dabb,g-e23fad4558949e26,v2-S1-b004-g-e23fad4558949e26,S1,D1,2.1072099696478683,0.0078125,1.120296413342129,1.0632342697035202,1.071152075847447,0.1030591232989729,0.0903700036986988,0.092032687903113,0.1030591232989729,0.0903700036986988,0.092032687903113,1.0,1.0,1.0,17.0,17.0,17.0,1.3011478758567436,1.6024037493367114,1.5908511757895765,0.3333199472490293,0.0487042376277826,0.495279466756002,0.0613933572280567,0.0487042376277826,0.0503669218321968,0.0613933572280567,0.0487042376277826,0.0503669218321968,True,-0.04914433749468183,0.007917806143926898,-0.05706214363860873,-0.007917806143926898,False,,False,False,True,True,LOSS,False,False
task-v2-6372d6a2314d,g-f6afb3a3727100d3,v2-S4-b003-g-f6afb3a3727100d3,S4,D6,3.9133899436317554,0.0001220703125,1.813120469196226,2.478926226033693,2.651568275017019,0.0079383551660959,0.0367736113989998,0.0547240626456142,0.0014599529814214,0.0073765790869898,0.0096245515658532,0.1839112701402918,0.200594361183423,0.1758742151177722,14.6011855260537,14.645898010915316,14.84924824391872,1.4523430751754522,1.4867276838573114,1.5828721497536211,4.259704109443874e-07,0.0288393571631714,0.4602527244734152,4.100930267482775e-06,0.0288393571631714,0.0467898084097858,5.30700578450392e-07,0.0059171568061468,0.0081651292850102,True,0.8384478058207931,0.17264204898332602,0.6658057568374671,-0.17264204898332602,True,1.259297921669173,True,True,True,True,WIN,True,True
task-v2-66ecfca58e61,g-b9a8415aa1799cc5,v2-S5-b003-g-b9a8415aa1799cc5,S5,D7,4.719569917615643,1.9073486328125e-05,2.726379807686429,2.847804567799362,2.901776008803938,0.0101580393316176,0.0134349065578166,0.015212692653891,0.002388246036773,0.0028523762730407,0.0035489787540075,0.2351089574283728,0.212310838245557,0.2332906366250557,12.557261922148555,12.686900184456375,12.803657947112006,1.3379414798720726,1.3979033724694825,1.4207468978837927,0.2309586925825233,0.0078499931660522,0.1166920959276714,0.0045731259398532,0.0078499931660522,0.0096277792621267,0.0011827547369697,0.0016468849732375,0.0023434874542043,True,0.17539620111750898,0.05397144100457574,0.12142476011293324,-0.05397144100457574,True,1.4444846418010515,True,True,True,True,WIN,True,True
