run_id,task_id,base_graph_id,base_instance_id,size_stratum,stress_level,dilution_score,p_feas,p_opt,p_opt_given_feasible,Delta_CVAR_MEAN,cvar_alpha,cvar_value,cvar_cutoff_energy,cvar_tail_feasible_mass,cvar_tail_fully_feasible,p_feas_at_least_alpha,cvar_tail_condition_pass
phase2-p3-841ec2f9bbeb15a71182,task-v2-747868754e4a,g-f0c91af33253395a,v2-S3-b003-g-f0c91af33253395a,S3,D6,3.135238693248112,0.1292500902176831,0.035901861623978,0.2777704956608706,0.05572625320180036,0.1,0.0548205912131297,0.0872093023255814,0.1,True,True,True
phase2-p3-7786b3ad9eb0277ba8a1,task-v2-ba2b70f61e3b,g-f0c91af33253395a,v2-S3-b003-g-f0c91af33253395a,S3,D7,3.0682919036174985,0.1444120399988536,0.0686908150225474,0.475658504810906,0.10392773481622308,0.1,0.0465288939718894,0.063953488372093,0.1,True,True,True
phase2-p3-28377c52fd89ff49dfc4,task-v2-59fd840ba77c,g-64377640089a831f,v2-S3-b004-g-64377640089a831f,S3,D1,3.9133899436317554,0.0138133602684538,0.0138133602684538,1.0,0.2427287399422966,0.1,0.9438042740004394,1.0973837209302326,0.0138133602684538,False,False,True
phase2-p3-8c27eecc8dca34218983,task-v2-87f0030ee4db,g-64377640089a831f,v2-S3-b004-g-64377640089a831f,S3,D2,3.612359947967774,0.029699090298276,0.0156856488718362,0.5281525027972579,0.2689363331079062,0.1,0.7899138332449929,1.0973837209302326,0.029699090298276,False,False,True
phase2-p3-ce10c0a8b42ad6facc8e,task-v2-835da0eb601e,g-64377640089a831f,v2-S3-b004-g-64377640089a831f,S3,D3,3.436268688912093,0.051609814728607,0.0181957543157109,0.3525638371576082,0.3095181750928251,0.1,0.5796374716379105,1.1031976744186047,0.051609814728607,False,False,True
phase2-p3-14a5d6d32affe387cfed,task-v2-404bfd76cc2e,g-64377640089a831f,v2-S3-b004-g-64377640089a831f,S3,D4,3.311329952303793,0.0643124298872628,0.0171042013961553,0.2659548306002179,0.1781402827255294,0.1,0.4527972772108611,1.0973837209302326,0.0643124298872629,False,False,True
phase2-p3-22b22fb5946bbbf90e83,task-v2-e1d0a1367c62,g-64377640089a831f,v2-S3-b004-g-64377640089a831f,S3,D5,3.2144199392957367,0.0805813149676815,0.0174411184150669,0.2164412236516864,0.22075072335766843,0.1,0.2895643280459304,1.0952041513177873,0.0805813149676813,False,False,True
phase2-p3-a43b35b4e783848680c1,task-v2-7eefc621bd20,g-64377640089a831f,v2-S3-b004-g-64377640089a831f,S3,D6,3.135238693248112,0.0959841295958866,0.0180486997950808,0.1880383754175784,0.14313055060987923,0.1,0.1351963086257163,1.0915697674418603,0.0959841295958868,False,False,True
phase2-p3-a94b78b7eec589c422fe,task-v2-8d35df6592f7,g-64377640089a831f,v2-S3-b004-g-64377640089a831f,S3,D7,3.0682919036174985,0.1101396016413802,0.0171826009709854,0.1560074733784926,0.07567593940758499,0.1,0.0944785728124497,0.1046511627906976,0.1,True,True,True
phase2-p3-794c081e7946d8c2b3b0,task-v2-00b7b12999ba,g-28cd30a80498cca2,v2-S4-b002-g-28cd30a80498cca2,S4,D1,4.816479930623699,0.0097302219671669,0.0097302219671669,1.0,0.6391203843190407,0.1,0.983702276895243,1.093329253365973,0.0097302219671669,False,False,True
phase2-p3-68963362cb6ed56e292c,task-v2-26d674ac9727,g-28cd30a80498cca2,v2-S4-b002-g-28cd30a80498cca2,S4,D2,4.515449934959718,0.0086378207683745,0.0053913434998882,0.6241555184413503,0.15646228602451107,0.1,0.9840848253929012,1.0758873929008568,0.0086378207683745,False,False,True
phase2-p3-e1f49837f5e4dbf5f442,task-v2-d4d85eef1fda,g-28cd30a80498cca2,v2-S4-b002-g-28cd30a80498cca2,S4,D3,4.339358675904037,0.0238136239124812,0.0094298014388256,0.3959834703647644,0.43686588422185313,0.1,0.8769772878156538,1.1401468788249691,0.0238136239124812,False,False,True
phase2-p3-90c27386c918475c0d43,task-v2-45bf90adfb6d,g-28cd30a80498cca2,v2-S4-b002-g-28cd30a80498cca2,S4,D4,4.214419939295737,0.0232214032305037,0.0082332827752246,0.3545557817285286,0.2804514223128205,0.1,0.8595914374337656,1.1049571603427173,0.0232214032305037,False,False,True
phase2-p3-db998e07053da05bbf5a,task-v2-980575647e27,g-28cd30a80498cca2,v2-S4-b002-g-28cd30a80498cca2,S4,D5,4.11750992628768,0.0372275625263484,0.0128755098194078,0.3458595982558612,0.4153772253835952,0.1,0.7252696358257968,1.1107711138310894,0.0372275625263483,False,False,True
phase2-p3-db2bdd3327e72c9ac2d8,task-v2-36c69f7819b3,g-28cd30a80498cca2,v2-S4-b002-g-28cd30a80498cca2,S4,D6,4.038328680240055,0.0350162259634674,0.0070164178999025,0.2003761886624446,0.23494974134525126,0.1,0.7561038453053404,1.1282129742962057,0.0350162259634674,False,False,True
phase2-p3-1d75b71d0caf0d0a90e1,task-v2-05a98ad7eaff,g-28cd30a80498cca2,v2-S4-b002-g-28cd30a80498cca2,S4,D7,3.9133899436317554,0.047011107922378,0.0085539898935465,0.1819567815264084,0.6841460455890129,0.1,0.6299612012388609,1.1049571603427173,0.0470111079223781,False,False,True
phase2-p3-86c1ca31b9427a5789e7,task-v2-9e1a55247e55,g-f6afb3a3727100d3,v2-S4-b003-g-f6afb3a3727100d3,S4,D1,4.816479930623699,0.0092463929238589,0.0092463929238589,1.0,1.9380934890622517,0.1,0.9772989696947082,1.0926534440029838,0.009246392923859,False,False,True
phase2-p3-69deff22de22caab72b2,task-v2-eb5609efbad0,g-f6afb3a3727100d3,v2-S4-b003-g-f6afb3a3727100d3,S4,D2,4.515449934959718,0.0171913232787323,0.0092660177284367,0.5389938620897119,2.2236676167044247,0.1,0.8979625870451219,1.084625322997416,0.0171913232787323,False,False,True
phase2-p3-5ac195390208d9fc5072,task-v2-41fa72c23442,g-f6afb3a3727100d3,v2-S4-b003-g-f6afb3a3727100d3,S4,D3,4.339358675904037,0.0146178491487042,0.0054613193284896,0.3736062175038749,1.586526058478488,0.1,0.9198880333505348,1.078811369509044,0.0146178491487042,False,False,True
phase2-p3-e0b6aca69135679e9853,task-v2-e6a20043db41,g-f6afb3a3727100d3,v2-S4-b003-g-f6afb3a3727100d3,S4,D4,4.214419939295737,0.029334050226398,0.0091636379115942,0.3123891123411169,0.4097714926029097,0.1,0.7998023243396126,1.131136950904393,0.0293340502263981,False,False,True
phase2-p3-f173b4c2f0f9d2765a47,task-v2-db534d0b262a,g-f6afb3a3727100d3,v2-S4-b003-g-f6afb3a3727100d3,S4,D5,4.038328680240055,0.030893771164526,0.00702851550021,0.2275059092908856,0.2508906067901129,0.1,0.7658868090140681,1.084625322997416,0.0308937711645259,False,False,True
phase2-p3-13b021c7061e5ef9c62a,task-v2-6372d6a2314d,g-f6afb3a3727100d3,v2-S4-b003-g-f6afb3a3727100d3,S4,D6,3.9133899436317554,0.0547240626456142,0.0096245515658532,0.1758742151177722,0.8384478058207931,0.1,0.5363408190919806,1.100220248327146,0.0547240626456142,False,False,True
phase2-p3-deb9557aefa4d68e3d67,task-v2-cb6317a18cf3,g-f6afb3a3727100d3,v2-S4-b003-g-f6afb3a3727100d3,S4,D7,3.816479930623699,0.0794073883065223,0.0142815405666145,0.179851533606496,0.19313163140972422,0.1,0.2845102835917756,1.0555555555555556,0.0794073883065224,False,False,True
phase2-p3-1fa14cc56838f5729f4d,task-v2-9bb6197d70f9,g-2fa0de1665fa7816,v2-S4-b004-g-2fa0de1665fa7816,S4,D1,4.816479930623699,0.0091283143717699,0.0091283143717699,1.0,0.638149990513377,0.1,0.993321583663516,1.0991432068543452,0.0091283143717699,False,False,True
phase2-p3-455bc3aea85af02ea238,task-v2-d50991f4f8ba,g-2fa0de1665fa7816,v2-S4-b004-g-2fa0de1665fa7816,S4,D2,4.515449934959718,0.0107629953059795,0.0062253412315741,0.5784022992294291,0.18259714598791899,0.1,0.9633216015376552,1.087515299877601,0.0107629953059795,False,False,True
phase2-p3-ab7c57e4b78da74dea50,task-v2-51e0b98b7ef5,g-2fa0de1665fa7816,v2-S4-b004-g-2fa0de1665fa7816,S4,D3,4.339358675904037,0.0205580426881017,0.0101660535096689,0.4945049323957605,0.1657352376787209,0.1,0.8651981346112511,1.0930971891955406,0.0205580426881018,False,False,True
phase2-p3-81e6746d87eabea0e088,task-v2-41f38ee1e3c2,g-2fa0de1665fa7816,v2-S4-b004-g-2fa0de1665fa7816,S4,D4,4.214419939295737,0.0250830887438937,0.0098062856562824,0.3909520775693833,0.3150673805945301,0.1,0.8227127619284111,1.093329253365973,0.0250830887438937,False,False,True
phase2-p3-eacd61c41c76f3b9b9ab,task-v2-7a2c20a84cd2,g-2fa0de1665fa7816,v2-S4-b004-g-2fa0de1665fa7816,S4,D5,4.11750992628768,0.0370151463933099,0.0116225984320439,0.3139957440272237,0.15674591501664636,0.1,0.7286945252656679,1.1285189718482251,0.0370151463933098,False,False,True
phase2-p3-50a51f09d6ff9d46232a,task-v2-c4754bf838d1,g-2fa0de1665fa7816,v2-S4-b004-g-2fa0de1665fa7816,S4,D6,4.038328680240055,0.0400428666504829,0.0115714957139921,0.2889777051926571,0.23877334360510893,0.1,0.6986439335585239,1.1282129742962057,0.040042866650483,False,False,True
phase2-p3-0581ec69ef1af4cf0e5f,task-v2-aefa943bb0f9,g-2fa0de1665fa7816,v2-S4-b004-g-2fa0de1665fa7816,S4,D7,3.9133899436317554,0.0521301550890655,0.012915235092374,0.247749792232693,0.23509147119521323,0.1,0.5674782220700625,1.0991432068543452,0.0521301550890654,False,False,True
phase2-p3-6a99f0779500e6975ae2,task-v2-5ae92cb9d249,g-4a80ed839b63ddd7,v2-S5-b002-g-4a80ed839b63ddd7,S5,D1,5.719569917615643,0.0139987237056397,0.0139987237056397,1.0,0.6646443737739585,0.1,0.9136392867073386,1.074524312896406,0.0139987237056397,False,False,True
phase2-p3-301aaddcc8c888527105,task-v2-dcffea5b9a3e,g-4a80ed839b63ddd7,v2-S5-b002-g-4a80ed839b63ddd7,S5,D2,5.418539921951662,0.0112785311543235,0.0073143180575087,0.6485168997121473,0.40278619421173634,0.1,0.9362742929042076,1.0570824524312896,0.0112785311543235,False,False,True
phase2-p3-842bc64f007bd5edf763,task-v2-004cf44adcd0,g-4a80ed839b63ddd7,v2-S5-b002-g-4a80ed839b63ddd7,S5,D3,5.24244866289598,0.0132808733972798,0.0065235536867852,0.4911991471977591,0.5760995536756113,0.1,0.919198195084425,1.0570824524312896,0.0132808733972798,False,False,True
phase2-p3-60ca0ce699df49923dae,task-v2-676c7042f456,g-4a80ed839b63ddd7,v2-S5-b002-g-4a80ed839b63ddd7,S5,D4,5.11750992628768,0.0237313870416505,0.0109719110494075,0.4623375376311111,0.9244469307774348,0.1,0.815030979381543,1.0570824524312896,0.0237313870416505,False,False,True
phase2-p3-7925217c944fc2d5d1b3,task-v2-d5cf4ef0cd21,g-4a80ed839b63ddd7,v2-S5-b002-g-4a80ed839b63ddd7,S5,D5,4.941418667231999,0.031338261244577,0.0111364096199461,0.3553614392653405,0.781965838540283,0.1,0.7402831655066733,1.0570824524312896,0.031338261244577,False,False,True
phase2-p3-fdbe2d757c76eb839bb4,task-v2-6bb369c86974,g-4a80ed839b63ddd7,v2-S5-b002-g-4a80ed839b63ddd7,S5,D6,4.816479930623699,0.0353294563020708,0.0114917969359731,0.3252752274961988,0.655979085397397,0.1,0.7021314210675058,1.0570824524312896,0.0353294563020708,False,False,True
phase2-p3-21d5cf79234db0532f36,task-v2-8ea177161d6a,g-4a80ed839b63ddd7,v2-S5-b002-g-4a80ed839b63ddd7,S5,D7,4.640388671568018,0.0368339039046541,0.0054388822625492,0.1476596745386541,0.37019605453224314,0.1,0.69905509199738,1.08615221987315,0.036833903904654,False,False,True
phase2-p3-378b2064d470adbccd75,task-v2-0880cdc8b47d,g-b9a8415aa1799cc5,v2-S5-b003-g-b9a8415aa1799cc5,S5,D1,5.719569917615643,0.0059481215873741,0.0059481215873741,1.0,0.6956600531869652,0.1,0.98691189601572,1.056589147286822,0.0059481215873741,False,False,True
phase2-p3-d7ece924746e30408700,task-v2-8ac52cd83f67,g-b9a8415aa1799cc5,v2-S5-b003-g-b9a8415aa1799cc5,S5,D2,5.418539921951662,0.0066370011039487,0.0053303525848148,0.80312666840502,0.30769843142867925,0.1,0.9829794572799756,1.062403100775194,0.0066370011039487,False,False,True
phase2-p3-88ad67ff3fe4b4d38862,task-v2-e0ae4ea7992e,g-b9a8415aa1799cc5,v2-S5-b003-g-b9a8415aa1799cc5,S5,D3,5.24244866289598,0.0084366318238498,0.0058790108895284,0.6968433626448947,0.43765205825116604,0.1,0.9678114796022168,1.062403100775194,0.0084366318238498,False,False,True
phase2-p3-63300c448c22c59f0655,task-v2-f09582cc278a,g-b9a8415aa1799cc5,v2-S5-b003-g-b9a8415aa1799cc5,S5,D4,5.11750992628768,0.0373971892527147,0.0371000818342852,0.9920553543096056,0.854795096755673,0.1,0.6737560902134301,1.062403100775194,0.0373971892527146,False,False,True
phase2-p3-6cafd21e1f74a0bd1280,task-v2-d6122c14c280,g-b9a8415aa1799cc5,v2-S5-b003-g-b9a8415aa1799cc5,S5,D5,4.941418667231999,0.0175724434935629,0.0110088157821171,0.6264817858796822,0.5670514086668601,0.1,0.8755096474798102,1.062403100775194,0.0175724434935629,False,False,True
phase2-p3-dab5e15ef9e0efa01149,task-v2-0ec069828687,g-b9a8415aa1799cc5,v2-S5-b003-g-b9a8415aa1799cc5,S5,D6,4.816479930623699,0.0151420118821732,0.0047058006587662,0.3107777681977922,0.1773927518304803,0.1,0.9415070910797558,1.1189922480620156,0.0151420118821733,False,False,True
phase2-p3-66ac2b7fca19679e8e61,task-v2-66ecfca58e61,g-b9a8415aa1799cc5,v2-S5-b003-g-b9a8415aa1799cc5,S5,D7,4.719569917615643,0.015212692653891,0.0035489787540075,0.2332906366250557,0.17539620111750898,0.1,0.9476408713779816,1.1306201550387598,0.015212692653891,False,False,True
phase2-p3-93b450e09eae857c689c,task-v2-0b36d078e255,g-ad76642cd3b9f76c,v2-S5-b004-g-ad76642cd3b9f76c,S5,D1,5.719569917615643,0.0020112701831808,0.0020112701831808,1.0,0.4529413190401015,0.1,1.0301866374354267,1.0667340748230536,0.0020112701831808,False,False,True
phase2-p3-f8d75a8026fe31afa7ec,task-v2-f27d61c02d71,g-ad76642cd3b9f76c,v2-S5-b004-g-ad76642cd3b9f76c,S5,D2,5.418539921951662,0.0130795155843189,0.0130795155843189,1.0,0.8904911075833839,0.1,0.9409534491858886,1.095803842264914,0.0130795155843189,False,False,True
phase2-p3-25a4b06dc3eafbe1d4ff,task-v2-6ee4e9bb2f23,g-ad76642cd3b9f76c,v2-S5-b004-g-ad76642cd3b9f76c,S5,D3,5.24244866289598,0.0099144199968717,0.0032796975832934,0.3308007512621284,0.5445852646756602,0.1,0.960516859963182,1.0725480283114257,0.0099144199968717,False,False,True
phase2-p3-4100c491e61edcf47f05,task-v2-a11d89c8c060,g-ad76642cd3b9f76c,v2-S5-b004-g-ad76642cd3b9f76c,S5,D4,5.11750992628768,0.0234010660227865,0.0117077891107741,0.5003100755911646,1.4419596581979528,0.1,0.8344075391941125,1.08417593528817,0.0234010660227865,False,False,True
phase2-p3-f3f82314be4de93f13d2,task-v2-01f33dead804,g-ad76642cd3b9f76c,v2-S5-b004-g-ad76642cd3b9f76c,S5,D5,4.941418667231999,0.0201819853367981,0.0110002829086958,0.5450545486542824,0.26354782557294953,0.1,0.8719690261993988,1.0985844287158746,0.0201819853367981,False,False,True
phase2-p3-543738c8526e93c7f5ea,task-v2-2bbd08239dbd,g-ad76642cd3b9f76c,v2-S5-b004-g-ad76642cd3b9f76c,S5,D6,4.816479930623699,0.0154731905252085,0.0015087135018275,0.0975050038561591,0.8399368830511142,0.1,0.9153797025614048,1.095803842264914,0.0154731905252086,False,False,True
phase2-p3-8235bd2c619a46fc39e2,task-v2-110f51ef504a,g-ad76642cd3b9f76c,v2-S5-b004-g-ad76642cd3b9f76c,S5,D7,4.640388671568018,0.0391586703321318,0.0044707039310519,0.1141689412110484,1.1057277786630069,0.1,0.67389112871906,1.0609201213346815,0.0391586703321318,False,False,True
