task_id,cobyla_objective_final,cobyla_G_feas_final,cobyla_p_feas_final,cobyla_p_opt_final,cobyla_runtime_s,nelder_mead_objective_final,nelder_mead_G_feas_final,nelder_mead_p_feas_final,nelder_mead_p_opt_final,nelder_mead_runtime_s,objective_nelder_minus_cobyla,G_nelder_minus_cobyla
task-v2-4968f3a685c2,1.35518580831047,1.1425745544973889,0.0016950581864339,0.0016950581864339,0.6990048885345459,1.3710894561164255,-0.5457529182505834,3.474218576539608e-05,3.474218576539608e-05,0.6506065251305699,0.015903647805955545,-1.6883274727479722
task-v2-4d2b9f5eb099,1.518138438970197,0.9501792083246856,0.0087072146676146,0.0087072146676146,0.3517142422497272,1.5103289160643711,1.1756116132946108,0.014632268327251,0.014632268327251,0.1469452194869518,-0.0078095229058259275,0.22543240496992523
task-v2-4e78b3f98433,1.240018148374048,1.2486646727491948,0.1385015721301386,0.1385015721301386,0.2666617929935455,1.4013000083866376,1.1190067754745354,0.1027535430714993,0.1027535430714993,0.0570839056745171,0.1612818600125896,-0.12965789727465937
task-v2-526a936f38d9,1.3860756364316091,2.889378390144994,0.0059138249316307,0.0013836497394781,127.16541846841574,1.315893367958029,1.750184574965597,0.0004292147604386,6.462174772815904e-05,127.44460330810398,-0.07018226847358022,-1.1391938151793968
task-v2-59a464f36e13,1.51181256356806,2.2081271053484057,0.0024640367152609,0.0024640367152609,6.034765142947435,1.4603594335263457,0.2165047456478845,2.512029961547332e-05,2.512029961547332e-05,6.296356785111129,-0.05145313004171426,-1.9916223597005211
task-v2-5acbf653f95a,1.5212758110814677,1.7035788825511513,0.0123372661721066,0.0081940618448052,0.7141276709735394,1.543267028849185,1.6658254106031862,0.0113100744214059,0.0075437191967376,0.5305198282003403,0.021991217767717286,-0.03775347194796508
task-v2-5b0627539151,1.2863288492755005,2.093071952602592,0.0756226711195635,0.0148318833900557,0.7194664292037487,1.2776279327715645,2.111550655611262,0.0789097588763676,0.0186620455659288,0.5316347619518638,-0.008700916503936007,0.01847870300866994
task-v2-5b5a3995de2b,1.3952958462295526,2.34271127221928,0.0167958251921121,0.0054407215128249,6.538932202383876,1.3417630143930523,2.2847116709745987,0.0146960880281267,0.004733250001306,6.40672751981765,-0.05353283183650026,-0.05799960124468129
task-v2-5d31ef4af595,1.3393885841037412,2.427160345771249,0.0163207610533896,0.0052489678182208,6.333889204077423,1.3321768843031936,2.4190582720829013,0.0160191081255004,0.005226754510374,5.971335946582258,-0.0072116998005475885,-0.008102073688347922
task-v2-5de325b6f026,1.51398918308655,1.5923959715971825,0.0143260770529153,0.00933856749265,0.7383273020386696,1.5431112675569207,1.439639740766144,0.0100779233720418,0.0065102673448382,0.647991725243628,0.02912208447037079,-0.1527562308310384
task-v2-5f165c277bb9,1.4748023209062435,2.819844236551775,0.0100777668321826,0.0024098836647729,78.5652565965429,1.478696521663939,2.8108180310938504,0.0098704760819814,0.0023688525871167,127.27266519982368,0.0038942007576954207,-0.00902620545792443
task-v2-606c43f06406,1.5228660704232224,1.981840561660016,0.0058535673869019,0.0016972285199537,5.9253048757091165,1.6088892306463602,1.8299838943466,0.0041263299778128,0.0015124038114274,6.152754230424762,0.08602316022313783,-0.15185666731341607
task-v2-69173fedcdae,1.2105800681757295,1.875993663891235,0.064224652080595,0.0208523482125508,0.7066348968073726,1.2402761638523123,1.729577130383591,0.045844287430329,0.015038405634072,0.5624577375128865,0.029696095676582823,-0.14641653350764394
task-v2-6996479d6302,1.3489138730961896,1.6312308383099596,0.1671055495543222,0.0528834243560825,0.345774264074862,1.3490456764132186,1.6340891422653083,0.1682089798603116,0.0537650326548108,0.1174899181351065,0.00013180331702900006,0.0028583039553486955
task-v2-6e79cb6720c5,1.382891630179395,3.091290740578039,0.0070606076300206,0.0034478280640309,80.73121580667794,1.3272600024518135,1.8356451943760248,0.0003919191923554,0.0002848468630431,129.26687802188098,-0.055631627727581456,-1.2556455462020144
task-v2-7133b996bac7,1.2538385200034343,2.683806029144023,0.0027628503772803,0.001864625133701,128.87962934188545,1.224252038080864,2.09834303412762,0.0007176197311274,0.0005040162299736,127.27868506219238,-0.029586481922570407,-0.5854629950164028
task-v2-73f419868dc6,1.1640335944273337,1.0604523332189524,0.2693789267546866,0.1084377940177412,0.2855452904477715,1.1352362433159642,1.081020129646452,0.2824433895355812,0.1145595789358674,0.0668737646192312,-0.028797351111369496,0.02056779642749973
task-v2-780e1209d403,1.3982465400800916,2.905730047671278,0.0184221950457609,0.0025597972512018,119.02101413160564,1.2901532552983317,3.0710839265319327,0.0269584708897735,0.004296575359576,127.9304167162627,-0.10809328478175995,0.16535387886065456
task-v2-7d4ec5aed494,1.3139421696951634,2.880682870808354,0.0028982974108346,0.0024012400072337,129.71589071583003,1.2237331463194985,2.14565376710792,0.0005334747212416,0.0005257547545621,115.23467755131423,-0.09020902337566494,-0.735029103700434
task-v2-8792ce3c54d5,1.6037100698716134,1.8372654033143552,0.0083921929355916,0.0083921929355916,0.7368224319070578,1.5775238977371593,2.0293627370266454,0.0130608906493591,0.0130608906493591,0.5575733128935099,-0.026186172134454067,0.1920973337122902
task-v2-89b7591232ff,1.2840792248895196,2.407957930052655,0.002927785548743,0.0001238014935514,127.2065844181925,1.2866141409488263,1.8147828149445453,0.000747074904051,0.0001981763911854,115.0487930616364,0.002534916059306669,-0.5931751151081097
task-v2-8c0a098a6f8b,1.2001219614274192,2.00177322156214,0.0857988205831076,0.0143376026781468,0.7286134567111731,1.240299152654721,1.841086286245412,0.0592644669641655,0.0100360493250931,0.5499284425750375,0.04017719122730168,-0.16068693531672817
task-v2-8f4071cbe937,1.532127414646346,1.5560616056678906,0.00878418872176,0.0042411043780332,0.6806348375976086,1.551883229557495,1.4247412275352351,0.0064920413834321,0.0030998580838972,0.5517627745866776,0.019755814911148972,-0.1313203781326555
task-v2-9f1427c2fbd8,1.4484159448785463,2.2865912189664463,0.0177117934411683,0.0083571261952198,5.926360650919378,1.3520620013610367,2.331687435901924,0.0196498281097255,0.0087333840683196,6.163609196431935,-0.09635394351750959,0.04509621693547761
task-v2-a0f813383468,1.4569166913173148,1.414986272462338,0.076174141889041,0.0247643368866644,0.3791613643988967,1.4758040747252517,1.3589337981223215,0.0669506960048279,0.0218503566282369,0.1353735700249672,0.01888738340793683,-0.05605247434001659
task-v2-a2561503b5d0,1.471458518066532,2.2346056953517968,0.0052378826037714,0.0028848647109603,5.999839728698134,1.550571631213005,2.163346579535535,0.0044452546463876,0.0027408533153344,6.1832475354895,0.07911311314647285,-0.07125911581626188
task-v2-ac528a9510be,1.3784627899220805,1.94232049603338,0.0427553576555398,0.0089190471671947,0.735700111836195,1.4683250792540403,1.594527468115308,0.0191954154384605,0.003666216919102,0.575124217197299,0.08986228933195983,-0.3477930279180719
task-v2-b5e00db3fe1a,1.3012890180956682,2.427171195228416,0.0367226297559987,0.0141532945081059,6.192190853878856,1.3005324352395244,2.286463640435998,0.0265598867720882,0.0096286510311527,6.394681642763317,-0.0007565828561437726,-0.14070755479241814
task-v2-b9b3757d64c0,1.3283033902083514,2.77758248676571,0.0045716456476987,0.0023759986078605,129.88830542284995,1.2247561788064345,2.021036080763813,0.0008008038537904,0.0004681165514281,85.88641359191388,-0.10354721140191692,-0.7565464060018972
