task_id,base_instance_id,size_stratum,dilution_score,objective_final_B1,objective_final_B2,objective_final_B4,G_feas_final_B1,G_feas_final_B2,G_feas_final_B4,p_feas_final_B1,p_feas_final_B2,p_feas_final_B4,p_opt_final_B1,p_opt_final_B2,p_opt_final_B4,runtime_s_B1,runtime_s_B2,runtime_s_B4,optimizer_nfev_B1,optimizer_nfev_B2,optimizer_nfev_B4,objective_gain_B1_to_B2,objective_gain_B2_to_B4,G_change_B1_to_B2,G_change_B2_to_B4
task-v2-5de325b6f026,v2-S3-b000-g-8a16a856f5377a40,S3,3.436268688912093,1.51398918308655,1.4468135280779395,1.4146388749795242,1.5923959715971825,1.7955342373866392,1.954005792308316,0.0143260770529153,0.0228699675544266,0.0329410246019401,0.00933856749265,0.0148383990619163,0.0211396556711976,0.7383273020386696,1.7204000605270269,3.447667583823204,120.0,240.0,480.0,0.06717565500861045,0.03217465309841527,0.2031382657894567,0.15847155492167686
task-v2-5f165c277bb9,v2-S5-b001-g-e0c69f84d376b633,S5,4.816479930623699,1.4748023209062435,1.420560803378169,1.3994762366449425,2.819844236551775,3.1215900060733786,3.183556574175348,0.0100777668321826,0.020188779998005,0.023285021515071,0.0024098836647729,0.0042341319864423,0.0045182294606721,78.5652565965429,250.7514128126204,511.2912269672379,120.0,240.0,480.0,0.0542415175280746,0.02108456673322645,0.3017457695216037,0.06196656810196943
task-v2-606c43f06406,v2-S4-b000-g-3ff7063ef9ea5cfb,S4,4.214419939295737,1.5228660704232224,1.4850651944399529,1.46193114334223,1.981840561660016,2.167932217259411,2.2992624774016983,0.0058535673869019,0.0089848799341612,0.0121574512873391,0.0016972285199537,0.0024996722928351,0.0035123730929926,5.9253048757091165,13.157737009227276,26.335164615884423,120.0,240.0,480.0,0.03780087598326953,0.02313405109772293,0.18609165559939478,0.13133026014228744
task-v2-69173fedcdae,v2-S3-b000-g-8a16a856f5377a40,S3,3.0682919036174985,1.2105800681757295,1.1779410590331572,1.174900024167663,1.875993663891235,2.0248103779802573,2.046441062401543,0.064224652080595,0.090472892299529,0.0950931335698492,0.0208523482125508,0.029622281537691,0.0315192950109709,0.7066348968073726,1.7153765503317118,3.4016559943556786,120.0,240.0,480.0,0.03263900914257234,0.003041034865494119,0.14881671408902242,0.021630684421285906
task-v2-6996479d6302,v2-S2-b000-g-60667963f6db3f1b,S2,2.4082399653118496,1.3489138730961896,1.33086581115654,1.3254204032651615,1.6312308383099596,1.665675834164625,1.6743571733251466,0.1671055495543222,0.1808988761819973,0.1845513421766268,0.0528834243560825,0.0585444745211951,0.0603581284115089,0.345774264074862,0.7648562798276544,1.537643874064088,120.0,240.0,480.0,0.018048061939649696,0.005445407891378373,0.03444499585466532,0.008681339160521606
task-v2-6e79cb6720c5,v2-S5-b001-g-e0c69f84d376b633,S5,5.24244866289598,1.382891630179395,1.361528530031022,1.3343462511439823,3.091290740578039,3.154511530604915,3.1841206067229804,0.0070606076300206,0.0081670058694931,0.0087432308195409,0.0034478280640309,0.0040289049445759,0.0044228335841641,80.73121580667794,254.40173166710883,514.1177338752896,120.0,240.0,480.0,0.02136310014837295,0.027182278887039724,0.06322079002687575,0.029609076118065403
task-v2-7133b996bac7,v2-S5-b000-g-a87f1b9ac089cc45,S5,5.24244866289598,1.2538385200034343,1.2220656163828212,1.213063593703233,2.683806029144023,2.7189997778602426,2.66333835281357,0.0027628503772803,0.0029960641981112,0.0026356618470342,0.001864625133701,0.0021303586934546,0.0019278362682151,128.87962934188545,254.50619139429185,502.5143918553367,120.0,240.0,480.0,0.031772903620613135,0.009002022679588162,0.03519374871621972,-0.05566142504667271
task-v2-73f419868dc6,v2-S1-b001-g-553bb3c5ba0f2136,S1,1.630088714928206,1.1640335944273337,1.1065341418751495,1.0489845584814803,1.0604523332189524,1.111495517468128,1.1605636561006674,0.2693789267546866,0.3029750058558684,0.3392149162480248,0.1084377940177412,0.1205637533322878,0.1289739315966239,0.2855452904477715,0.6365066971629858,1.236015641130507,120.0,240.0,480.0,0.05749945255218414,0.057549583393669224,0.051043184249175644,0.04906813863253934
task-v2-780e1209d403,v2-S5-b001-g-e0c69f84d376b633,S5,4.640388671568018,1.3982465400800916,1.3417466995437572,1.2934650381553503,2.905730047671278,3.0001513799736066,3.1019030244398413,0.0184221950457609,0.0228961630102509,0.0289410546193292,0.0025597972512018,0.0033454919614831,0.0044147614498137,119.02101413160564,257.36640061158687,505.129123819992,120.0,240.0,480.0,0.05649984053633439,0.04828166138840695,0.09442133230232841,0.10175164446623475
task-v2-7d4ec5aed494,v2-S5-b000-g-a87f1b9ac089cc45,S5,5.418539921951662,1.3139421696951634,1.2671359702299645,1.2407886826726415,2.880682870808354,2.9842227684957328,2.9945639644186075,0.0028982974108346,0.0036786023719629,0.0037672465381792,0.0024012400072337,0.0030224699555759,0.0031131677495422,129.71589071583003,244.7050910294056,418.9874426098541,120.0,240.0,480.0,0.04680619946519893,0.026347287557322963,0.1035398976873787,0.010341195922874746
task-v2-8792ce3c54d5,v2-S3-b001-g-a712031e7959d564,S3,3.9133899436317554,1.6037100698716134,1.590720778349683,1.5796104235271096,1.8372654033143552,1.9319710893013409,1.995501254372119,0.0083921929355916,0.0104371312689123,0.0120812344042822,0.0083921929355916,0.0104371312689123,0.0120812344042822,0.7368224319070578,1.7548048701137304,3.5620582811534405,120.0,240.0,480.0,0.01298929152193029,0.011110354822573498,0.0947056859869857,0.06353016507077802
task-v2-89b7591232ff,v2-S5-b001-g-e0c69f84d376b633,S5,4.941418667231999,1.2840792248895196,1.2687733349748973,1.2630922561616271,2.407957930052655,2.5211737591716687,2.590469648812906,0.002927785548743,0.003799750597295,0.0044570856680043,0.0001238014935514,0.000178994734674,0.0002382935521874,127.2065844181925,205.05559334065765,318.42369343712926,120.0,240.0,480.0,0.01530588991462234,0.0056810788132701795,0.11321582911901373,0.06929588964123745
task-v2-8c0a098a6f8b,v2-S3-b001-g-a712031e7959d564,S3,3.0682919036174985,1.2001219614274192,1.157452449258194,1.1468871628366497,2.00177322156214,2.146646178291801,2.2029518049930013,0.0857988205831076,0.119771716779445,0.1363514941625437,0.0143376026781468,0.022014777224918,0.025818283020312,0.7286134567111731,1.784706061705947,3.5744567895308137,120.0,240.0,480.0,0.04266951216922532,0.010565286421544196,0.14487295672966072,0.05630562670120032
task-v2-8f4071cbe937,v2-S3-b000-g-8a16a856f5377a40,S3,3.612359947967774,1.532127414646346,1.4624365623603526,1.4280381845886838,1.5560616056678906,1.7141410137850115,1.898860996299026,0.00878418872176,0.0126409893610916,0.0193419852752114,0.0042411043780332,0.0060470783117035,0.0091531062803102,0.6806348375976086,1.7750141434371471,3.592482754960656,120.0,240.0,480.0,0.06969085228599337,0.034398377771668764,0.15807940811712085,0.18471998251401445
task-v2-9f1427c2fbd8,v2-S4-b000-g-3ff7063ef9ea5cfb,S4,4.038328680240055,1.4484159448785463,1.375942054771314,1.3360482329207728,2.2865912189664463,2.4105933150466647,2.4860556781706618,0.0177117934411683,0.0235648475672959,0.0280367066709195,0.0083571261952198,0.010729908438462,0.0122051810476426,5.926360650919378,13.728523381985724,27.329411229118705,120.0,240.0,480.0,0.07247389010723237,0.039893821850541134,0.1240020960802184,0.07546236312399701
task-v2-a0f813383468,v2-S2-b000-g-60667963f6db3f1b,S2,2.533178701920149,1.4569166913173148,1.438025353047643,1.4167136051152,1.414986272462338,1.5116353293150206,1.6123462430097153,0.076174141889041,0.0951604807438198,0.1199962132398941,0.0247643368866644,0.0345663411759442,0.0469459475557076,0.3791613643988967,0.784950029104948,1.5690180603414774,120.0,240.0,480.0,0.01889133826967182,0.021311747932442948,0.09664905685268255,0.10071091369469465
task-v2-a2561503b5d0,v2-S4-b001-g-bd62d2d752385cc7,S4,4.515449934959718,1.471458518066532,1.4253032090366624,1.4136567870718206,2.2346056953517968,2.3707647783141144,2.5045907318413985,0.0052378826037714,0.0071666276919944,0.0097530577748182,0.0028848647109603,0.0031691737500466,0.0040957340717485,5.999839728698134,13.908270633779466,27.89859725534916,120.0,240.0,480.0,0.04615530902986964,0.01164642196484178,0.1361590829623176,0.1338259535272841
