graph_id,size_stratum,objective,depth,budget,n_tasks,objective_value,mean_energy,P_feas,P_opt,P_opt_given_feas,G_feas
g-3ff7063ef9ea5cfb,S4,O3,4,240,3,0.8063060329000683,1.70940390300996,0.02560352500465805,0.011566287390998674,0.5910939899074954,2.646631632568625
g-3ff7063ef9ea5cfb,S4,O3,4,480,3,0.7834083529588978,1.6888972516057315,0.0279614248002809,0.01314517498442886,0.5825693249645022,2.697818956845205
g-548c8c6335dd2a2e,S1,O0,2,120,2,1.5362082943934263,1.5362082943934263,0.11086059754868494,0.06846179917348183,0.6938888289736175,0.902467759120082
g-548c8c6335dd2a2e,S1,O0,2,240,2,1.5229819041270503,1.5229819041270503,0.11541184773741955,0.07287296025828226,0.6931841813037043,0.9242016289964492
g-548c8c6335dd2a2e,S1,O0,2,480,2,1.5183373073556004,1.5183373073556004,0.11504536905943638,0.07249169079078539,0.6953617710222233,0.9225223983244372
g-548c8c6335dd2a2e,S1,O0,3,120,2,1.5390438180078416,1.5390438180078416,0.0815701397690517,0.040026649348857635,0.6727945228755683,0.6996993055016267
g-548c8c6335dd2a2e,S1,O0,3,240,2,1.5238443945103652,1.5238443945103652,0.08513107051387142,0.046275553840917624,0.7040298785461508,0.7334107417022694
g-548c8c6335dd2a2e,S1,O0,3,480,2,1.4390437417556132,1.4390437417556132,0.15486388335650547,0.07121548143768183,0.6884812946489863,0.8906358043626483
g-548c8c6335dd2a2e,S1,O0,4,120,2,1.4188283734789962,1.4188283734789962,0.19466024679818147,0.09065241671802517,0.6841576895308366,1.0881418239391674
g-548c8c6335dd2a2e,S1,O0,4,240,2,1.3707023315243294,1.3707023315243294,0.20792943604067352,0.10373217340556388,0.6868178965821243,1.1011496376902128
g-548c8c6335dd2a2e,S1,O0,4,480,2,1.3520953485398923,1.3520953485398923,0.21401722444765175,0.10938324321678983,0.6847425009250937,1.1152641665679928
g-548c8c6335dd2a2e,S1,O3,2,120,2,0.42636335199816283,1.9103788404865203,0.14401403195782908,0.06556794362860742,0.6954052922814206,0.8097891752409374
g-548c8c6335dd2a2e,S1,O3,2,240,2,0.42634798294276094,1.9101654929749448,0.14400964534449606,0.0655635570152744,0.6954052922814206,0.8097245781836243
g-548c8c6335dd2a2e,S1,O3,2,480,2,0.4263467445465326,1.9083489244795389,0.14400900172271874,0.06556291339349708,0.6954052922814206,0.8097150986234325
g-548c8c6335dd2a2e,S1,O3,3,120,2,0.2414558147790515,1.675176608773162,0.13743538686486312,0.0798732289176621,0.6975957099741197,0.9218551416053065
g-548c8c6335dd2a2e,S1,O3,3,240,2,0.21166871008840074,1.6789096751731964,0.14059939055914514,0.08303723261194412,0.6975957099741197,0.9438879007057684
g-548c8c6335dd2a2e,S1,O3,3,480,2,0.023255813953488372,1.6870594221642117,0.1584130948840004,0.10085093693679939,0.6975957099741197,1.0381035113879546
g-548c8c6335dd2a2e,S1,O3,4,120,2,0.023675935519836655,1.775541697592741,0.1588963313054928,0.09993071714460126,0.7091197021468909,1.0391832429886758
g-548c8c6335dd2a2e,S1,O3,4,240,2,0.023255813953488372,1.7286433975869888,0.17643736363700752,0.10072664627470769,0.699963178792032,1.0717960878890573
g-548c8c6335dd2a2e,S1,O3,4,480,2,0.023255813953488372,1.7286433975869888,0.17643736363700752,0.10072664627470769,0.699963178792032,1.0717960878890573
g-553bb3c5ba0f2136,S1,O0,2,120,2,1.6869516094248134,1.6869516094248134,0.03508078513110994,0.03015739404983977,0.686600183762164,0.33473887237764416
g-553bb3c5ba0f2136,S1,O0,2,240,2,1.6830718777489042,1.6830718777489042,0.036247494645202244,0.030520197035713483,0.6834337245318449,0.3652035215254554
g-553bb3c5ba0f2136,S1,O0,2,480,2,1.4151124236822132,1.4151124236822132,0.1128581257677619,0.06923764571603128,0.6757954508470878,0.9194284278582507
g-553bb3c5ba0f2136,S1,O0,3,120,2,1.475999208818429,1.475999208818429,0.08772420294672897,0.03534809824117884,0.6888741247431924,0.40751859882392105
g-553bb3c5ba0f2136,S1,O0,3,240,2,1.468232167603613,1.468232167603613,0.0969601366900139,0.039430501471565266,0.6700351053414577,0.6351511268576879
g-553bb3c5ba0f2136,S1,O0,3,480,2,1.4581808046789517,1.4581808046789517,0.09740986852171449,0.03976009225619006,0.6687513567130997,0.6478143933402256
g-553bb3c5ba0f2136,S1,O0,4,120,2,1.4132612790206267,1.4132612790206267,0.16501244985797928,0.08751022356355034,0.7011483720835506,0.9752721635874307
g-553bb3c5ba0f2136,S1,O0,4,240,2,1.3761527435407144,1.3761527435407144,0.1853456319589614,0.0889646250991751,0.6895360500691334,1.0091713143620447
g-553bb3c5ba0f2136,S1,O0,4,480,2,1.3568662929452615,1.3568662929452615,0.1917156281065301,0.08955885392821276,0.684060109619623,1.0157048268452253
g-553bb3c5ba0f2136,S1,O3,2,120,2,0.15092436560156428,1.7484557162313425,0.12163745542725107,0.06762592790441423,0.6958905586946319,0.9299268989866356
g-553bb3c5ba0f2136,S1,O3,2,240,2,0.14994164172057123,1.7680338732881848,0.1229519404736105,0.06867646770462688,0.6953061459558534,0.933645806739118
g-553bb3c5ba0f2136,S1,O3,2,480,2,0.14982888109098347,1.7757108117960168,0.12323946751740145,0.06895977068185119,0.6871710137820477,0.934421723843065
g-553bb3c5ba0f2136,S1,O3,3,120,2,0.05813953488372093,1.7471511889582862,0.12135833078319236,0.10089088473440602,0.7849363356364558,0.9462161689004662
g-553bb3c5ba0f2136,S1,O3,3,240,2,0.05813953488372093,1.7451398346475637,0.12425574810626125,0.10089088473440602,0.778984095077091,0.9548894608178385
g-553bb3c5ba0f2136,S1,O3,3,480,2,0.05813953488372093,1.761515447936407,0.12342874561458286,0.10089088473440602,0.7835935182267123,0.9524489907211301
g-553bb3c5ba0f2136,S1,O3,4,120,2,0.05813953488372093,1.7605234233020886,0.1441406898568636,0.10017816625239316,0.7703434093268108,1.0060725812050748
g-553bb3c5ba0f2136,S1,O3,4,240,2,0.05813953488372093,1.7287157974727145,0.1441406898568636,0.10017816625239316,0.7703434093268108,1.0060725812050748
