task_id,graph_id,size_stratum,m,objective,depth,budget,seed_count,objective_value,mean_energy,P_feas,P_opt,P_opt_given_feas,G_feas,median_actual_nfev,median_nit,median_wall_time_s
task-v2-3cd2eda112d3,g-6aa6775bed3bc2cc,S2,10,O3,3,480,3,0.6379730615927682,1.719777318565714,0.04824775717833966,0.03928596686892821,0.7115654885795976,1.2166558316681448,480.0,396.0,1.2419093316420913
task-v2-3cd2eda112d3,g-6aa6775bed3bc2cc,S2,10,O3,4,120,3,0.21427875118059145,1.5895932912229833,0.08822372954340121,0.05980202324993013,0.6778451053864236,1.478764114984879,480.0,387.0,1.4541621496900916
task-v2-3cd2eda112d3,g-6aa6775bed3bc2cc,S2,10,O3,4,240,3,0.09022179316507083,1.4058424047277758,0.11473973176194582,0.07481851575607817,0.6869840227004621,1.5928925321759762,480.0,387.0,1.4541621496900916
task-v2-3cd2eda112d3,g-6aa6775bed3bc2cc,S2,10,O3,4,480,3,0.08980660749441874,1.3907095817748008,0.11444905523492085,0.07553263510959976,0.6759475505535694,1.5917909138896096,480.0,387.0,1.4541621496900916
task-v2-3f11ce371857,g-3ff7063ef9ea5cfb,S4,16,O0,2,120,3,1.8685352843439809,1.8685352843439809,0.0017991423100590647,0.0017991423100590647,1.0,2.0715454475150956,480.0,399.0,13.036025363951921
task-v2-3f11ce371857,g-3ff7063ef9ea5cfb,S4,16,O0,2,240,3,1.8684748581229764,1.8684748581229764,0.0018595188510847768,0.0018595188510847768,1.0,2.0858805160509295,480.0,399.0,13.036025363951921
task-v2-3f11ce371857,g-3ff7063ef9ea5cfb,S4,16,O0,2,480,3,1.868326793428588,1.868326793428588,0.0018869475134639722,0.0018869475134639722,1.0,2.0922397508045334,480.0,399.0,13.036025363951921
task-v2-3f11ce371857,g-3ff7063ef9ea5cfb,S4,16,O0,3,120,3,1.7116157342042615,1.7116157342042615,0.0005210703959594065,0.0005210703959594065,1.0,1.5333763305287267,480.0,399.0,19.139589566737413
task-v2-3f11ce371857,g-3ff7063ef9ea5cfb,S4,16,O0,3,240,3,1.707078003654499,1.707078003654499,0.0004562187669739061,0.0004562187669739061,1.0,1.4756530770302874,480.0,399.0,19.139589566737413
task-v2-3f11ce371857,g-3ff7063ef9ea5cfb,S4,16,O0,3,480,3,1.6994409568226385,1.6994409568226385,0.0004107327341746435,0.0004107327341746435,1.0,1.4300392468323675,480.0,399.0,19.139589566737413
task-v2-3f11ce371857,g-3ff7063ef9ea5cfb,S4,16,O0,4,120,3,1.6237650025818775,1.6237650025818775,0.004558559141014862,0.004558559141014862,1.0,2.475307524167527,480.0,393.0,28.679059795103967
task-v2-3f11ce371857,g-3ff7063ef9ea5cfb,S4,16,O0,4,240,3,1.5923876604655054,1.5923876604655054,0.004653015739142368,0.004653015739142368,1.0,2.484214452190089,480.0,393.0,28.679059795103967
task-v2-3f11ce371857,g-3ff7063ef9ea5cfb,S4,16,O0,4,480,3,1.5830110810769331,1.5830110810769331,0.00506826812626207,0.00506826812626207,1.0,2.521339512895848,480.0,393.0,28.679059795103967
task-v2-3f11ce371857,g-3ff7063ef9ea5cfb,S4,16,O3,2,120,3,1.0216816260679624,1.9198518628399683,0.004171797198394345,0.004171797198394345,1.0,2.436803118738928,212.0,165.0,6.206192037090659
task-v2-3f11ce371857,g-3ff7063ef9ea5cfb,S4,16,O3,2,240,3,1.0111192940599871,1.9182103401483221,0.004300835863192592,0.004300835863192592,1.0,2.4500327991089814,212.0,165.0,6.206192037090659
task-v2-3f11ce371857,g-3ff7063ef9ea5cfb,S4,16,O3,2,480,3,1.0111192940599871,1.906806775794173,0.004300835863192592,0.004300835863192592,1.0,2.4500327991089814,212.0,165.0,6.206192037090659
task-v2-3f11ce371857,g-3ff7063ef9ea5cfb,S4,16,O3,3,120,3,1.007175945918868,1.9025933440651572,0.004695704083516668,0.004695704083516668,1.0,2.4881806511151434,136.0,97.0,6.381983160041273
task-v2-3f11ce371857,g-3ff7063ef9ea5cfb,S4,16,O3,3,240,3,1.0071691919937726,1.9025933440651572,0.004696051136102286,0.004696051136102286,1.0,2.488212747995739,136.0,97.0,6.381983160041273
task-v2-3f11ce371857,g-3ff7063ef9ea5cfb,S4,16,O3,3,480,3,1.0071691919937726,1.9025933440651572,0.004696051136102286,0.004696051136102286,1.0,2.488212747995739,136.0,97.0,6.381983160041273
task-v2-3f11ce371857,g-3ff7063ef9ea5cfb,S4,16,O3,4,120,3,0.9743936951440919,1.905562802408687,0.008499576677498621,0.008499576677498621,1.0,2.7458772267845104,480.0,391.0,28.865836502984166
task-v2-3f11ce371857,g-3ff7063ef9ea5cfb,S4,16,O3,4,240,3,0.933167825846043,1.8673675506450405,0.01201895634194889,0.01201895634194889,1.0,2.896346688256221,480.0,391.0,28.865836502984166
task-v2-3f11ce371857,g-3ff7063ef9ea5cfb,S4,16,O3,4,480,3,0.9087593315718386,1.8460062327447855,0.014706279272794841,0.014706279272794841,1.0,2.983982739606226,480.0,391.0,28.865836502984166
task-v2-3f363bac5736,g-60667963f6db3f1b,S2,10,O0,2,120,3,1.9381026073324488,1.9381026073324488,0.006636313963024374,0.006636313963024374,1.0,0.8322268808853766,480.0,396.0,1.0006220499053597
task-v2-3f363bac5736,g-60667963f6db3f1b,S2,10,O0,2,240,3,1.9369493283941788,1.9369493283941788,0.006214845008780946,0.006214845008780946,1.0,0.8037302589383907,480.0,396.0,1.0006220499053597
task-v2-3f363bac5736,g-60667963f6db3f1b,S2,10,O0,2,480,3,1.9367512911606781,1.9367512911606781,0.00599519579159082,0.00599519579159082,1.0,0.7881033275307266,480.0,396.0,1.0006220499053597
task-v2-3f363bac5736,g-60667963f6db3f1b,S2,10,O0,3,120,3,1.761133895802486,1.761133895802486,0.00016841576474437622,0.00016841576474437622,1.0,-0.7633173016773047,480.0,395.0,1.2107348190620542
task-v2-3f363bac5736,g-60667963f6db3f1b,S2,10,O0,3,240,3,1.7344736617572085,1.7344736617572085,0.00020584582523032853,0.00020584582523032853,1.0,-0.6761579798858864,480.0,395.0,1.2107348190620542
task-v2-3f363bac5736,g-60667963f6db3f1b,S2,10,O0,3,480,3,1.722456176749335,1.722456176749335,0.00011420211827497976,0.00011420211827497976,1.0,-0.9320258838759024,480.0,395.0,1.2107348190620542
task-v2-3f363bac5736,g-60667963f6db3f1b,S2,10,O0,4,120,3,1.5695152526672718,1.5695152526672718,0.009925483198085266,0.009925483198085266,1.0,1.0070516151635278,480.0,385.0,1.3949296046048403
task-v2-3f363bac5736,g-60667963f6db3f1b,S2,10,O0,4,240,3,1.5453562261441607,1.5453562261441607,0.014244343901526655,0.014244343901526655,1.0,1.163942406950396,480.0,385.0,1.3949296046048403
task-v2-3f363bac5736,g-60667963f6db3f1b,S2,10,O0,4,480,3,1.5086313096579254,1.5086313096579254,0.02070029488418993,0.02070029488418993,1.0,1.3262764888437975,480.0,385.0,1.3949296046048403
task-v2-3f363bac5736,g-60667963f6db3f1b,S2,10,O3,2,120,3,0.9543127500983506,2.0356936431291475,0.017540695556826167,0.017540695556826167,1.0,1.2543467674772522,480.0,401.0,1.0494375079870224
task-v2-3f363bac5736,g-60667963f6db3f1b,S2,10,O3,2,240,3,0.8716626052452301,2.0044649885813683,0.02345720937603935,0.02345720937603935,1.0,1.3805763009634295,480.0,401.0,1.0494375079870224
task-v2-3f363bac5736,g-60667963f6db3f1b,S2,10,O3,2,480,3,0.7844708318186697,1.992307305737238,0.03065283470922543,0.03065283470922543,1.0,1.4967705999852068,480.0,401.0,1.0494375079870224
task-v2-3f363bac5736,g-60667963f6db3f1b,S2,10,O3,3,120,3,0.9106530603208459,2.1829169308486653,0.02166887316663014,0.02166887316663014,1.0,1.346136284192268,480.0,398.0,1.2512251352891326
task-v2-3f363bac5736,g-60667963f6db3f1b,S2,10,O3,3,240,3,0.8991662060885115,2.177747137234335,0.022446588819638034,0.022446588819638034,1.0,1.3614503077978686,480.0,398.0,1.2512251352891326
task-v2-3f363bac5736,g-60667963f6db3f1b,S2,10,O3,3,480,3,0.8869891253443831,2.16198952676561,0.023280694985848352,0.023280694985848352,1.0,1.3772958975667065,480.0,398.0,1.2512251352891326
task-v2-3f363bac5736,g-60667963f6db3f1b,S2,10,O3,4,120,3,0.7831658454036374,2.025951634671496,0.03573419910388751,0.03573419910388751,1.0,1.56338400951998,480.0,383.0,1.4323889603838325
task-v2-3f363bac5736,g-60667963f6db3f1b,S2,10,O3,4,240,3,0.6744131730858601,1.9870020607634034,0.042732852029955345,0.042732852029955345,1.0,1.6410618356385567,480.0,383.0,1.4323889603838325
task-v2-3f363bac5736,g-60667963f6db3f1b,S2,10,O3,4,480,3,0.5882679362190706,1.9005458153257013,0.05118772615894407,0.05118772615894407,1.0,1.7194657945597287,480.0,383.0,1.4323889603838325
task-v2-420d9636beee,g-e0c69f84d376b633,S5,19,O0,2,120,3,1.7518537413813642,1.7518537413813642,0.001145645334572641,0.001145645334572641,1.0,2.7786201084778015,480.0,395.0,288.86970989219844
task-v2-420d9636beee,g-e0c69f84d376b633,S5,19,O0,2,240,3,1.6696199670568077,1.6696199670568077,0.0010141527123296837,0.0010141527123296837,1.0,2.725673274120275,480.0,395.0,288.86970989219844
task-v2-420d9636beee,g-e0c69f84d376b633,S5,19,O0,2,480,3,1.5764043658019853,1.5764043658019853,0.0009121684782159579,0.0009121684782159579,1.0,2.6796449778759617,480.0,395.0,288.86970989219844
task-v2-420d9636beee,g-e0c69f84d376b633,S5,19,O0,3,120,3,1.5729888953861813,1.5729888953861813,0.0005028094023985714,0.0005028094023985714,1.0,2.4209733078937568,480.0,399.0,435.0447695944458
task-v2-420d9636beee,g-e0c69f84d376b633,S5,19,O0,3,240,3,1.5085072087032678,1.5085072087032678,0.00027580714621802205,0.00027580714621802205,1.0,2.1601754322576716,480.0,399.0,435.0447695944458
task-v2-420d9636beee,g-e0c69f84d376b633,S5,19,O0,3,480,3,1.4622786468161502,1.4622786468161502,0.00021579358113770264,0.00021579358113770264,1.0,2.0536084398998113,480.0,399.0,435.0447695944458
task-v2-420d9636beee,g-e0c69f84d376b633,S5,19,O0,4,120,3,1.5757444469159618,1.5757444469159618,0.0021783335895822816,0.0021783335895822816,1.0,3.0576943059009127,480.0,388.0,584.1926492322236
task-v2-420d9636beee,g-e0c69f84d376b633,S5,19,O0,4,240,3,1.5432380787422084,1.5432380787422084,0.002554484960550213,0.002554484960550213,1.0,3.1268732677463618,480.0,388.0,584.1926492322236
task-v2-420d9636beee,g-e0c69f84d376b633,S5,19,O0,4,480,3,1.4990198891463398,1.4990198891463398,0.00229037859717062,0.00229037859717062,1.0,3.0794771943100585,480.0,388.0,584.1926492322236
task-v2-420d9636beee,g-e0c69f84d376b633,S5,19,O3,2,120,3,1.0294787432531454,1.893286353928523,0.002597282906160713,0.002597282906160713,1.0,3.1340891748663573,341.0,271.0,215.60758208483458
task-v2-420d9636beee,g-e0c69f84d376b633,S5,19,O3,2,240,3,1.0225385939698057,1.8869826946151635,0.0032136618210431233,0.0032136618210431233,1.0,3.2265700909196817,341.0,271.0,215.60758208483458
task-v2-420d9636beee,g-e0c69f84d376b633,S5,19,O3,2,480,3,1.0170706695265517,1.8870967671979337,0.003315199716488612,0.003315199716488612,1.0,3.2400796142044888,341.0,271.0,215.60758208483458
task-v2-420d9636beee,g-e0c69f84d376b633,S5,19,O3,3,120,3,1.0184924635535857,1.8642112967591418,0.0029112675376813733,0.0029112675376813733,1.0,3.183652035386909,382.0,301.0,359.95247594174
task-v2-420d9636beee,g-e0c69f84d376b633,S5,19,O3,3,240,3,1.0171233066560919,1.866865873748302,0.0032262522909004294,0.0032262522909004294,1.0,3.228268243551934,382.0,301.0,359.95247594174
task-v2-420d9636beee,g-e0c69f84d376b633,S5,19,O3,3,480,3,1.0089840207865697,1.888123128083521,0.004151071193467476,0.004151071193467476,1.0,3.3377300994800527,382.0,301.0,359.95247594174
task-v2-420d9636beee,g-e0c69f84d376b633,S5,19,O3,4,120,3,0.9846064578034811,1.8228714055156146,0.0063862299142145515,0.0063862299142145515,1.0,3.524814467377679,480.0,402.0,601.3391079353169
task-v2-420d9636beee,g-e0c69f84d376b633,S5,19,O3,4,240,3,0.9812278572661943,1.8153716129698672,0.006719972360677533,0.006719972360677533,1.0,3.546937404415016,480.0,402.0,601.3391079353169
task-v2-420d9636beee,g-e0c69f84d376b633,S5,19,O3,4,480,3,0.9424580913914871,1.7682847056435007,0.010428147812398545,0.010428147812398545,1.0,3.7377770960051144,480.0,402.0,601.3391079353169
task-v2-4746dcc3bd93,g-a87f1b9ac089cc45,S5,19,O0,2,120,3,1.5497048583896795,1.5497048583896795,0.0018766987479060737,0.0018766987479060737,1.0,2.9929644818607333,480.0,398.0,331.06068180315197
task-v2-4746dcc3bd93,g-a87f1b9ac089cc45,S5,19,O0,2,240,3,1.4420488181659044,1.4420488181659044,0.0013803655613053183,0.0013803655613053183,1.0,2.859564033171605,480.0,398.0,331.06068180315197
task-v2-4746dcc3bd93,g-a87f1b9ac089cc45,S5,19,O0,2,480,3,1.3477925909026203,1.3477925909026203,0.0005732314331422184,0.0005732314331422184,1.0,2.477899914529234,480.0,398.0,331.06068180315197
task-v2-4746dcc3bd93,g-a87f1b9ac089cc45,S5,19,O0,3,120,3,1.3444411306866775,1.3444411306866775,0.00045634344322315583,0.00045634344322315583,1.0,2.3788617325509196,480.0,388.0,446.1591447060928
task-v2-4746dcc3bd93,g-a87f1b9ac089cc45,S5,19,O0,3,240,3,1.3224904858834081,1.3224904858834081,0.00032353542467954496,0.00032353542467954496,1.0,2.2294917571816057,480.0,388.0,446.1591447060928
task-v2-4746dcc3bd93,g-a87f1b9ac089cc45,S5,19,O0,3,480,3,1.2535262602098738,1.2535262602098738,0.00015024713471792957,0.00015024713471792957,1.0,1.8963761161735637,480.0,388.0,446.1591447060928
task-v2-4746dcc3bd93,g-a87f1b9ac089cc45,S5,19,O0,4,120,3,1.4618901936567115,1.4618901936567115,0.00289971816264931,0.00289971816264931,1.0,3.181925706426894,480.0,395.0,577.654665405862
task-v2-4746dcc3bd93,g-a87f1b9ac089cc45,S5,19,O0,4,240,3,1.445054066548967,1.445054066548967,0.0035062967022020312,0.0035062967022020312,1.0,3.264418580850049,480.0,395.0,577.654665405862
task-v2-4746dcc3bd93,g-a87f1b9ac089cc45,S5,19,O0,4,480,3,1.4348485998670806,1.4348485998670806,0.004127584699380207,0.004127584699380207,1.0,3.3352659115059016,480.0,395.0,577.654665405862
task-v2-4746dcc3bd93,g-a87f1b9ac089cc45,S5,19,O3,2,120,3,1.018582032333188,1.7596569597670764,0.0028483463010706917,0.0028483463010706917,1.0,3.1741627071805736,480.0,392.0,343.55680490564555
task-v2-4746dcc3bd93,g-a87f1b9ac089cc45,S5,19,O3,2,240,3,0.9939453082494163,1.7050276567450777,0.004900366445329108,0.004900366445329108,1.0,3.4097984750388157,480.0,392.0,343.55680490564555
task-v2-4746dcc3bd93,g-a87f1b9ac089cc45,S5,19,O3,2,480,3,0.9768755272240223,1.682376088208077,0.0063771143773614265,0.0063771143773614265,1.0,3.5241941240040986,480.0,392.0,343.55680490564555
task-v2-4746dcc3bd93,g-a87f1b9ac089cc45,S5,19,O3,3,120,3,0.9874623234381034,1.6670800119841223,0.006493996552295395,0.006493996552295395,1.0,3.5320819713359484,433.0,350.0,398.66320021636784
task-v2-4746dcc3bd93,g-a87f1b9ac089cc45,S5,19,O3,3,240,3,0.9742123796975988,1.6714157022968528,0.006741403318091022,0.006741403318091022,1.0,3.54832022807763,433.0,350.0,398.66320021636784
task-v2-4746dcc3bd93,g-a87f1b9ac089cc45,S5,19,O3,3,480,3,0.9703445237084404,1.6858895183968508,0.007100387556986892,0.007100387556986892,1.0,3.5708519718653164,433.0,350.0,398.66320021636784
task-v2-4746dcc3bd93,g-a87f1b9ac089cc45,S5,19,O3,4,120,3,0.9659365407073048,1.810726504166151,0.00758836189927545,0.00758836189927545,1.0,3.5997179524193035,480.0,393.0,596.8859485099092
task-v2-4746dcc3bd93,g-a87f1b9ac089cc45,S5,19,O3,4,240,3,0.9495393236114361,1.7508571955676093,0.008952614688076363,0.008952614688076363,1.0,3.6715198108940728,480.0,393.0,596.8859485099092
task-v2-4746dcc3bd93,g-a87f1b9ac089cc45,S5,19,O3,4,480,3,0.9452523153332272,1.6566185475284985,0.009347787595993738,0.009347787595993738,1.0,3.690278753242564,480.0,393.0,596.8859485099092
task-v2-4968f3a685c2,g-8a16a856f5377a40,S3,13,O0,2,120,3,1.7232437036626118,1.7232437036626118,0.0036516813680191173,0.0036516813680191173,1.0,1.4758828192442515,480.0,397.0,1.919770097360015
task-v2-4968f3a685c2,g-8a16a856f5377a40,S3,13,O0,2,240,3,1.5901006697251785,1.5901006697251785,0.006555041583110745,0.006555041583110745,1.0,1.729965394693443,480.0,397.0,1.919770097360015
task-v2-4968f3a685c2,g-8a16a856f5377a40,S3,13,O0,2,480,3,1.53780121608756,1.53780121608756,0.00814750329118119,0.00814750329118119,1.0,1.8244144882020814,480.0,397.0,1.919770097360015
task-v2-4968f3a685c2,g-8a16a856f5377a40,S3,13,O0,3,120,3,1.4040450075189717,1.4040450075189717,0.0002844438850147038,0.0002844438850147038,1.0,0.36738654535686044,480.0,387.0,2.51840150821954
task-v2-4968f3a685c2,g-8a16a856f5377a40,S3,13,O0,3,240,3,1.371948301986846,1.371948301986846,0.00012675246035284338,0.00012675246035284338,1.0,0.01634634167494383,480.0,387.0,2.51840150821954
task-v2-4968f3a685c2,g-8a16a856f5377a40,S3,13,O0,3,480,3,1.3547223039472136,1.3547223039472136,4.54726603856476e-05,4.54726603856476e-05,1.0,-0.4288596929481008,480.0,387.0,2.51840150821954
task-v2-4968f3a685c2,g-8a16a856f5377a40,S3,13,O0,4,120,3,1.3777041634163636,1.3777041634163636,0.00928392162921679,0.00928392162921679,1.0,1.8811214093081012,480.0,399.0,3.147250368259847
task-v2-4968f3a685c2,g-8a16a856f5377a40,S3,13,O0,4,240,3,1.3680413398885236,1.3680413398885236,0.009315694337615994,0.009315694337615994,1.0,1.8826051738524385,480.0,399.0,3.147250368259847
task-v2-4968f3a685c2,g-8a16a856f5377a40,S3,13,O0,4,480,3,1.3599223126220785,1.3599223126220785,0.009241269945207266,0.009241269945207266,1.0,1.8791216001655164,480.0,399.0,3.147250368259847
task-v2-4968f3a685c2,g-8a16a856f5377a40,S3,13,O3,2,120,3,1.034297015413787,1.9717721499579324,0.005540622659694672,0.005540622659694672,1.0,1.656948517471025,480.0,395.0,1.9904705537483096
task-v2-4968f3a685c2,g-8a16a856f5377a40,S3,13,O3,2,240,3,1.0144541773087556,1.9583597101266783,0.007216156415073519,0.007216156415073519,1.0,1.771695881894451,480.0,395.0,1.9904705537483096
task-v2-4968f3a685c2,g-8a16a856f5377a40,S3,13,O3,2,480,3,0.9661906468873821,1.8330102352589641,0.01184280035745904,0.01184280035745904,1.0,1.9868443517611472,480.0,395.0,1.9904705537483096
task-v2-4968f3a685c2,g-8a16a856f5377a40,S3,13,O3,3,120,3,0.9701415569823335,1.8720952644053104,0.01008635349900963,0.01008635349900963,1.0,1.917124128551334,480.0,384.0,2.739497813396156
task-v2-4968f3a685c2,g-8a16a856f5377a40,S3,13,O3,3,240,3,0.9662890089595351,1.8722289205140805,0.010508606049684236,0.010508606049684236,1.0,1.9349350549901505,480.0,384.0,2.739497813396156
task-v2-4968f3a685c2,g-8a16a856f5377a40,S3,13,O3,3,480,3,0.9661598465926398,1.8722289205140805,0.010525102416182075,0.010525102416182075,1.0,1.9356162741315117,480.0,384.0,2.739497813396156
task-v2-4968f3a685c2,g-8a16a856f5377a40,S3,13,O3,4,120,3,0.871106966652847,1.662554095552544,0.02018602094325489,0.02018602094325489,1.0,2.2184406631352913,480.0,386.0,3.1237207874655724
task-v2-4968f3a685c2,g-8a16a856f5377a40,S3,13,O3,4,240,3,0.8539624278086716,1.716237306091972,0.021960103135620017,0.021960103135620017,1.0,2.2550243190785477,480.0,386.0,3.1237207874655724
task-v2-4968f3a685c2,g-8a16a856f5377a40,S3,13,O3,4,480,3,0.8474477185027829,1.709353362756941,0.02265118138070745,0.02265118138070745,1.0,2.268480801359963,480.0,386.0,3.1237207874655724
task-v2-4d2b9f5eb099,g-6aa6775bed3bc2cc,S2,10,O0,2,120,3,1.6526899601361071,1.6526899601361071,0.00586329086458242,0.00586329086458242,1.0,0.7784413957248015,345.0,278.0,0.7515617208555341
task-v2-4d2b9f5eb099,g-6aa6775bed3bc2cc,S2,10,O0,2,240,3,1.6498322285237301,1.6498322285237301,0.0065236438160481795,0.0065236438160481795,1.0,0.8247901976426821,345.0,278.0,0.7515617208555341
task-v2-4d2b9f5eb099,g-6aa6775bed3bc2cc,S2,10,O0,2,480,3,1.6497995702358015,1.6497995702358015,0.006569894264020274,0.006569894264020274,1.0,0.8278583367137397,345.0,278.0,0.7515617208555341
task-v2-4d2b9f5eb099,g-6aa6775bed3bc2cc,S2,10,O0,3,120,3,1.7079828469948795,1.7079828469948795,0.0007063208738049691,0.0007063208738049691,1.0,-0.1406980022734563,480.0,399.0,1.2328000292181969
task-v2-4d2b9f5eb099,g-6aa6775bed3bc2cc,S2,10,O0,3,240,3,1.6994898170878687,1.6994898170878687,0.0005407561518826727,0.0005407561518826727,1.0,-0.2566985744936256,480.0,399.0,1.2328000292181969
task-v2-4d2b9f5eb099,g-6aa6775bed3bc2cc,S2,10,O0,3,480,3,1.6940355661274802,1.6940355661274802,0.0005164675127407717,0.0005164675127407717,1.0,-0.2766570349898435,480.0,399.0,1.2328000292181969
task-v2-4d2b9f5eb099,g-6aa6775bed3bc2cc,S2,10,O0,4,120,3,1.6040948572565359,1.6040948572565359,0.004745142485559929,0.004745142485559929,1.0,0.6865492144491407,480.0,392.0,1.4986567506566644
task-v2-4d2b9f5eb099,g-6aa6775bed3bc2cc,S2,10,O0,4,240,3,1.5920748332806103,1.5920748332806103,0.006212618656657489,0.006212618656657489,1.0,0.803574653180311,480.0,392.0,1.4986567506566644
task-v2-4d2b9f5eb099,g-6aa6775bed3bc2cc,S2,10,O0,4,480,3,1.5654843033240633,1.5654843033240633,0.008887245169511586,0.008887245169511586,1.0,0.9590671177124751,480.0,392.0,1.4986567506566644
task-v2-4d2b9f5eb099,g-6aa6775bed3bc2cc,S2,10,O3,2,120,3,0.9238232364756377,1.9312857035454607,0.018675299440761524,0.018675299440761524,1.0,1.2815675306842926,480.0,400.0,1.07338438462466
task-v2-4d2b9f5eb099,g-6aa6775bed3bc2cc,S2,10,O3,2,240,3,0.9112909060480582,1.9368101831830256,0.020281573538622883,0.020281573538622883,1.0,1.3174016031901847,480.0,400.0,1.07338438462466
task-v2-4d2b9f5eb099,g-6aa6775bed3bc2cc,S2,10,O3,2,480,3,0.9101583162831206,1.9375792563637075,0.020668207231100244,0.020668207231100244,1.0,1.3256027640166352,480.0,400.0,1.07338438462466
task-v2-4d2b9f5eb099,g-6aa6775bed3bc2cc,S2,10,O3,3,120,3,1.0117471438377712,2.0123585083433797,0.012813546701549943,0.012813546701549943,1.0,1.1179693127481531,480.0,395.0,1.286247592419386
task-v2-4d2b9f5eb099,g-6aa6775bed3bc2cc,S2,10,O3,3,240,3,0.7819657012446213,1.9121907021832651,0.03199692027390734,0.03199692027390734,1.0,1.5154081358217868,480.0,395.0,1.286247592419386
task-v2-4d2b9f5eb099,g-6aa6775bed3bc2cc,S2,10,O3,3,480,3,0.75680334019543,1.9126498473455238,0.0345549321659744,0.0345549321659744,1.0,1.5488100013917125,480.0,395.0,1.286247592419386
task-v2-4d2b9f5eb099,g-6aa6775bed3bc2cc,S2,10,O3,4,120,3,0.6863253508429421,2.122977325085891,0.04195661754857913,0.04195661754857913,1.0,1.6331004256942496,480.0,396.0,1.5509403329342604
task-v2-4d2b9f5eb099,g-6aa6775bed3bc2cc,S2,10,O3,4,240,3,0.6308726994913257,2.12352556698342,0.046565862130448284,0.046565862130448284,1.0,1.678367604627205,480.0,396.0,1.5509403329342604
task-v2-4d2b9f5eb099,g-6aa6775bed3bc2cc,S2,10,O3,4,480,3,0.5602985229664816,2.074271064715435,0.05319286827872252,0.05319286827872252,1.0,1.7361533657239996,480.0,396.0,1.5509403329342604
