task_id,graph_id,objective,seed,transition,shallower_depth,deeper_depth,budget,deeper_terminal_objective,embedded_shallower_objective,signed_nested_regret,embedding_identity_error,embedding_identity_pass,nested_pass,nested_failure,actual_nfev,nit,termination_reason,wall_time_s
task-v2-f5c9b9bdeb27,g-a87f1b9ac089cc45,O0,1103,p3->p4,3,4,480,1.3888278298213035,1.3111956979094312,0.07763213191187224,8.881784197001252e-16,True,False,True,480,373,EVALUATION_BUDGET_EXHAUSTED,563.2015485521406
task-v2-f5c9b9bdeb27,g-a87f1b9ac089cc45,O0,3301,p2->p3,2,3,120,1.483329853566654,1.84046942102953,-0.3571395674628761,-4.440892098500626e-16,True,True,False,480,394,EVALUATION_BUDGET_EXHAUSTED,441.70237758755684
task-v2-f5c9b9bdeb27,g-a87f1b9ac089cc45,O0,3301,p2->p3,2,3,240,1.360203198051054,1.839463158145626,-0.47925996009457195,2.220446049250313e-16,True,True,False,480,394,EVALUATION_BUDGET_EXHAUSTED,441.70237758755684
task-v2-f5c9b9bdeb27,g-a87f1b9ac089cc45,O0,3301,p2->p3,2,3,480,1.3163765802535505,1.8394134308358985,-0.523036850582348,6.661338147750939e-16,True,True,False,480,394,EVALUATION_BUDGET_EXHAUSTED,441.70237758755684
task-v2-3f363bac5736,g-60667963f6db3f1b,O0,1103,p3->p4,3,4,120,1.5100091991432476,1.7348423196764922,-0.22483312053324456,0.0,True,True,False,480,375,EVALUATION_BUDGET_EXHAUSTED,1.3710102019831538
task-v2-3f363bac5736,g-60667963f6db3f1b,O0,1103,p3->p4,3,4,240,1.4843895855386624,1.7124630274188644,-0.22807344188020195,0.0,True,True,False,480,375,EVALUATION_BUDGET_EXHAUSTED,1.3710102019831538
task-v2-3f363bac5736,g-60667963f6db3f1b,O0,1103,p3->p4,3,4,480,1.4723011733437217,1.6527615272740146,-0.18046035393029292,0.0,True,True,False,480,375,EVALUATION_BUDGET_EXHAUSTED,1.3710102019831538
task-v2-420d9636beee,g-e0c69f84d376b633,O3,2207,p2->p3,2,3,120,1.0151530054596039,1.0486279304828043,-0.033474925023200486,0.0,True,True,False,480,406,EVALUATION_BUDGET_EXHAUSTED,445.96448438055813
task-v2-420d9636beee,g-e0c69f84d376b633,O3,2207,p2->p3,2,3,240,1.011974273965967,1.0225385939698057,-0.010564320003838779,0.0,True,True,False,480,406,EVALUATION_BUDGET_EXHAUSTED,445.96448438055813
task-v2-420d9636beee,g-e0c69f84d376b633,O3,2207,p2->p3,2,3,480,1.0089840207865697,0.997353454362583,0.011630566423986632,0.0,True,False,True,480,406,EVALUATION_BUDGET_EXHAUSTED,445.96448438055813
task-v2-3f363bac5736,g-60667963f6db3f1b,O3,1103,p3->p4,3,4,120,0.7831658454036374,1.025046505332027,-0.24188065992838959,0.0,True,True,False,480,383,EVALUATION_BUDGET_EXHAUSTED,1.4323889603838325
task-v2-3f363bac5736,g-60667963f6db3f1b,O3,1103,p3->p4,3,4,240,0.7007516642516879,1.0239963361130473,-0.3232446718613594,0.0,True,True,False,480,383,EVALUATION_BUDGET_EXHAUSTED,1.4323889603838325
task-v2-3f363bac5736,g-60667963f6db3f1b,O3,1103,p3->p4,3,4,480,0.6576044783641662,1.0232329617584206,-0.36562848339425436,0.0,True,True,False,480,383,EVALUATION_BUDGET_EXHAUSTED,1.4323889603838325
task-v2-59a464f36e13,g-bd62d2d752385cc7,O0,3301,p2->p3,2,3,120,1.5541186313604887,1.9172856314078714,-0.3631670000473828,8.881784197001252e-16,True,True,False,480,392,EVALUATION_BUDGET_EXHAUSTED,19.48828695807606
task-v2-59a464f36e13,g-bd62d2d752385cc7,O0,3301,p2->p3,2,3,240,1.4715957315266013,1.7886858890074304,-0.31709015748082914,6.661338147750939e-16,True,True,False,480,392,EVALUATION_BUDGET_EXHAUSTED,19.48828695807606
task-v2-59a464f36e13,g-bd62d2d752385cc7,O0,3301,p2->p3,2,3,480,1.4201124692985623,1.6506592391410906,-0.2305467698425283,0.0,True,True,False,480,392,EVALUATION_BUDGET_EXHAUSTED,19.48828695807606
task-v2-69173fedcdae,g-8a16a856f5377a40,O3,1103,p2->p3,2,3,120,0.31003722284267704,1.0602515998569535,-0.7502143770142764,0.0,True,True,False,480,398,EVALUATION_BUDGET_EXHAUSTED,2.661376480013132
task-v2-69173fedcdae,g-8a16a856f5377a40,O3,1103,p2->p3,2,3,240,0.2948488626210876,1.04517528207855,-0.7503264194574624,0.0,True,True,False,480,398,EVALUATION_BUDGET_EXHAUSTED,2.661376480013132
task-v2-69173fedcdae,g-8a16a856f5377a40,O3,1103,p2->p3,2,3,480,0.2872519730391676,1.0394526010857155,-0.7522006280465479,0.0,True,True,False,480,398,EVALUATION_BUDGET_EXHAUSTED,2.661376480013132
task-v2-8c0a098a6f8b,g-a712031e7959d564,O0,2207,p3->p4,3,4,120,1.4982411015288406,1.288536032813746,0.20970506871509453,0.0,True,False,True,480,399,EVALUATION_BUDGET_EXHAUSTED,3.2703025862574577
task-v2-8c0a098a6f8b,g-a712031e7959d564,O0,2207,p3->p4,3,4,240,1.4513350212830196,1.2690570532884355,0.18227796799458407,0.0,True,False,True,480,399,EVALUATION_BUDGET_EXHAUSTED,3.2703025862574577
