contrast_type,objective,budget,depth,comparison,metric,n_graphs,positive_graphs,zero_graphs,negative_graphs,graph_delta_mean,graph_delta_median,graph_delta_ci_lower,graph_delta_ci_upper,graph_delta_bootstrap_se
DEPTH,O0,240,3,p3_minus_p2,G_feas,10,1,0,9,-0.4049610437922816,-0.5072031081003086,-0.5928812549397129,-0.20051005775089675,0.10123788486729293
DEPTH,O0,240,3,p3_minus_p2,P_feas,10,4,0,6,0.0016052065090247005,-0.0033605638285075503,-0.009951805346955321,0.01699610818060226,0.006943466992358062
DEPTH,O0,240,3,p3_minus_p2,P_opt,10,4,0,6,-0.0031082108960405795,-0.0005736564129175001,-0.009190652646037715,0.001480046007998662,0.002756640683127071
DEPTH,O0,240,3,p3_minus_p2,P_opt_given_feas,10,8,0,2,0.10542882370997905,0.08658023833222761,0.046169078378477904,0.16988885165522538,0.031673582382721124
DEPTH,O0,240,4,p4_minus_p3,objective_value,10,4,0,6,-0.029290324432157,-0.018669561067181983,-0.07718769999920974,0.01725923595103037,0.02400276787191826
DEPTH,O0,240,4,p4_minus_p3,G_feas,10,10,0,0,0.7842933894588402,0.8987240965163215,0.607402304737739,0.9511070063337743,0.08721723620935946
DEPTH,O0,240,4,p4_minus_p3,P_feas,10,10,0,0,0.03360524740101217,0.01451843350525285,0.012804102306992108,0.059362875508004946,0.012072597385141494
DEPTH,O0,240,4,p4_minus_p3,P_opt,10,10,0,0,0.01811324961870157,0.0098616735168708,0.007430474971802857,0.030930007824417037,0.006029542290380662
DEPTH,O0,240,4,p4_minus_p3,P_opt_given_feas,10,2,0,8,-0.07192422827997773,-0.056837638038611915,-0.11954496692873762,-0.02572333902361096,0.02413565318002721
DEPTH,O0,480,3,p3_minus_p2,objective_value,10,1,0,9,-0.14556789462378267,-0.14239064327235784,-0.21469825820001048,-0.0758497770977212,0.03568869518949399
DEPTH,O0,480,3,p3_minus_p2,G_feas,10,0,0,10,-0.4570177796784562,-0.43992890041953897,-0.6441175151519201,-0.2726856278152441,0.09498985547268667
DEPTH,O0,480,3,p3_minus_p2,P_feas,10,6,0,4,0.003339033973946709,0.0018141572802555998,-0.004529720306640881,0.013243947015176536,0.004606580010985093
DEPTH,O0,480,3,p3_minus_p2,P_opt,10,2,0,8,-0.0020268969771007088,-0.000990675126522,-0.009413271827287132,0.004051025068475924,0.003313793640436273
DEPTH,O0,480,3,p3_minus_p2,P_opt_given_feas,10,8,0,2,0.10832118899920577,0.10640942018666838,0.049073897808629086,0.17187348063144273,0.03155664557345333
