task_id,base_graph_id,base_instance_id,size_stratum,stress_level,depth,n_edges,feasible_state_fraction,dilution_score,raw_energy_span,normalized_energy_span,hamiltonian_normalization_factor,n_seed_rows,n_finite_objective_seeds,n_successful_seed_rows,seed_statuses,p_feas_median,p_feas_mean,p_feas_min,p_feas_max,p_opt_median,p_opt_mean,p_opt_min,p_opt_max,log_feasibility_gain_median,log_feasibility_gain_mean,log_feasibility_gain_min,log_feasibility_gain_max,objective_final_median,objective_final_mean,objective_final_min,objective_final_max,optimizer_runtime_s_median,optimizer_runtime_s_mean,optimizer_runtime_s_min,optimizer_runtime_s_max,objective_selected_multistart_optimizer_seed,objective_selected_multistart_objective_final,objective_selected_multistart_p_feas,objective_selected_multistart_p_opt,objective_selected_multistart_log_feasibility_gain,objective_selected_multistart_runtime_s,objective_selected_multistart_execution_status,p_opt_given_feasible_median,p_opt_given_feasible_mean,p_opt_given_feasible_min,p_opt_given_feasible_max
task-v2-4e78b3f98433,g-553bb3c5ba0f2136,v2-S1-b001-g-553bb3c5ba0f2136,S1,D1,2,7,0.0078125,2.1072099696478683,567.4832037301957,3.299320951919742,172.0,3,3,3,"{""SUCCESS"": 3}",0.054451953239791,0.056891217550109195,0.0159270138085219,0.1002946856020147,0.054451953239791,0.056891217550109195,0.0159270138085219,0.1002946856020147,0.8432234325467988,0.7536852165794322,0.3093443262367397,1.1084878909547582,1.687431451865166,1.6009901821538683,1.4079863839740818,1.7075527106223567,0.2403022581711411,0.2413118652378519,0.2395504424348473,0.2440828951075673,3301,1.4079863839740818,0.1002946856020147,0.1002946856020147,1.1084878909547582,0.2395504424348473,SUCCESS,1.0,1.0,1.0,1.0
task-v2-4e78b3f98433,g-553bb3c5ba0f2136,v2-S1-b001-g-553bb3c5ba0f2136,S1,D1,3,7,0.0078125,2.1072099696478683,567.4832037301957,3.299320951919742,172.0,3,3,3,"{""SUCCESS"": 3}",0.0071046297218334,0.020747365366472332,0.002835945218821,0.0523015211587626,0.0071046297218334,0.020747365366472332,0.002835945218821,0.0523015211587626,-0.0412485820020806,0.11479450499552497,-0.4400921929079322,0.8257242898965877,1.626826618338895,1.6635866873078864,1.6231261882965546,1.74080725528821,0.264330537058413,0.2643128822868069,0.264076235704124,0.2645318740978837,1103,1.6231261882965546,0.002835945218821,0.002835945218821,-0.4400921929079322,0.2645318740978837,SUCCESS,1.0,1.0,1.0,1.0
task-v2-f83834022ee2,g-553bb3c5ba0f2136,v2-S1-b001-g-553bb3c5ba0f2136,S1,D2,1,7,0.015625,1.806179973983887,539.6097236125881,3.137265834956908,172.0,3,3,3,"{""SUCCESS"": 3}",0.0830643082612936,0.12288405703398418,0.0830587936989207,0.2025290691417382,0.036182794568307,0.05979880717479103,0.0361782950681289,0.1070353318879372,0.7255944267098653,0.8546091202200046,0.7255655933449537,1.1126673406051948,1.6001052747416518,1.5373775823298985,1.4119221866033835,1.600105285644661,0.1433009505271911,0.1646518086393674,0.1420284053310752,0.2086260700598359,2207,1.4119221866033835,0.2025290691417382,0.1070353318879372,1.1126673406051948,0.2086260700598359,SUCCESS,0.4355997819723916,0.4665559955608371,0.4355745304858558,0.528493674224264
task-v2-f83834022ee2,g-553bb3c5ba0f2136,v2-S1-b001-g-553bb3c5ba0f2136,S1,D2,2,7,0.015625,1.806179973983887,539.6097236125881,3.137265834956908,172.0,3,3,3,"{""SUCCESS"": 3}",0.0561079146934678,0.07254030587862796,0.0449529338661405,0.1165600690762756,0.0473607757066428,0.04566002342083363,0.0392537323610066,0.0503655621948515,0.5552041020003146,0.6289572958172348,0.4589380153322296,0.8727297701191603,1.8248685186398348,1.730493068117138,1.5389477825874605,1.827662903124119,0.2361335139721632,0.23670650801310933,0.2353489184752106,0.2386370915919542,1103,1.5389477825874605,0.1165600690762756,0.0503655621948515,0.8727297701191603,0.2353489184752106,SUCCESS,0.8441015134030045,0.7164732046577154,0.4320996254891792,0.8732184750809625
task-v2-f83834022ee2,g-553bb3c5ba0f2136,v2-S1-b001-g-553bb3c5ba0f2136,S1,D2,3,7,0.015625,1.806179973983887,539.6097236125881,3.137265834956908,172.0,3,3,3,"{""SUCCESS"": 3}",0.1631932816201947,0.14655169886552166,0.019653529095641,0.2568082858807293,0.1368163414472526,0.09957690153794681,0.0146852274056855,0.1472291357609023,1.018882249631292,0.7780972585615906,0.0996205200005613,1.2157890060529188,1.563838853115599,1.4827593202553135,1.3190617115071412,1.5653773961432011,0.2595022795721888,0.26124553227176267,0.2592762475833297,0.2649580696597695,3301,1.3190617115071412,0.2568082858807293,0.1368163414472526,1.2157890060529188,0.2592762475833297,SUCCESS,0.7472056206405499,0.7273795992697932,0.5327567254227727,0.9021764517460572
task-v2-73f419868dc6,g-553bb3c5ba0f2136,v2-S1-b001-g-553bb3c5ba0f2136,S1,D3,1,7,0.0234375,1.630088714928206,512.2421602495117,2.9781520944739053,172.0,3,3,3,"{""SUCCESS"": 3}",0.1222796714307832,0.17282967360102863,0.1222688308641111,0.2739405185081916,0.0383142324429094,0.062197206808094964,0.0383131729708395,0.109964215010536,0.7174429780212701,0.8341974802744963,0.7174044744259075,1.067744988376311,1.359975504333382,1.2950027053043305,1.1650570014142982,1.359975610165311,0.1608509039506316,0.15798773802816865,0.1093671359121799,0.2037451742216944,2207,1.1650570014142982,0.2739405185081916,0.109964215010536,1.067744988376311,0.2037451742216944,SUCCESS,0.3133605856221172,0.3427003733052003,0.3133241406567469,0.4014163936367368
task-v2-73f419868dc6,g-553bb3c5ba0f2136,v2-S1-b001-g-553bb3c5ba0f2136,S1,D3,2,7,0.0234375,1.630088714928206,512.2421602495117,2.9781520944739053,172.0,3,3,3,"{""SUCCESS"": 3}",0.0158531358790671,0.10001452451968985,0.0148914964532499,0.2692989412267526,0.0059285552609935,0.03979171909263273,0.0049619827868113,0.1084846192300934,-0.1697961030436427,0.23118477171818222,-0.1969729426766816,1.060323360874871,1.6858682581219162,1.51391391787537,1.16418401734986,1.6916894781543337,0.2402564566582441,0.24017710518091914,0.2392212338745594,0.2410536250099539,1103,1.16418401734986,0.2692989412267526,0.1084846192300934,1.060323360874871,0.2402564566582441,SUCCESS,0.3739673529715804,0.37000578833413217,0.3332091440500234,0.4028408679807927
task-v2-73f419868dc6,g-553bb3c5ba0f2136,v2-S1-b001-g-553bb3c5ba0f2136,S1,D3,3,7,0.0234375,1.630088714928206,512.2421602495117,2.9781520944739053,172.0,3,3,3,"{""SUCCESS"": 3}",0.1683437761720976,0.16702575975513798,0.1488099095693424,0.1839235935239739,0.0635915667606933,0.06409645180263328,0.0446035192265474,0.0840942694206591,0.8562857796732255,0.8512441686489364,0.8027205676971045,0.894726158576479,1.3251717992960712,1.3639181578114083,1.3177432845047,1.4488393896334535,0.2696417765691876,0.2721393533671896,0.2668952299281955,0.2798810536041856,1103,1.3177432845047,0.1488099095693424,0.0446035192265474,0.8027205676971045,0.2668952299281955,SUCCESS,0.3777482494849337,0.37823568601455076,0.299734872197897,0.4572239363608216
task-v2-3f363bac5736,g-60667963f6db3f1b,v2-S2-b000-g-60667963f6db3f1b,S2,D1,1,10,0.0009765625,3.010299956639812,581.1195838823343,3.3786022318740367,172.0,3,3,3,"{""SUCCESS"": 3}",0.0043588651122032,0.009548993613509199,0.0043583042877855,0.0199298114405389,0.0043588651122032,0.009548993613509199,0.0043583042877855,0.0199298114405389,0.6496733863521026,0.8696980126418867,0.6496175051505104,1.309803146423047,1.9997521271181808,1.9423049697073622,1.8274106454151773,1.999752136588728,0.2240521656349301,0.20722355352093771,0.1581341717392206,0.2394843231886625,2207,1.8274106454151773,0.0199298114405389,0.0199298114405389,1.309803146423047,0.2394843231886625,SUCCESS,1.0,1.0,1.0,1.0
task-v2-3f363bac5736,g-60667963f6db3f1b,v2-S2-b000-g-60667963f6db3f1b,S2,D1,2,10,0.0009765625,3.010299956639812,581.1195838823343,3.3786022318740367,172.0,3,3,3,"{""SUCCESS"": 3}",0.0064054210845946,0.008728582737235665,0.0042403499805832,0.0155399771465292,0.0064054210845946,0.008728582737235665,0.0042403499805832,0.0155399771465292,0.8168476416502248,0.8854332112053243,0.6377016595446661,1.201750332421082,1.93726317638217,1.9203664431123313,1.8763979305029184,1.9474382224519056,0.2853461010381579,0.2846743203699588,0.2826780434697866,0.285998816601932,2207,1.8763979305029184,0.0155399771465292,0.0155399771465292,1.201750332421082,0.285998816601932,SUCCESS,1.0,1.0,1.0,1.0
