run_id,task_id,graph_id,base_instance_id,size_stratum,tightness_level,seed,algorithm,depth,n_nodes,n_edges,n_qubits,resource_count,budget,n_candidate_routes,n_feasible_routes,route_feasible_fraction,state_space_size,n_feasible_states,feasible_state_fraction,n_optimal_states,optimal_cost,flow_penalty_strength,resource_penalty_strength,optimizer,eval_budget,initial_parameters,optimized_parameters,nfev,status,optimizer_message,objective_initial,objective_final,expected_energy,p_feas,p_opt,p_opt_given_feasible,feasibility_amplification,uniform_p_feas,uniform_p_opt,uniform_feasibility_amplification,task_build_time_s,exact_reference_time_s,energy_build_time_s,optimization_time_s,optimizer_runtime_s,total_time_s,peak_memory_mb,execution_status,failure_reason,zero_feasible,zero_optimal_probability,resource_censored,base_graph_id,stress_level,optimizer_seed,dilution_score,log_feasibility_gain,uniform_log_feasibility_gain,expected_energy_normalized,expected_energy_raw,objective_initial_raw,objective_final_raw,objective_improvement,optimizer_status,hamiltonian_normalization_mode,hamiltonian_normalization_factor,raw_energy_span,normalized_energy_span,penalty_contract,state_norm,row_type
pilot-run-380e896d7e28d367fddd,task-v2-d7382a83ef13,g-548c8c6335dd2a2e,v2-S1-b000-g-548c8c6335dd2a2e,S1,D2,0,Uniform,0,6,7,7,1,989.0,3,2,0.6666666666666666,128,2,0.015625,1,4.0,172.0,172.0,analytic,0,,,0,0,analytic uniform baseline,,,,0.015625,0.0078125,0.5,1.0,0.015625,0.0078125,1.0,0.0002874173223972,0.0005090115591883,0.0,0.0,0.0,0.0,168.38671875,SUCCESS,,False,False,False,g-548c8c6335dd2a2e,D2,0,1.806179973983887,0.0,0.0,,,,,,0,global_fixed,172.0,,,penalty_contract_v2_scale_controlled,,analytic_uniform
pilot-run-aad5d23a99c6aedc8929,task-v2-d7382a83ef13,g-548c8c6335dd2a2e,v2-S1-b000-g-548c8c6335dd2a2e,S1,D2,1103,Penalty-X,1,6,7,7,1,989.0,3,2,0.6666666666666666,128,2,0.015625,1,4.0,172.0,172.0,COBYLA,120,"[1.4361119332668082, 2.3383068291715148]","[1.5613958288409346, 2.600985614869904]",33,0,Return from COBYLA because the trust region radius reaches its lower bound.,1.681126444649585,1.6534095727412712,1.6534095727412712,0.0614348004771243,0.0258875140999507,0.4213819186991605,3.93182723053596,0.015625,0.0078125,1.0,0.0002874173223972,0.0005090115591883,0.0057860575616359,0.0702149309217929,0.0702149309217929,0.0710590314120054,132.375,SUCCESS,,False,False,False,g-548c8c6335dd2a2e,D2,1103,1.806179973983887,0.5945944261302485,0.0,1.6534095727412712,284.38644651149866,289.1537484797286,284.38644651149866,0.0277168719083138,0,global_fixed,172.0,572.6097673531438,3.3291265543787425,penalty_contract_v2_scale_controlled,0.9999999999999994,optimized_seed
pilot-run-0e7169c324f7b2c550b7,task-v2-d7382a83ef13,g-548c8c6335dd2a2e,v2-S1-b000-g-548c8c6335dd2a2e,S1,D2,2207,Penalty-X,1,6,7,7,1,989.0,3,2,0.6666666666666666,128,2,0.015625,1,4.0,172.0,172.0,COBYLA,120,"[4.119365739193051, 2.0232897611184613]","[6.22046833446379, 2.6393659013287776]",120,3,Return from COBYLA because the objective function has been evaluated MAXFUN times.,2.14886697874438,1.534421078345882,1.534421078345882,0.1515250745422748,0.0925156419627582,0.6105632499586517,9.697604770705588,0.015625,0.0078125,1.0,0.0002874173223972,0.0005090115591883,0.0057860575616359,0.2079406389966607,0.2079406389966607,0.2084575798362493,132.5859375,SUCCESS,,False,False,False,g-548c8c6335dd2a2e,D2,2207,1.806179973983887,0.986664480315766,0.0,1.534421078345882,263.9204254754917,369.6051203440333,263.9204254754917,0.6144459003984977,3,global_fixed,172.0,572.6097673531438,3.3291265543787425,penalty_contract_v2_scale_controlled,1.0000000000000004,optimized_seed
pilot-run-86959f7f77ca4d8d43b1,task-v2-d7382a83ef13,g-548c8c6335dd2a2e,v2-S1-b000-g-548c8c6335dd2a2e,S1,D2,3301,Penalty-X,1,6,7,7,1,989.0,3,2,0.6666666666666666,128,2,0.015625,1,4.0,172.0,172.0,COBYLA,120,"[2.8746040698350956, 1.6147767089481937]","[1.5614325668502391, 2.6009047361091615]",47,0,Return from COBYLA because the trust region radius reaches its lower bound.,2.22049481356238,1.6534095699503704,1.6534095699503704,0.0614236235409096,0.0258840869742764,0.4214028004557079,3.9311119066182174,0.015625,0.0078125,1.0,0.0002874173223972,0.0005090115591883,0.0057860575616359,0.0752982096746563,0.0752982096746563,0.0757793644443154,132.5859375,SUCCESS,,False,False,False,g-548c8c6335dd2a2e,D2,3301,1.806179973983887,0.5945154070190264,0.0,1.6534095699503704,284.38644603146366,381.92510793272936,284.3864460314637,0.5670852436120097,0,global_fixed,172.0,572.6097673531438,3.3291265543787425,penalty_contract_v2_scale_controlled,0.9999999999999992,optimized_seed
pilot-run-e1bfd2f153774c058267,task-v2-d7382a83ef13,g-548c8c6335dd2a2e,v2-S1-b000-g-548c8c6335dd2a2e,S1,D2,1103,Penalty-X,2,6,7,7,1,989.0,3,2,0.6666666666666666,128,2,0.015625,1,4.0,172.0,172.0,COBYLA,120,"[1.4361119332668082, 4.6766136583430296, 1.8287983773432719, 0.554097077555417]","[1.3782086668752445, 4.601681502666781, 2.554680337050873, 0.14831440667307677]",120,3,Return from COBYLA because the objective function has been evaluated MAXFUN times.,2.047692209075657,1.5767358274755168,1.5767358274755168,0.099888333195524,0.0449298070060725,0.4498003477355632,6.392853324513539,0.015625,0.0078125,1.0,0.0002874173223972,0.0005090115591883,0.0057860575616359,0.2306149695068597,0.2306149695068597,0.2312652394175529,132.8359375,SUCCESS,,False,False,False,g-548c8c6335dd2a2e,D2,1103,1.806179973983887,0.8056947402409731,0.0,1.5767358274755168,271.1985623257889,352.20305996101297,271.1985623257889,0.4709563816001401,3,global_fixed,172.0,572.6097673531438,3.3291265543787425,penalty_contract_v2_scale_controlled,1.0000000000000004,optimized_seed
pilot-run-7d9615bd6c60b7b21d0c,task-v2-d7382a83ef13,g-548c8c6335dd2a2e,v2-S1-b000-g-548c8c6335dd2a2e,S1,D2,2207,Penalty-X,2,6,7,7,1,989.0,3,2,0.6666666666666666,128,2,0.015625,1,4.0,172.0,172.0,COBYLA,120,"[4.119365739193051, 4.0465795222369225, 1.5369649905613294, 0.28561357469155796]","[4.8842099188213615, 6.738175990251219, 2.4882356625947186, -0.32227751464685306]",120,3,Return from COBYLA because the objective function has been evaluated MAXFUN times.,2.298708155228438,1.4805575381283131,1.4805575381283131,0.150843954523465,0.0935704573434424,0.6203129428623327,9.65401308950176,0.015625,0.0078125,1.0,0.0002874173223972,0.0005090115591883,0.0057860575616359,0.22860614862293,0.22860614862293,0.2292320048436522,132.87890625,SUCCESS,,False,False,False,g-548c8c6335dd2a2e,D2,2207,1.806179973983887,0.9847078833261091,0.0,1.4805575381283131,254.65589655806983,395.37780269929135,254.65589655806983,0.8181506171001249,3,global_fixed,172.0,572.6097673531438,3.3291265543787425,penalty_contract_v2_scale_controlled,1.0000000000000009,optimized_seed
pilot-run-32ca1a31869585888b3d,task-v2-d7382a83ef13,g-548c8c6335dd2a2e,v2-S1-b000-g-548c8c6335dd2a2e,S1,D2,3301,Penalty-X,2,6,7,7,1,989.0,3,2,0.6666666666666666,128,2,0.015625,1,4.0,172.0,172.0,COBYLA,120,"[2.8746040698350956, 3.2295534178963874, 1.3381083226815658, 0.4324890662459698]","[3.032761243412031, 3.331088620118533, 3.069783442292192, -0.4785774234800611]",120,3,Return from COBYLA because the objective function has been evaluated MAXFUN times.,2.3084087992092805,1.5136882839514054,1.5136882839514054,0.1643406008826411,0.1002075385582622,0.6097552158143952,10.51779845648903,0.015625,0.0078125,1.0,0.0002874173223972,0.0005090115591883,0.0057860575616359,0.2320120027288794,0.2320120027288794,0.2326495060697198,132.87890625,SUCCESS,,False,False,False,g-548c8c6335dd2a2e,D2,3301,1.806179973983887,1.0219248445461495,0.0,1.5136882839514054,260.35438483964174,397.0463134639962,260.35438483964174,0.7947205152578751,3,global_fixed,172.0,572.6097673531438,3.3291265543787425,penalty_contract_v2_scale_controlled,1.0000000000000004,optimized_seed
pilot-run-95596f77a57f0673815a,task-v2-d7382a83ef13,g-548c8c6335dd2a2e,v2-S1-b000-g-548c8c6335dd2a2e,S1,D2,1103,Penalty-X,3,6,7,7,1,989.0,3,2,0.6666666666666666,128,2,0.015625,1,4.0,172.0,172.0,COBYLA,120,"[1.4361119332668082, 4.6766136583430296, 3.6575967546865438, 0.554097077555417, 2.658092015317178, 1.6434959053105886]","[1.4056588241736698, 5.526459798398741, 3.6352104571955746, 0.9950104640599253, 3.2065394310809996, 1.777551034170013]",120,3,Return from COBYLA because the objective function has been evaluated MAXFUN times.,2.411280749144645,1.6156165692792386,1.6156165692792386,0.0421490590487546,0.0168402995746246,0.3995415308119975,2.6975397791202944,0.015625,0.0078125,1.0,0.0002874173223972,0.0005090115591883,0.0057860575616359,0.286057393066585,0.286057393066585,0.286849201656878,132.87890625,SUCCESS,,False,False,False,g-548c8c6335dd2a2e,D2,1103,1.806179973983887,0.4309678577015876,0.0,1.6156165692792386,277.88604991602904,414.74028885287896,277.88604991602904,0.7956641798654065,3,global_fixed,172.0,572.6097673531438,3.3291265543787425,penalty_contract_v2_scale_controlled,0.9999999999999996,optimized_seed
pilot-run-382c5523a773f283397f,task-v2-d7382a83ef13,g-548c8c6335dd2a2e,v2-S1-b000-g-548c8c6335dd2a2e,S1,D2,2207,Penalty-X,3,6,7,7,1,989.0,3,2,0.6666666666666666,128,2,0.015625,1,4.0,172.0,172.0,COBYLA,120,"[4.119365739193051, 4.0465795222369225, 3.073929981122659, 0.28561357469155796, 1.0467419303334264, 1.2456798648809793]","[5.044663890708744, 5.37391526890806, 3.435522602811747, 0.7516038539289883, 0.9446121059635761, 1.2893847024657568]",120,3,Return from COBYLA because the objective function has been evaluated MAXFUN times.,2.246142903681994,1.8041013009278049,1.8041013009278049,0.111912938734673,0.0823014552601957,0.7354060771768205,7.162428079019076,0.015625,0.0078125,1.0,0.0002874173223972,0.0005090115591883,0.0057860575616359,0.2654471416026354,0.2654471416026354,0.2662688670679927,132.94140625,SUCCESS,,False,False,False,g-548c8c6335dd2a2e,D2,2207,1.806179973983887,0.8550602740620825,0.0,1.8041013009278049,310.3054237595825,386.336579433303,310.3054237595824,0.4420416027541891,3,global_fixed,172.0,572.6097673531438,3.3291265543787425,penalty_contract_v2_scale_controlled,1.0,optimized_seed
pilot-run-47ab129e59e3e50ab60c,task-v2-d7382a83ef13,g-548c8c6335dd2a2e,v2-S1-b000-g-548c8c6335dd2a2e,S1,D2,3301,Penalty-X,3,6,7,7,1,989.0,3,2,0.6666666666666666,128,2,0.015625,1,4.0,172.0,172.0,COBYLA,120,"[2.8746040698350956, 3.2295534178963874, 2.6762166453631315, 0.4324890662459698, 2.8286472419409745, 2.8565676468058108]","[2.8657907601425494, 3.5119020132451206, 2.0921502511760246, -0.042249918172701906, 2.6199404398565123, 3.0278944565584114]",120,3,Return from COBYLA because the objective function has been evaluated MAXFUN times.,2.24746096077429,1.481547803454795,1.481547803454795,0.1825729760713611,0.1085732820625467,0.5946842977468328,11.684670468567113,0.015625,0.0078125,1.0,0.0002874173223972,0.0005090115591883,0.0057860575616359,0.27041179779917,0.27041179779917,0.2711686221882701,132.94140625,SUCCESS,,False,False,False,g-548c8c6335dd2a2e,D2,3301,1.806179973983887,1.0676164689147287,0.0,1.481547803454795,254.8262221942248,386.5632852531779,254.82622219422475,0.765913157319495,3,global_fixed,172.0,572.6097673531438,3.3291265543787425,penalty_contract_v2_scale_controlled,1.0000000000000004,optimized_seed
